Scenario,Metric,Short,Higher_Better,N_pairs,Mean_Static,Mean_Memory,Mean_Diff,Cliffs_delta,Cliffs_CI_lo,Cliffs_CI_hi,Hedges_g,Hedges_CI_lo,Hedges_CI_hi,Significant_95
bull_trap,MAS_Deviation,MAS (drift),False,60,0.2669,0.2598,0.0071,0.05,-0.1833,0.2833,0.0512,-0.201,0.3169,False
bull_trap,Max_Drawdown_Pct,Max DD,False,60,-5.4108,-5.8502,0.4393,0.2833,0.0667,0.5,0.1438,-0.104,0.4146,True
bull_trap,Rationality_Score,Rationality,True,60,83.8083,65.225,-18.5833,-0.6833,-0.8167,-0.5333,-0.9074,-1.1301,-0.7282,True
bull_trap,Return_Pct,Return,True,60,31.9635,56.9277,24.9642,0.3833,0.1667,0.6,0.5956,0.3479,0.8949,True
bull_trap,Trade_Count,Trade churn,False,60,59.0667,85.1167,-26.05,-0.2667,-0.4833,-0.05,-0.617,-0.8071,-0.4379,True
crash,MAS_Deviation,MAS (drift),False,53,0.2589,0.2637,-0.0047,-0.0566,-0.3019,0.1887,-0.0394,-0.2922,0.239,False
crash,Max_Drawdown_Pct,Max DD,False,53,-28.177,-28.653,0.476,0.2075,-0.0377,0.4528,0.03,-0.2358,0.3039,False
crash,Rationality_Score,Rationality,True,53,84.0849,76.3208,-7.7642,0.0,-0.2264,0.2264,-0.2799,-0.5069,-0.0263,False
crash,Return_Pct,Return,True,53,-23.0258,-23.7672,-0.7413,-0.1132,-0.3585,0.1321,-0.0505,-0.3097,0.2287,False
crash,Trade_Count,Trade churn,False,53,56.4717,74.8113,-18.3396,-0.1321,-0.3585,0.0943,-0.3945,-0.6028,-0.18,False
flat,MAS_Deviation,MAS (drift),False,60,0.3061,0.2819,0.0242,0.1333,-0.1167,0.3833,0.1643,-0.086,0.3853,False
flat,Max_Drawdown_Pct,Max DD,False,60,-15.118,-14.5515,-0.5665,0.1333,-0.1004,0.3667,-0.0771,-0.3218,0.1759,False
flat,Rationality_Score,Rationality,True,60,80.5667,70.125,-10.4417,-0.4,-0.6,-0.1833,-0.6392,-0.8404,-0.4566,True
flat,Return_Pct,Return,True,60,7.6058,8.9558,1.35,0.0,-0.25,0.25,0.1067,-0.1566,0.3341,False
flat,Trade_Count,Trade churn,False,60,56.9167,82.8167,-25.9,-0.1167,-0.35,0.1167,-0.4739,-0.6682,-0.2775,False
bull_trap,p_intended_persona,Persona adherence,True,60,0.6892,0.9229,0.2337,1.0,1.0,1.0,1.6343,1.4566,1.8967,True
crash,p_intended_persona,Persona adherence,True,53,0.7095,0.9466,0.2371,1.0,1.0,1.0,1.1259,0.9514,1.3656,True
flat,p_intended_persona,Persona adherence,True,60,0.7271,0.9251,0.198,1.0,1.0,1.0,1.2151,1.0671,1.4202,True
