Injection_Frequency,Scenario,Persona,mean,std,count,k_numeric,se,ci_lo,ci_hi
1.0,flat,ENTJ,0.99748486,0.0006990757,600,1.0,2.8539645763064142e-05,0.9974289250987173,0.9975408005101084
5.0,flat,ENTJ,0.9247084,0.18456277,600,5.0,0.007534743636147281,0.909940328471839,0.9394765235255365
25.0,flat,ENTJ,0.8762246,0.24892724,600,25.0,0.010162411838495576,0.8563062502234591,0.8961429046303617
100.0,flat,ENTJ,0.87901145,0.23914702,600,100.0,0.009763136305065654,0.8598757050400999,0.8981471993559572
inf,flat,ENTJ,0.85915387,0.2670576,600,inf,0.01090258076907635,0.8377848084604936,0.880522925075273
1.0,flat,INTJ,0.8692692,0.284517,600,1.0,0.011615357485086174,0.8465030915480116,0.8920352928895494
5.0,flat,INTJ,0.5744122,0.4154272,600,5.0,0.016959744745644757,0.5411711269754772,0.6076533263784046
25.0,flat,INTJ,0.53169376,0.4142571,600,25.0,0.01691197566291914,0.49854628428103126,0.5648412288796743
100.0,flat,INTJ,0.5004167,0.40969905,600,100.0,0.016725893781728556,0.4676339442594368,0.5331994478838127
inf,flat,INTJ,0.4989269,0.41304457,600,inf,0.01686247403539699,0.46587645866840816,0.5319773568871644
1.0,flat,ISFJ,0.99552155,0.039059415,600,1.0,0.0015945939587912903,0.9923961412509253,0.9986469495693872
5.0,flat,ISFJ,0.956546,0.17948146,600,5.0,0.00732729998861889,0.9421845006091906,0.9709075165645765
25.0,flat,ISFJ,0.96348625,0.16500594,600,25.0,0.006736339178590793,0.9502830294252025,0.9766894790052785
100.0,flat,ISFJ,0.95144147,0.19347945,600,100.0,0.007898765411324537,0.935959886602123,0.9669230470145151
inf,flat,ISFJ,0.954598,0.1859361,600,inf,0.007590809223765827,0.9397200235077532,0.9694759956649153
