Model,Agent_Type,Scenario,Seed,MBTI,Day,p_intended,predicted_persona,correct,p_ENTJ,p_ISFJ,p_INTJ
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,1,0.99872714,ISFJ,1,0.00066577585,0.99872714,0.0006070346
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,2,0.9775294,ISFJ,1,0.018729547,0.9775294,0.003741088
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,3,0.9987925,ISFJ,1,0.0006550475,0.9987925,0.0005523451
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,4,0.9988586,ISFJ,1,0.000543123,0.9988586,0.00059827924
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,5,0.9986135,ISFJ,1,0.0007494717,0.9986135,0.0006369974
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,6,0.9984439,ISFJ,1,0.0009333909,0.9984439,0.0006227118
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,7,0.9989041,ISFJ,1,0.0005554447,0.9989041,0.0005404383
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,8,0.9987192,ISFJ,1,0.0005561304,0.9987192,0.00072464155
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,9,0.9989096,ISFJ,1,0.00054272724,0.9989096,0.0005476577
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,10,0.99888486,ISFJ,1,0.000581685,0.99888486,0.0005334459
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,11,0.9988599,ISFJ,1,0.0005647475,0.9988599,0.00057535036
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,12,0.9988066,ISFJ,1,0.00058375404,0.9988066,0.00060968916
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,13,0.9971846,ISFJ,1,0.0013085156,0.9971846,0.0015068996
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,14,0.9973219,ISFJ,1,0.0013138893,0.9973219,0.0013642508
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,15,0.9986053,ISFJ,1,0.00071844325,0.9986053,0.00067626603
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,16,0.9976246,ISFJ,1,0.0011212642,0.9976246,0.0012542004
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,17,0.9984059,ISFJ,1,0.00067671936,0.9984059,0.00091745955
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,18,0.9988896,ISFJ,1,0.00052892935,0.9988896,0.0005814257
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,19,0.9986333,ISFJ,1,0.00062110263,0.9986333,0.0007455792
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,20,0.95519584,ISFJ,1,0.035043407,0.95519584,0.009760768
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,21,0.99834585,ISFJ,1,0.00089339307,0.99834585,0.00076078344
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,22,0.9986613,ISFJ,1,0.00066616695,0.9986613,0.00067250227
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,23,0.99888045,ISFJ,1,0.0005703106,0.99888045,0.0005492611
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,24,0.9988488,ISFJ,1,0.000571526,0.9988488,0.00057963864
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,25,0.9983754,ISFJ,1,0.0009179015,0.9983754,0.0007066506
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,26,0.9983187,ISFJ,1,0.00094127917,0.9983187,0.00074004265
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,27,0.9956879,ISFJ,1,0.0030098238,0.9956879,0.001302204
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,28,0.99500376,ISFJ,1,0.002864978,0.99500376,0.0021312698
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,29,0.99523085,ISFJ,1,0.003346171,0.99523085,0.0014229312
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,30,0.9049395,ISFJ,1,0.039601516,0.9049395,0.05545898
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,31,0.9982894,ISFJ,1,0.0009090893,0.9982894,0.0008015206
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,32,0.0114753945,ENTJ,0,0.75226474,0.0114753945,0.23625979
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,33,0.9988323,ISFJ,1,0.0005765593,0.9988323,0.0005911077
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,34,0.0040070605,ENTJ,0,0.93423647,0.0040070605,0.06175647
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,35,0.99596584,ISFJ,1,0.002398408,0.99596584,0.0016357297
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,36,0.9988035,ISFJ,1,0.0006046768,0.9988035,0.00059185916
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,37,0.992811,ISFJ,1,0.004996609,0.992811,0.002192298
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,38,0.9987172,ISFJ,1,0.0007070974,0.9987172,0.0005757275
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,39,0.9986082,ISFJ,1,0.00081120443,0.9986082,0.000580602
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,40,0.99862957,ISFJ,1,0.00069306727,0.99862957,0.00067734043
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,41,0.9982565,ISFJ,1,0.0010144588,0.9982565,0.00072904635
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,42,0.99850947,ISFJ,1,0.00083033176,0.99850947,0.0006602202
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,43,0.99832946,ISFJ,1,0.0009168514,0.99832946,0.00075368886
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,44,0.99871325,ISFJ,1,0.00063087576,0.99871325,0.00065583555
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,45,0.75429255,ISFJ,1,0.16931629,0.75429255,0.076391205
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,46,0.9987128,ISFJ,1,0.0005826948,0.9987128,0.00070450624
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,47,0.9984515,ISFJ,1,0.00077845616,0.9984515,0.0007700479
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,48,0.9942741,ISFJ,1,0.0043667275,0.9942741,0.0013592337
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,49,0.75244087,ISFJ,1,0.23694688,0.75244087,0.01061225
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,50,0.9985405,ISFJ,1,0.00074005965,0.9985405,0.0007194347
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,51,0.8833747,ISFJ,1,0.050106477,0.8833747,0.06651884
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,52,0.99722856,ISFJ,1,0.001377665,0.99722856,0.0013937729
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,53,0.9933716,ISFJ,1,0.004376009,0.9933716,0.0022523357
meta-llama/Llama-3.1-8B-Instruct,memory,flat,456,ISFJ,54,0.9972355,ISFJ,1,0.0012071948,0.9972355,0.0015573477
