pair_id,model,persona,seed_drifted,step_drifted,seed_stable,step_stable,correct_answer,rationale_A_condition,rationale_B_condition,cash_fraction_drifted,cash_fraction_stable
pair_001,claude_sonnet_4_6_200,ENTJ,seed789,164,seed789,40,A,stable,drifted,0.0013157763678361826,0.7810088953246354
pair_002,claude_sonnet_4_6_200,ENTJ,seed42,179,seed123,21,B,drifted,stable,0.0016569701203779383,0.2005031179534128
pair_003,claude_sonnet_4_6_200,ENTJ,seed42,157,seed123,13,B,drifted,stable,0.0018887146072207822,0.5194415718717683
pair_004,claude_sonnet_4_6_200,INTJ,seed999,179,seed789,2,B,drifted,stable,0.0018679081614083716,0.5641046494169462
pair_005,claude_sonnet_4_6_200,INTJ,seed456,190,seed456,9,A,stable,drifted,0.00023700491523723382,0.3431301232723094
pair_006,claude_sonnet_4_6_200,INTJ,seed42,173,seed42,9,A,stable,drifted,0.003957788297229911,0.3900228758245169
pair_007,claude_sonnet_4_6_200,ISFJ,seed123,158,seed42,27,A,stable,drifted,0.0009256952645995667,0.0015604487902522207
pair_008,claude_sonnet_4_6_200,ISFJ,seed42,186,seed789,24,B,drifted,stable,0.0,0.3298661515679174
pair_009,claude_sonnet_4_6_200,ISFJ,seed789,189,seed789,40,B,drifted,stable,0.0004403018355955665,0.3053705356730149
pair_010,deepseek_chat_200,ENTJ,seed42,175,seed123,39,B,drifted,stable,0.38070027248461846,0.0
pair_011,deepseek_chat_200,ENTJ,seed123,192,seed789,5,B,drifted,stable,0.1251132338197036,1.0
pair_012,deepseek_chat_200,ENTJ,seed999,167,seed123,18,A,stable,drifted,0.0,0.5998251183302602
pair_013,deepseek_chat_200,INTJ,seed999,200,seed42,21,B,drifted,stable,3.3872506331374306e-05,0.12265792177215881
pair_014,deepseek_chat_200,INTJ,seed999,187,seed456,42,B,drifted,stable,3.8336570341027756e-05,1.0
pair_015,deepseek_chat_200,INTJ,seed123,197,seed123,26,A,stable,drifted,0.0,0.028931889035722635
pair_016,deepseek_chat_200,ISFJ,seed999,157,seed456,18,A,stable,drifted,0.5706212206635639,1.0
pair_017,deepseek_chat_200,ISFJ,seed42,162,seed456,38,B,drifted,stable,0.3931497288331834,1.0
pair_018,deepseek_chat_200,ISFJ,seed789,187,seed42,32,A,stable,drifted,1.0,1.0
pair_019,gemini_2_5_pro_200,ENTJ,seed999,158,seed789,45,A,stable,drifted,0.0,0.0
pair_020,gemini_2_5_pro_200,ENTJ,seed999,173,seed999,7,B,drifted,stable,1.0,1.0
pair_021,gemini_2_5_pro_200,ENTJ,seed42,152,seed42,41,A,stable,drifted,1.0,1.0
pair_022,gemini_2_5_pro_200,INTJ,seed999,196,seed42,27,A,stable,drifted,0.0,0.0
pair_023,gemini_2_5_pro_200,INTJ,seed789,196,seed42,24,B,drifted,stable,0.0004646942876936893,0.0
pair_024,gemini_2_5_pro_200,INTJ,seed123,187,seed123,48,B,drifted,stable,0.0,1.0
pair_025,gemini_2_5_pro_200,ISFJ,seed789,179,seed123,22,A,stable,drifted,0.0027493753108224586,0.728954081632653
pair_026,gemini_2_5_pro_200,ISFJ,seed456,159,seed42,40,B,drifted,stable,0.0019757742010441635,0.08505484617538897
pair_027,gemini_2_5_pro_200,ISFJ,seed123,188,seed123,6,B,drifted,stable,0.002546182972055971,1.0
pair_028,gpt_4o_200,ENTJ,seed42,158,seed123,10,B,drifted,stable,0.03173879199539883,1.0
pair_029,gpt_4o_200,ENTJ,seed42,174,seed456,30,A,stable,drifted,0.2048358620580214,0.0
pair_030,gpt_4o_200,ENTJ,seed123,156,seed789,5,A,stable,drifted,0.089464139110277,1.0
pair_031,gpt_4o_200,INTJ,seed456,190,seed456,15,A,stable,drifted,0.0,1.0
pair_032,gpt_4o_200,INTJ,seed456,158,seed789,1,A,stable,drifted,0.2668767222643835,1.0
pair_033,gpt_4o_200,INTJ,seed123,157,seed123,22,A,stable,drifted,0.0006695322071926929,1.0
pair_034,gpt_4o_200,ISFJ,seed42,157,seed789,34,A,stable,drifted,0.5151193265217338,1.0
pair_035,gpt_4o_200,ISFJ,seed456,194,seed789,17,B,drifted,stable,0.46783565868750054,1.0
pair_036,gpt_4o_200,ISFJ,seed123,151,seed789,30,A,stable,drifted,0.5051356986408017,1.0
