family,model,agent_type,persona,n,p_buy,p_sell,p_hold,chi2_p
mbti,Llama-3.1-8B-Instruct,static,ISFJ,25,0.0,0.0,1.0,0.0014711084268870247
mbti,Llama-3.1-8B-Instruct,static,INTJ,25,0.0,0.0,1.0,0.0014711084268870247
mbti,Llama-3.1-8B-Instruct,static,ENTJ,25,0.24,0.0,0.76,0.0014711084268870247
mbti,Llama-3.1-8B-Instruct,memory,ISFJ,25,0.0,0.0,1.0,5.175555005801914e-17
mbti,Llama-3.1-8B-Instruct,memory,INTJ,25,0.0,0.0,1.0,5.175555005801914e-17
mbti,Llama-3.1-8B-Instruct,memory,ENTJ,25,1.0,0.0,0.0,5.175555005801914e-17
mbti,Llama-3.1-8B-Instruct,both,ISFJ,50,0.0,0.0,1.0,1.070703949408281e-17
mbti,Llama-3.1-8B-Instruct,both,INTJ,50,0.0,0.0,1.0,1.070703949408281e-17
mbti,Llama-3.1-8B-Instruct,both,ENTJ,50,0.62,0.0,0.38,1.070703949408281e-17
mbti,Qwen2.5-7B-Instruct,static,ISFJ,25,1.0,0.0,0.0,0.12811915872753915
mbti,Qwen2.5-7B-Instruct,static,INTJ,25,0.92,0.0,0.08,0.12811915872753915
mbti,Qwen2.5-7B-Instruct,static,ENTJ,25,1.0,0.0,0.0,0.12811915872753915
mbti,Qwen2.5-7B-Instruct,memory,ISFJ,25,1.0,0.0,0.0,0.12811915872753915
mbti,Qwen2.5-7B-Instruct,memory,INTJ,25,0.92,0.0,0.08,0.12811915872753915
mbti,Qwen2.5-7B-Instruct,memory,ENTJ,25,1.0,0.0,0.0,0.12811915872753915
mbti,Qwen2.5-7B-Instruct,both,ISFJ,50,1.0,0.0,0.0,0.01641451883305236
mbti,Qwen2.5-7B-Instruct,both,INTJ,50,0.92,0.0,0.08,0.01641451883305236
mbti,Qwen2.5-7B-Instruct,both,ENTJ,50,1.0,0.0,0.0,0.01641451883305236
mbti,claude_haiku_4_5,static,ISFJ,25,0.0,0.0,1.0,
mbti,claude_haiku_4_5,static,INTJ,25,0.0,0.0,1.0,
mbti,claude_haiku_4_5,static,ENTJ,25,0.0,0.0,1.0,
mbti,claude_haiku_4_5,memory,ISFJ,25,0.0,0.0,1.0,
mbti,claude_haiku_4_5,memory,INTJ,25,0.0,0.0,1.0,
mbti,claude_haiku_4_5,memory,ENTJ,25,0.0,0.0,1.0,
mbti,claude_haiku_4_5,both,ISFJ,50,0.0,0.0,1.0,
mbti,claude_haiku_4_5,both,INTJ,50,0.0,0.0,1.0,
mbti,claude_haiku_4_5,both,ENTJ,50,0.0,0.0,1.0,
mbti,claude_opus_4_6,static,ISFJ,25,1.0,0.0,0.0,0.002437478818987648
mbti,claude_opus_4_6,static,INTJ,25,0.72,0.0,0.28,0.002437478818987648
mbti,claude_opus_4_6,static,ENTJ,25,0.96,0.0,0.04,0.002437478818987648
mbti,claude_opus_4_6,memory,ISFJ,25,0.96,0.0,0.04,0.0010937076750024521
mbti,claude_opus_4_6,memory,INTJ,25,0.96,0.0,0.04,0.0010937076750024521
mbti,claude_opus_4_6,memory,ENTJ,25,0.64,0.0,0.36,0.0010937076750024521
mbti,claude_opus_4_6,both,ISFJ,50,0.98,0.0,0.02,0.0176368260954665
mbti,claude_opus_4_6,both,INTJ,50,0.84,0.0,0.16,0.0176368260954665
mbti,claude_opus_4_6,both,ENTJ,50,0.8,0.0,0.2,0.0176368260954665
mbti,claude_sonnet_4_6,static,ISFJ,25,1.0,0.0,0.0,0.36294153673539975
mbti,claude_sonnet_4_6,static,INTJ,25,1.0,0.0,0.0,0.36294153673539975
mbti,claude_sonnet_4_6,static,ENTJ,25,0.96,0.0,0.04,0.36294153673539975
mbti,claude_sonnet_4_6,memory,ISFJ,25,1.0,0.0,0.0,0.004714356473549276
mbti,claude_sonnet_4_6,memory,INTJ,25,1.0,0.0,0.0,0.004714356473549276
mbti,claude_sonnet_4_6,memory,ENTJ,25,0.8,0.0,0.2,0.004714356473549276
mbti,claude_sonnet_4_6,both,ISFJ,50,1.0,0.0,0.0,0.0019304541362277095
mbti,claude_sonnet_4_6,both,INTJ,50,1.0,0.0,0.0,0.0019304541362277095
mbti,claude_sonnet_4_6,both,ENTJ,50,0.88,0.0,0.12,0.0019304541362277095
mbti,deepseek_chat,static,ISFJ,25,0.0,0.0,1.0,
mbti,deepseek_chat,static,INTJ,25,0.0,0.0,1.0,
mbti,deepseek_chat,static,ENTJ,25,0.0,0.0,1.0,
mbti,deepseek_chat,memory,ISFJ,25,0.0,0.0,1.0,
mbti,deepseek_chat,memory,INTJ,25,0.0,0.0,1.0,
mbti,deepseek_chat,memory,ENTJ,25,0.0,0.0,1.0,
mbti,deepseek_chat,both,ISFJ,50,0.0,0.0,1.0,
mbti,deepseek_chat,both,INTJ,50,0.0,0.0,1.0,
mbti,deepseek_chat,both,ENTJ,50,0.0,0.0,1.0,
mbti,gemini_2_5_flash,static,ISFJ,25,0.0,0.0,1.0,
mbti,gemini_2_5_flash,static,INTJ,25,0.0,0.0,1.0,
mbti,gemini_2_5_flash,static,ENTJ,25,0.0,0.0,1.0,
mbti,gemini_2_5_flash,memory,ISFJ,25,0.0,0.0,1.0,
mbti,gemini_2_5_flash,memory,INTJ,25,0.0,0.0,1.0,
mbti,gemini_2_5_flash,memory,ENTJ,25,0.0,0.0,1.0,
mbti,gemini_2_5_flash,both,ISFJ,50,0.0,0.0,1.0,
mbti,gemini_2_5_flash,both,INTJ,50,0.0,0.0,1.0,
mbti,gemini_2_5_flash,both,ENTJ,50,0.0,0.0,1.0,
