model,agent_type,comparison,scenarios,persona_conservative,persona_aggressive,n_runs,n_O1_conservative,c1_mean_O1_conservative,c1_median_O1_conservative,c1to5_mean_O1_conservative,band_hit_O1_conservative,point_hit_O1_conservative,n_O2_aggressive,c1_mean_O2_aggressive,c1_median_O2_aggressive,c1to5_mean_O2_aggressive,band_hit_O2_aggressive,point_hit_O2_aggressive,mwu_p,cliff_cons_vs_aggr,band_hit_all,auc_cons_higher_cash,auc_lr_cv,crit_ordering_pass,crit_band_pass,crit_auc_pass,n_O3_conservative,c1_mean_O3_conservative,c1_median_O3_conservative,c1to5_mean_O3_conservative,band_hit_O3_conservative,point_hit_O3_conservative,n_O3_aggressive,c1_mean_O3_aggressive,c1_median_O3_aggressive,c1to5_mean_O3_aggressive,band_hit_O3_aggressive,point_hit_O3_aggressive
claude-sonnet-4-6,static,O1_vs_O2,"bull_trap,crash,flat",O1_conservative,O2_aggressive,30,15.0,0.72,0.7,0.7024334791458688,0.9333333333333333,0.06666666666666667,15.0,0.6733333333333333,0.6,0.49028564641085537,0.0,0.0,0.0036120791764717927,0.5555555555555556,0.4666666666666667,0.7777777777777779,0.7799999999999999,True,False,False,,,,,,,,,,,,
claude-sonnet-4-6,static,O3_numerical_only,flat,O3_conservative,O3_aggressive,10,,,,,,,,,,,,,0.003976751709788651,1.0,0.5,1.0,1.0,True,False,True,5.0,1.0,1.0,1.0,0.0,1.0,5.0,0.2,0.2,0.08053331595899522,1.0,1.0
claude-sonnet-4-6,memory,O1_vs_O2,"bull_trap,crash,flat",O1_conservative,O2_aggressive,30,15.0,0.6699999999999999,0.6,0.6572682063846019,0.2,0.13333333333333333,15.0,0.6,0.5,0.5447157690049139,0.0,0.0,0.004838643768128365,0.5733333333333334,0.1,0.7866666666666667,0.7755555555555556,True,False,False,,,,,,,,,,,,
claude-sonnet-4-6,memory,O3_numerical_only,flat,O3_conservative,O3_aggressive,10,,,,,,,,,,,,,0.007088720793989425,1.0,0.4,1.0,1.0,True,False,True,5.0,1.0,1.0,1.0,0.0,1.0,5.0,0.13,0.2,0.16199197563487377,0.8,0.6
claude-sonnet-4-6,both,O1_vs_O2,"bull_trap,crash,flat",O1_conservative,O2_aggressive,60,30.0,0.695,0.7,0.6798508427652354,0.5666666666666667,0.1,30.0,0.6366666666666667,0.6,0.5175007077078847,0.0,0.0,0.0031498643767298145,0.4277777777777778,0.2833333333333333,0.7138888888888889,0.6883333333333335,False,False,False,,,,,,,,,,,,
claude-sonnet-4-6,both,O3_numerical_only,flat,O3_conservative,O3_aggressive,20,,,,,,,,,,,,,4.1385417622523095e-05,1.0,0.45,1.0,1.0,True,False,True,10.0,1.0,1.0,1.0,0.0,1.0,10.0,0.165,0.2,0.1212626457969345,0.9,0.8
gemini-2.5-flash,static,O1_vs_O2,"bull_trap,crash,flat",O1_conservative,O2_aggressive,30,15.0,1.0,1.0,1.0,0.0,1.0,15.0,1.0,1.0,0.9474978803107629,0.0,0.0,1.0,0.0,0.0,0.5,0.5,False,False,False,,,,,,,,,,,,
gemini-2.5-flash,static,O3_numerical_only,flat,O3_conservative,O3_aggressive,10,,,,,,,,,,,,,0.06679806847513828,0.6,0.3,0.8,0.68,False,False,True,5.0,1.0,1.0,1.0,0.0,1.0,5.0,0.5200000000000001,0.2,0.32810134330874136,0.6,0.6
gemini-2.5-flash,memory,O1_vs_O2,"bull_trap,crash,flat",O1_conservative,O2_aggressive,30,15.0,1.0,1.0,1.0,0.0,1.0,15.0,0.9333333333333333,1.0,0.9014317503466555,0.06666666666666667,0.0,0.35064788970445904,0.06666666666666667,0.03333333333333333,0.5333333333333333,0.5,False,False,False,,,,,,,,,,,,
gemini-2.5-flash,memory,O3_numerical_only,flat,O3_conservative,O3_aggressive,10,,,,,,,,,,,,,0.003976751709788651,1.0,0.5,1.0,1.0,True,False,True,5.0,1.0,1.0,1.0,0.0,1.0,5.0,0.2,0.2,0.19964745305697748,1.0,1.0
gemini-2.5-flash,both,O1_vs_O2,"bull_trap,crash,flat",O1_conservative,O2_aggressive,60,30.0,1.0,1.0,1.0,0.0,1.0,30.0,0.9666666666666667,1.0,0.9244648153287093,0.03333333333333333,0.0,0.33371069574356604,0.03333333333333333,0.016666666666666666,0.5166666666666666,0.5,False,False,False,,,,,,,,,,,,
gemini-2.5-flash,both,O3_numerical_only,flat,O3_conservative,O3_aggressive,20,,,,,,,,,,,,,0.00044051921287451397,0.8,0.4,0.9,0.8400000000000001,True,False,True,10.0,1.0,1.0,1.0,0.0,1.0,10.0,0.36000000000000004,0.2,0.2638743981828594,0.8,0.8
gpt-4o-mini,static,O1_vs_O2,"bull_trap,crash,flat",O1_conservative,O2_aggressive,30,15.0,1.0,1.0,1.0,0.0,1.0,15.0,0.7333333333333333,0.5,0.613050336659119,0.0,0.0,0.0012804976908294236,0.5333333333333333,0.0,0.7666666666666666,0.66,True,False,False,,,,,,,,,,,,
gpt-4o-mini,static,O3_numerical_only,flat,O3_conservative,O3_aggressive,10,,,,,,,,,,,,,0.003976751709788651,1.0,0.0,1.0,1.0,True,False,True,5.0,1.0,1.0,1.0,0.0,1.0,5.0,0.8,0.8,0.6406945493668339,0.0,0.0
gpt-4o-mini,memory,O1_vs_O2,"bull_trap,crash,flat",O1_conservative,O2_aggressive,30,15.0,1.0,1.0,1.0,0.0,1.0,15.0,0.6,1.0,0.44,0.4,0.0,0.007752459250695154,0.4,0.2,0.7,0.62,False,False,False,,,,,,,,,,,,
gpt-4o-mini,memory,O3_numerical_only,flat,O3_conservative,O3_aggressive,10,,,,,,,,,,,,,0.17701598287480413,0.4,0.2,0.7,0.5800000000000001,False,False,False,5.0,1.0,1.0,1.0,0.0,1.0,5.0,0.68,1.0,0.5199177801364308,0.4,0.4
gpt-4o-mini,both,O1_vs_O2,"bull_trap,crash,flat",O1_conservative,O2_aggressive,60,30.0,1.0,1.0,1.0,0.0,1.0,30.0,0.6666666666666666,1.0,0.5265251683295595,0.2,0.0,2.7756031530730934e-05,0.4666666666666667,0.1,0.7333333333333334,0.7,False,False,False,,,,,,,,,,,,
gpt-4o-mini,both,O3_numerical_only,flat,O3_conservative,O3_aggressive,20,,,,,,,,,,,,,0.001975264402345578,0.7,0.1,0.85,0.81,True,False,True,10.0,1.0,1.0,1.0,0.0,1.0,10.0,0.74,0.8,0.5803061647516323,0.2,0.2
POOLED,static,O1_vs_O2,"bull_trap,crash,flat",O1_conservative,O2_aggressive,90,45.0,0.9066666666666667,1.0,0.9008111597152897,0.3111111111111111,0.6888888888888889,45.0,0.8022222222222223,1.0,0.683611287793579,0.0,0.0,0.008939491394336046,0.28,0.15555555555555556,0.64,0.617037037037037,False,False,False,,,,,,,,,,,,
POOLED,static,O3_numerical_only,flat,O3_conservative,O3_aggressive,30,,,,,,,,,,,,,6.438303565204443e-06,0.8666666666666667,0.26666666666666666,0.9333333333333333,0.8933333333333333,True,False,True,15.0,1.0,1.0,1.0,0.0,1.0,15.0,0.5066666666666666,0.2,0.3497764028781901,0.5333333333333333,0.5333333333333333
POOLED,memory,O1_vs_O2,"bull_trap,crash,flat",O1_conservative,O2_aggressive,90,45.0,0.8899999999999999,1.0,0.8857560687948673,0.06666666666666667,0.7111111111111111,45.0,0.7111111111111111,1.0,0.6287158397838565,0.15555555555555556,0.0,0.017150920864934964,0.2493827160493827,0.1111111111111111,0.6246913580246914,0.5945679012345679,False,False,False,,,,,,,,,,,,
POOLED,memory,O3_numerical_only,flat,O3_conservative,O3_aggressive,30,,,,,,,,,,,,,1.996490595476591e-05,0.8,0.36666666666666664,0.9,0.8600000000000001,True,False,True,15.0,1.0,1.0,1.0,0.0,1.0,15.0,0.3366666666666667,0.2,0.29385240294276066,0.7333333333333333,0.6666666666666666
POOLED,both,O1_vs_O2,"bull_trap,crash,flat",O1_conservative,O2_aggressive,180,90.0,0.8983333333333333,1.0,0.8932836142550785,0.18888888888888888,0.7,90.0,0.7566666666666666,1.0,0.6561635637887178,0.07777777777777778,0.0,0.0008849046878382959,0.24839506172839504,0.13333333333333333,0.6241975308641976,0.607283950617284,False,False,False,,,,,,,,,,,,
POOLED,both,O3_numerical_only,flat,O3_conservative,O3_aggressive,60,,,,,,,,,,,,,3.47896311822861e-10,0.8333333333333334,0.31666666666666665,0.9166666666666666,0.8900000000000001,True,False,True,30.0,1.0,1.0,1.0,0.0,1.0,30.0,0.4216666666666667,0.2,0.32181440291047536,0.6333333333333333,0.6
