model,agent_type,n_runs,n_ISFJ,c1_mean_ISFJ,c1_median_ISFJ,c1to5_mean_ISFJ,n_INTJ,c1_mean_INTJ,c1_median_INTJ,c1to5_mean_INTJ,n_ENTJ,c1_mean_ENTJ,c1_median_ENTJ,c1to5_mean_ENTJ,kw_p,mwu_p_ISFJ_vs_INTJ,cliff_ISFJ_vs_INTJ,mwu_p_INTJ_vs_ENTJ,cliff_INTJ_vs_ENTJ,mwu_p_ISFJ_vs_ENTJ,cliff_ISFJ_vs_ENTJ,ordering_medians_cons_gt_bal_gt_aggr,crit_ordering_pass,band_hit_all,point_hit_all,band_hit_ISFJ,point_hit_ISFJ,band_hit_INTJ,point_hit_INTJ,band_hit_ENTJ,point_hit_ENTJ,crit_band_pass,auc_ovr_ISFJ,auc_ovr_INTJ,auc_ovr_ENTJ,auc_ovr_macro,auc_lr_cv_macro,crit_auc_pass,rf_r2_oof,rf_persona_share,rf_null_persona_share,rf_n_runs,rf_n_trees,crit_surrogate_pass,gate_pass
Llama-3.1-8B-Instruct,static,75,25,1.0,1.0,0.9777037091946386,25,1.0,1.0,0.8032517279472886,25,0.96,1.0,0.7121360650053647,0.0016147559818206012,1.0,0.0,0.010324253998710127,0.24,0.010324253998710127,0.24,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.56,0.44,0.62,0.54,0.5533333333333333,False,-0.4268976744185997,0.0,0.14510635790299453,75,300,False,False
Llama-3.1-8B-Instruct,memory,75,25,1.0,1.0,0.9785148858724283,25,1.0,1.0,1.0,25,0.568,0.9,0.32405326186775213,4.3545344873385037e-16,1.0,0.0,5.7279689206670446e-11,1.0,5.7279689206670446e-11,1.0,False,False,0.09333333333333334,0.3333333333333333,0.0,1.0,0.0,0.0,0.28,0.0,False,0.75,0.32,1.0,0.6900000000000001,0.8333333333333334,True,0.1760971424478034,0.9900921698369226,0.4372040233223062,75,300,False,False
Qwen2.5-7B-Instruct,static,75,25,0.42,0.5,0.4184226597954052,25,0.28,0.0,0.24707998496193417,25,0.0,0.0,0.0,5.624178806667958e-08,0.0377911713750931,0.29280000000000006,9.616280241712098e-05,0.48,2.7579194737136036e-09,0.84,False,False,0.4666666666666667,0.13333333333333333,0.0,0.0,0.4,0.4,1.0,0.0,False,0.7831999999999999,0.49000000000000005,0.83,0.7010666666666666,0.6538666666666666,False,0.24461519607843119,0.9318665163729608,0.3029119923003708,75,300,False,False
Qwen2.5-7B-Instruct,memory,75,25,0.48,0.5,0.4782378552878436,25,0.52,0.5,0.47636642689669706,25,0.0,0.0,0.0,2.0329029621569216e-14,0.33238278733096627,-0.07680000000000001,4.019572974659027e-11,0.96,1.8913517469796628e-11,0.96,False,False,0.6266666666666667,0.29333333333333333,0.0,0.0,0.88,0.88,1.0,0.0,False,0.7208000000000001,0.7,0.98,0.8002666666666668,0.8079999999999999,True,0.562789247311828,0.9989855586050194,0.3835694267900309,75,300,True,False
claude_haiku_4_5,static,75,25,1.0,1.0,0.9600921444677354,25,1.0,1.0,1.0,25,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,75,300,False,False
claude_haiku_4_5,memory,75,25,1.0,1.0,1.0,25,1.0,1.0,1.0,25,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5,0.5,0.5,0.5,0.5,False,,,,75,300,False,False
claude_opus_4_6,static,75,25,0.754,0.75,0.6880250568327552,25,0.82,0.75,0.7502454243491568,25,0.73,0.75,0.5583987642976773,0.003965622347915245,0.01736072632100644,-0.25120000000000003,0.006381091820625475,0.3264,0.1919567863235614,0.11359999999999998,False,False,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.4656,0.35559999999999997,0.61,0.4770666666666667,0.5823999999999999,False,-0.09947534990426554,0.30278358453150106,0.0871102728984883,75,300,False,False
claude_opus_4_6,memory,75,25,0.7239999999999999,0.7,0.6663669735645548,25,0.76,0.75,0.7068391638795971,25,0.84,0.75,0.8088747789872625,4.515157480314455e-09,1.123559305999921e-06,-0.6912,0.005336287171249206,-0.32,3.5212957346858853e-07,-0.7808,False,False,0.32,0.013333333333333334,0.96,0.04,0.0,0.0,0.0,0.0,False,0.132,0.4072,0.22480000000000003,0.25466666666666665,0.6776,False,0.3588955077809066,0.5599591936002667,0.1204160146143503,75,300,False,False
claude_sonnet_4_6,static,75,25,0.622,0.6,0.46508407267975366,25,0.7340000000000001,0.75,0.48972422107290847,25,0.6359999999999999,0.6,0.47564852469408353,1.3391109944339776e-10,6.84626274016926e-09,-0.896,3.891153087978766e-08,0.856,0.7467387203007272,-0.04000000000000001,False,False,0.06666666666666667,0.0,0.2,0.0,0.0,0.0,0.0,0.0,False,0.26599999999999996,0.06200000000000002,0.704,0.34400000000000003,0.7768,False,0.6320652823229908,0.7191497499709391,0.15661139196692445,75,300,True,False
claude_sonnet_4_6,memory,75,25,0.6039999999999999,0.6,0.5594565744264965,25,0.6459999999999999,0.75,0.4682289154287579,25,0.6,0.5,0.5476581889837369,0.0031357623021680873,0.12087522841375237,-0.23360000000000003,0.03814600169235765,0.31200000000000006,6.460769167730935e-05,0.6000000000000001,False,False,0.16,0.14666666666666667,0.04,0.0,0.44,0.44,0.0,0.0,False,0.5916,0.33799999999999997,0.728,0.5525333333333333,0.5519999999999999,False,0.0901444510503393,0.15048668755371797,0.19102585138883726,75,300,False,False
