model,agent_type,scenario,n_runs,n_ISFJ,c1_mean_ISFJ,c1_median_ISFJ,c1to5_mean_ISFJ,n_INTJ,c1_mean_INTJ,c1_median_INTJ,c1to5_mean_INTJ,n_ENTJ,c1_mean_ENTJ,c1_median_ENTJ,c1to5_mean_ENTJ,kw_p,mwu_p_ISFJ_vs_INTJ,cliff_ISFJ_vs_INTJ,mwu_p_INTJ_vs_ENTJ,cliff_INTJ_vs_ENTJ,mwu_p_ISFJ_vs_ENTJ,cliff_ISFJ_vs_ENTJ,ordering_medians_cons_gt_bal_gt_aggr,crit_ordering_pass,band_hit_all,point_hit_all,band_hit_ISFJ,point_hit_ISFJ,band_hit_INTJ,point_hit_INTJ,band_hit_ENTJ,point_hit_ENTJ,crit_band_pass,auc_ovr_ISFJ,auc_ovr_INTJ,auc_ovr_ENTJ,auc_ovr_macro,auc_lr_cv_macro,crit_auc_pass,rf_r2_oof,rf_persona_share,rf_null_persona_share,rf_n_runs,rf_n_trees,crit_surrogate_pass,gate_pass
Llama-3.1-8B-Instruct,static,flat,15,5,1.0,1.0,0.9796789040599065,5,1.0,1.0,0.9081795893262752,5,0.9800000000000001,1.0,0.6593207862256195,0.36787944117144245,1.0,0.0,0.4237107971667934,0.2,0.4237107971667934,0.2,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.55,0.45,0.6,0.5333333333333333,0.5,False,-0.5564642857142756,0.0,,15,100,False,False
Llama-3.1-8B-Instruct,static,bull_trap,15,5,1.0,1.0,0.9960000000000001,5,1.0,1.0,0.8193577913339997,5,0.9800000000000001,1.0,0.7883079480832242,0.36787944117144245,1.0,0.0,0.4237107971667934,0.2,0.4237107971667934,0.2,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.55,0.45,0.6,0.5333333333333333,0.5,False,-1.2648928571428248,,,15,100,False,False
Llama-3.1-8B-Instruct,static,crash,45,15,1.0,1.0,0.9709465473044288,15,1.0,1.0,0.762907086358723,15,0.9466666666666668,1.0,0.7043505302393264,0.013763786733050551,1.0,0.0,0.03816774860894896,0.26666666666666666,0.03816774860894896,0.26666666666666666,False,False,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5666666666666667,0.43333333333333335,0.6333333333333333,0.5444444444444444,0.5533333333333333,False,-0.11286580267558421,0.9999999999999887,,45,100,False,False
Llama-3.1-8B-Instruct,memory,flat,15,5,1.0,1.0,0.9839177720266147,5,1.0,1.0,1.0,5,0.45999999999999996,0.5,0.21323370630443877,0.0012565450940855958,1.0,0.0,0.007088720793989425,1.0,0.007088720793989425,1.0,False,False,0.13333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,0.4,0.0,False,0.75,0.35,1.0,0.7000000000000001,0.7266666666666667,False,0.18278923766816157,1.0,,15,100,False,False
Llama-3.1-8B-Instruct,memory,bull_trap,15,5,1.0,1.0,0.9799077870905798,5,1.0,1.0,1.0,5,0.54,0.9,0.3828686062695881,0.0011936144399564298,1.0,0.0,0.006501702373081825,1.0,0.006501702373081825,1.0,False,False,0.13333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,0.4,0.0,False,0.75,0.35,1.0,0.7000000000000001,0.6733333333333333,False,0.1766371224165333,1.0,,15,100,False,False
Llama-3.1-8B-Instruct,memory,crash,45,15,1.0,1.0,0.9762496234149822,15,1.0,1.0,1.0,15,0.6133333333333334,0.9,0.34138799892157806,7.285574291289049e-10,1.0,0.0,4.953162513329624e-07,1.0,4.953162513329624e-07,1.0,False,False,0.06666666666666667,0.3333333333333333,0.0,1.0,0.0,0.0,0.2,0.0,False,0.75,0.3,1.0,0.6833333333333332,0.8333333333333334,True,0.20176343691651122,0.9079292147748311,,45,100,False,False
Qwen2.5-7B-Instruct,static,flat,15,5,0.3,0.5,0.3006875513588997,5,0.2,0.0,0.11977451342736856,5,0.0,0.0,0.0,0.15723716631362686,0.47328946538009,0.27999999999999997,0.4237107971667934,0.2,0.06679806847513828,0.6,False,False,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,0.7200000000000001,0.35,0.7000000000000001,0.59,0.47333333333333333,False,-0.09483125000000014,1.0,,15,100,False,False
Qwen2.5-7B-Instruct,static,bull_trap,15,5,0.3,0.5,0.296999661654978,5,0.4,0.5,0.31706299877111294,5,0.0,0.0,0.0,0.10228420671553684,0.8173613313851769,-0.12,0.07070114486598297,0.6,0.06679806847513828,0.6,False,False,0.4666666666666667,0.13333333333333333,0.0,0.0,0.4,0.4,1.0,0.0,False,0.6199999999999999,0.5499999999999999,0.7999999999999999,0.6566666666666666,0.5933333333333334,False,-0.026470930232558088,0.9999999999999917,,15,100,False,False
Qwen2.5-7B-Instruct,static,crash,45,15,0.5,0.5,0.49814202865438273,15,0.26666666666666666,0.5,0.2661874708703965,15,0.0,0.0,0.0,4.147241759650661e-07,0.003254906557422445,0.4666666666666667,0.0012804976908294236,0.5333333333333333,8.265685662204696e-08,1.0,False,False,0.5111111111111111,0.17777777777777778,0.0,0.0,0.5333333333333333,0.5333333333333333,1.0,0.0,False,0.8666666666666667,0.5166666666666666,0.8833333333333333,0.7555555555555555,0.7088888888888888,False,0.42712154150197656,0.9908651141984074,,45,100,False,False
Qwen2.5-7B-Instruct,memory,flat,15,5,0.4,0.5,0.3997805107052995,5,0.5,0.5,0.4001444423198947,5,0.0,0.0,0.0,0.022370771856165615,0.6985353583033387,-0.16,0.02315095198524634,0.8,0.019964453305216043,0.8,False,False,0.5333333333333333,0.2,0.0,0.0,0.6,0.6,1.0,0.0,False,0.66,0.6,0.8999999999999999,0.7200000000000001,0.6666666666666666,False,0.15550000000000008,0.9999999999999957,,15,100,False,False
