family,model,persona,agent_type,scenario,seed,discount,run_id,day,cash_share,action,Price,SMA20,SMA60,RSI14,MACD,Volume_Ratio,Implied_Volatility,Reported_PE,Dividend_Yield,Trend_Strength,Trend_Regime,Sentiment
mbti,Llama-3.1-8B-Instruct,ENTJ,memory,bull_trap,123,,Llama-3.1-8B-Instruct|ENTJ|memory|bull_trap|123|,1,0.0,BUY,99.72,99.72,99.72,50.0,0.0,1.0,15.0,15.1,2.65,0.0,0,0.33
mbti,Llama-3.1-8B-Instruct,ENTJ,static,bull_trap,123,,Llama-3.1-8B-Instruct|ENTJ|static|bull_trap|123|,1,1.0,HOLD,99.72,99.72,99.72,50.0,0.0,1.0,15.0,15.1,2.65,0.0,0,0.33
mbti,Llama-3.1-8B-Instruct,INTJ,memory,bull_trap,123,,Llama-3.1-8B-Instruct|INTJ|memory|bull_trap|123|,1,1.0,HOLD,99.72,99.72,99.72,50.0,0.0,1.0,15.0,15.1,2.65,0.0,0,0.33
mbti,Llama-3.1-8B-Instruct,INTJ,static,bull_trap,123,,Llama-3.1-8B-Instruct|INTJ|static|bull_trap|123|,1,1.0,HOLD,99.72,99.72,99.72,50.0,0.0,1.0,15.0,15.1,2.65,0.0,0,0.33
mbti,Llama-3.1-8B-Instruct,ISFJ,memory,bull_trap,123,,Llama-3.1-8B-Instruct|ISFJ|memory|bull_trap|123|,1,1.0,HOLD,99.72,99.72,99.72,50.0,0.0,1.0,15.0,15.1,2.65,0.0,0,0.33
mbti,Llama-3.1-8B-Instruct,ISFJ,static,bull_trap,123,,Llama-3.1-8B-Instruct|ISFJ|static|bull_trap|123|,1,1.0,HOLD,99.72,99.72,99.72,50.0,0.0,1.0,15.0,15.1,2.65,0.0,0,0.33
mbti,Llama-3.1-8B-Instruct,ENTJ,memory,bull_trap,42,,Llama-3.1-8B-Instruct|ENTJ|memory|bull_trap|42|,1,0.9,BUY,100.96,100.96,100.96,50.0,0.0,1.0,15.0,15.1,2.66,0.0,0,0.1
mbti,Llama-3.1-8B-Instruct,ENTJ,static,bull_trap,42,,Llama-3.1-8B-Instruct|ENTJ|static|bull_trap|42|,1,1.0,HOLD,100.96,100.96,100.96,50.0,0.0,1.0,15.0,15.1,2.66,0.0,0,0.1
mbti,Llama-3.1-8B-Instruct,INTJ,memory,bull_trap,42,,Llama-3.1-8B-Instruct|INTJ|memory|bull_trap|42|,1,1.0,HOLD,100.96,100.96,100.96,50.0,0.0,1.0,15.0,15.1,2.66,0.0,0,0.1
mbti,Llama-3.1-8B-Instruct,INTJ,static,bull_trap,42,,Llama-3.1-8B-Instruct|INTJ|static|bull_trap|42|,1,1.0,HOLD,100.96,100.96,100.96,50.0,0.0,1.0,15.0,15.1,2.66,0.0,0,0.1
mbti,Llama-3.1-8B-Instruct,ISFJ,memory,bull_trap,42,,Llama-3.1-8B-Instruct|ISFJ|memory|bull_trap|42|,1,1.0,HOLD,100.96,100.96,100.96,50.0,0.0,1.0,15.0,15.1,2.66,0.0,0,0.1
mbti,Llama-3.1-8B-Instruct,ISFJ,static,bull_trap,42,,Llama-3.1-8B-Instruct|ISFJ|static|bull_trap|42|,1,1.0,HOLD,100.96,100.96,100.96,50.0,0.0,1.0,15.0,15.1,2.66,0.0,0,0.1
mbti,Llama-3.1-8B-Instruct,ENTJ,memory,bull_trap,456,,Llama-3.1-8B-Instruct|ENTJ|memory|bull_trap|456|,1,0.9,BUY,99.94,99.94,99.94,50.0,0.0,1.0,15.0,15.1,2.65,0.0,0,0.06
mbti,Llama-3.1-8B-Instruct,ENTJ,static,bull_trap,456,,Llama-3.1-8B-Instruct|ENTJ|static|bull_trap|456|,1,0.9,BUY,99.94,99.94,99.94,50.0,0.0,1.0,15.0,15.1,2.65,0.0,0,0.06
mbti,Llama-3.1-8B-Instruct,INTJ,memory,bull_trap,456,,Llama-3.1-8B-Instruct|INTJ|memory|bull_trap|456|,1,1.0,HOLD,99.94,99.94,99.94,50.0,0.0,1.0,15.0,15.1,2.65,0.0,0,0.06
mbti,Llama-3.1-8B-Instruct,INTJ,static,bull_trap,456,,Llama-3.1-8B-Instruct|INTJ|static|bull_trap|456|,1,1.0,HOLD,99.94,99.94,99.94,50.0,0.0,1.0,15.0,15.1,2.65,0.0,0,0.06
mbti,Llama-3.1-8B-Instruct,ISFJ,memory,bull_trap,456,,Llama-3.1-8B-Instruct|ISFJ|memory|bull_trap|456|,1,1.0,HOLD,99.94,99.94,99.94,50.0,0.0,1.0,15.0,15.1,2.65,0.0,0,0.06
mbti,Llama-3.1-8B-Instruct,ISFJ,static,bull_trap,456,,Llama-3.1-8B-Instruct|ISFJ|static|bull_trap|456|,1,1.0,HOLD,99.94,99.94,99.94,50.0,0.0,1.0,15.0,15.1,2.65,0.0,0,0.06
mbti,Llama-3.1-8B-Instruct,ENTJ,memory,bull_trap,789,,Llama-3.1-8B-Instruct|ENTJ|memory|bull_trap|789|,1,0.0,BUY,98.44,98.44,98.44,50.0,0.0,1.0,15.0,14.9,2.68,0.0,0,0.15
mbti,Llama-3.1-8B-Instruct,ENTJ,static,bull_trap,789,,Llama-3.1-8B-Instruct|ENTJ|static|bull_trap|789|,1,1.0,HOLD,98.44,98.44,98.44,50.0,0.0,1.0,15.0,14.9,2.68,0.0,0,0.15
mbti,Llama-3.1-8B-Instruct,INTJ,memory,bull_trap,789,,Llama-3.1-8B-Instruct|INTJ|memory|bull_trap|789|,1,1.0,HOLD,98.44,98.44,98.44,50.0,0.0,1.0,15.0,14.9,2.68,0.0,0,0.15
mbti,Llama-3.1-8B-Instruct,INTJ,static,bull_trap,789,,Llama-3.1-8B-Instruct|INTJ|static|bull_trap|789|,1,1.0,HOLD,98.44,98.44,98.44,50.0,0.0,1.0,15.0,14.9,2.68,0.0,0,0.15
mbti,Llama-3.1-8B-Instruct,ISFJ,memory,bull_trap,789,,Llama-3.1-8B-Instruct|ISFJ|memory|bull_trap|789|,1,1.0,HOLD,98.44,98.44,98.44,50.0,0.0,1.0,15.0,14.9,2.68,0.0,0,0.15
mbti,Llama-3.1-8B-Instruct,ISFJ,static,bull_trap,789,,Llama-3.1-8B-Instruct|ISFJ|static|bull_trap|789|,1,1.0,HOLD,98.44,98.44,98.44,50.0,0.0,1.0,15.0,14.9,2.68,0.0,0,0.15
mbti,Llama-3.1-8B-Instruct,ENTJ,memory,bull_trap,999,,Llama-3.1-8B-Instruct|ENTJ|memory|bull_trap|999|,1,0.9,BUY,97.06,97.06,97.06,50.0,0.0,1.0,15.0,14.5,2.75,0.0,0,-0.01
mbti,Llama-3.1-8B-Instruct,ENTJ,static,bull_trap,999,,Llama-3.1-8B-Instruct|ENTJ|static|bull_trap|999|,1,1.0,HOLD,97.06,97.06,97.06,50.0,0.0,1.0,15.0,14.5,2.75,0.0,0,-0.01
mbti,Llama-3.1-8B-Instruct,INTJ,memory,bull_trap,999,,Llama-3.1-8B-Instruct|INTJ|memory|bull_trap|999|,1,1.0,HOLD,97.06,97.06,97.06,50.0,0.0,1.0,15.0,14.5,2.75,0.0,0,-0.01
mbti,Llama-3.1-8B-Instruct,INTJ,static,bull_trap,999,,Llama-3.1-8B-Instruct|INTJ|static|bull_trap|999|,1,1.0,HOLD,97.06,97.06,97.06,50.0,0.0,1.0,15.0,14.5,2.75,0.0,0,-0.01
mbti,Llama-3.1-8B-Instruct,ISFJ,memory,bull_trap,999,,Llama-3.1-8B-Instruct|ISFJ|memory|bull_trap|999|,1,1.0,HOLD,97.06,97.06,97.06,50.0,0.0,1.0,15.0,14.5,2.75,0.0,0,-0.01
mbti,Llama-3.1-8B-Instruct,ISFJ,static,bull_trap,999,,Llama-3.1-8B-Instruct|ISFJ|static|bull_trap|999|,1,1.0,HOLD,97.06,97.06,97.06,50.0,0.0,1.0,15.0,14.5,2.75,0.0,0,-0.01
mbti,Llama-3.1-8B-Instruct,ENTJ,memory,crash,123,0.85,Llama-3.1-8B-Instruct|ENTJ|memory|crash|123|0.85,1,0.5,BUY,85.59,85.59,85.59,50.0,0.0,1.0,15.0,12.9,3.1,0.0,0,0.33
mbti,Llama-3.1-8B-Instruct,ENTJ,static,crash,123,0.85,Llama-3.1-8B-Instruct|ENTJ|static|crash|123|0.85,1,0.9,BUY,85.59,85.59,85.59,50.0,0.0,1.0,15.0,12.9,3.1,0.0,0,0.33
mbti,Llama-3.1-8B-Instruct,INTJ,memory,crash,123,0.85,Llama-3.1-8B-Instruct|INTJ|memory|crash|123|0.85,1,1.0,HOLD,85.59,85.59,85.59,50.0,0.0,1.0,15.0,12.9,3.1,0.0,0,0.33
mbti,Llama-3.1-8B-Instruct,INTJ,static,crash,123,0.85,Llama-3.1-8B-Instruct|INTJ|static|crash|123|0.85,1,1.0,HOLD,85.59,85.59,85.59,50.0,0.0,1.0,15.0,12.9,3.1,0.0,0,0.33
mbti,Llama-3.1-8B-Instruct,ISFJ,memory,crash,123,0.85,Llama-3.1-8B-Instruct|ISFJ|memory|crash|123|0.85,1,1.0,HOLD,85.59,85.59,85.59,50.0,0.0,1.0,15.0,12.9,3.1,0.0,0,0.33
mbti,Llama-3.1-8B-Instruct,ISFJ,static,crash,123,0.85,Llama-3.1-8B-Instruct|ISFJ|static|crash|123|0.85,1,1.0,HOLD,85.59,85.59,85.59,50.0,0.0,1.0,15.0,12.9,3.1,0.0,0,0.33
mbti,Llama-3.1-8B-Instruct,ENTJ,memory,crash,42,0.85,Llama-3.1-8B-Instruct|ENTJ|memory|crash|42|0.85,1,0.0,BUY,85.75,85.75,85.75,50.0,0.0,1.0,15.0,12.8,3.12,0.0,0,0.1
mbti,Llama-3.1-8B-Instruct,ENTJ,static,crash,42,0.85,Llama-3.1-8B-Instruct|ENTJ|static|crash|42|0.85,1,1.0,HOLD,85.75,85.75,85.75,50.0,0.0,1.0,15.0,12.8,3.12,0.0,0,0.1
mbti,Llama-3.1-8B-Instruct,INTJ,memory,crash,42,0.85,Llama-3.1-8B-Instruct|INTJ|memory|crash|42|0.85,1,1.0,HOLD,85.75,85.75,85.75,50.0,0.0,1.0,15.0,12.8,3.12,0.0,0,0.1
mbti,Llama-3.1-8B-Instruct,INTJ,static,crash,42,0.85,Llama-3.1-8B-Instruct|INTJ|static|crash|42|0.85,1,1.0,HOLD,85.75,85.75,85.75,50.0,0.0,1.0,15.0,12.8,3.12,0.0,0,0.1
mbti,Llama-3.1-8B-Instruct,ISFJ,memory,crash,42,0.85,Llama-3.1-8B-Instruct|ISFJ|memory|crash|42|0.85,1,1.0,HOLD,85.75,85.75,85.75,50.0,0.0,1.0,15.0,12.8,3.12,0.0,0,0.1
mbti,Llama-3.1-8B-Instruct,ISFJ,static,crash,42,0.85,Llama-3.1-8B-Instruct|ISFJ|static|crash|42|0.85,1,1.0,HOLD,85.75,85.75,85.75,50.0,0.0,1.0,15.0,12.8,3.12,0.0,0,0.1
mbti,Llama-3.1-8B-Instruct,ENTJ,memory,crash,456,0.85,Llama-3.1-8B-Instruct|ENTJ|memory|crash|456|0.85,1,0.5,BUY,85.48,85.48,85.48,50.0,0.0,1.0,15.0,12.9,3.11,0.0,0,0.06
mbti,Llama-3.1-8B-Instruct,ENTJ,static,crash,456,0.85,Llama-3.1-8B-Instruct|ENTJ|static|crash|456|0.85,1,1.0,HOLD,85.48,85.48,85.48,50.0,0.0,1.0,15.0,12.9,3.11,0.0,0,0.06
mbti,Llama-3.1-8B-Instruct,INTJ,memory,crash,456,0.85,Llama-3.1-8B-Instruct|INTJ|memory|crash|456|0.85,1,1.0,HOLD,85.48,85.48,85.48,50.0,0.0,1.0,15.0,12.9,3.11,0.0,0,0.06
mbti,Llama-3.1-8B-Instruct,INTJ,static,crash,456,0.85,Llama-3.1-8B-Instruct|INTJ|static|crash|456|0.85,1,1.0,HOLD,85.48,85.48,85.48,50.0,0.0,1.0,15.0,12.9,3.11,0.0,0,0.06
mbti,Llama-3.1-8B-Instruct,ISFJ,memory,crash,456,0.85,Llama-3.1-8B-Instruct|ISFJ|memory|crash|456|0.85,1,1.0,HOLD,85.48,85.48,85.48,50.0,0.0,1.0,15.0,12.9,3.11,0.0,0,0.06
mbti,Llama-3.1-8B-Instruct,ISFJ,static,crash,456,0.85,Llama-3.1-8B-Instruct|ISFJ|static|crash|456|0.85,1,1.0,HOLD,85.48,85.48,85.48,50.0,0.0,1.0,15.0,12.9,3.11,0.0,0,0.06
mbti,Llama-3.1-8B-Instruct,ENTJ,memory,crash,789,0.85,Llama-3.1-8B-Instruct|ENTJ|memory|crash|789|0.85,1,0.5,BUY,83.7,83.7,83.7,50.0,0.0,1.0,15.0,12.6,3.17,0.0,0,0.15
mbti,Llama-3.1-8B-Instruct,ENTJ,static,crash,789,0.85,Llama-3.1-8B-Instruct|ENTJ|static|crash|789|0.85,1,1.0,HOLD,83.7,83.7,83.7,50.0,0.0,1.0,15.0,12.6,3.17,0.0,0,0.15
mbti,Llama-3.1-8B-Instruct,INTJ,memory,crash,789,0.85,Llama-3.1-8B-Instruct|INTJ|memory|crash|789|0.85,1,1.0,HOLD,83.7,83.7,83.7,50.0,0.0,1.0,15.0,12.6,3.17,0.0,0,0.15
mbti,Llama-3.1-8B-Instruct,INTJ,static,crash,789,0.85,Llama-3.1-8B-Instruct|INTJ|static|crash|789|0.85,1,1.0,HOLD,83.7,83.7,83.7,50.0,0.0,1.0,15.0,12.6,3.17,0.0,0,0.15
mbti,Llama-3.1-8B-Instruct,ISFJ,memory,crash,789,0.85,Llama-3.1-8B-Instruct|ISFJ|memory|crash|789|0.85,1,1.0,HOLD,83.7,83.7,83.7,50.0,0.0,1.0,15.0,12.6,3.17,0.0,0,0.15
mbti,Llama-3.1-8B-Instruct,ISFJ,static,crash,789,0.85,Llama-3.1-8B-Instruct|ISFJ|static|crash|789|0.85,1,1.0,HOLD,83.7,83.7,83.7,50.0,0.0,1.0,15.0,12.6,3.17,0.0,0,0.15
mbti,Llama-3.1-8B-Instruct,ENTJ,memory,crash,999,0.85,Llama-3.1-8B-Instruct|ENTJ|memory|crash|999|0.85,1,0.9,BUY,80.3,80.3,80.3,50.0,0.0,1.0,15.0,12.0,3.32,0.0,0,-0.01
mbti,Llama-3.1-8B-Instruct,ENTJ,static,crash,999,0.85,Llama-3.1-8B-Instruct|ENTJ|static|crash|999|0.85,1,1.0,HOLD,80.3,80.3,80.3,50.0,0.0,1.0,15.0,12.0,3.32,0.0,0,-0.01
