source,model,model_col,persona,agent_type,scenario,seed,discount,path_variant,file,n_rows,n_fallback,fallback_frac,mean_cash_share,point_mas_v1,point_mas_v2,band_mas_v2,rel_mas,rg_v1,rg_v1_n,coverage_0.03,rg_0.03,rg_0.03_n,rg_action_0.03,rg_action_0.03_n,coverage_action_0.03,coverage_0.05,rg_0.05,rg_0.05_n,rg_action_0.05,rg_action_0.05_n,coverage_action_0.05,coverage_0.08,rg_0.08,rg_0.08_n,rg_action_0.08,rg_action_0.08_n,coverage_action_0.08,final_value,return_pct,max_drawdown_pct,trade_count,zero_trade,effective_trade_count,turnover,fallback_hold_rows,cash_share_day1,floor_rg_v1,ceil_rg_v1,norm_rg_v1,norm_degenerate_rg_v1,bl_always_hold_rg_v1,bl_random_rg_v1,bl_buy_day1_hold_rg_v1,bl_mco_0.05_rg_v1,floor_rg_0.03,ceil_rg_0.03,norm_rg_0.03,norm_degenerate_rg_0.03,floor_rg_0.05,ceil_rg_0.05,norm_rg_0.05,norm_degenerate_rg_0.05,bl_always_hold_rg_0.05,bl_random_rg_0.05,bl_buy_day1_hold_rg_0.05,bl_mco_0.05_rg_0.05,floor_rg_0.08,ceil_rg_0.08,norm_rg_0.08,norm_degenerate_rg_0.08,floor_rg_action_0.03,ceil_rg_action_0.03,norm_rg_action_0.03,norm_degenerate_rg_action_0.03,floor_rg_action_0.05,ceil_rg_action_0.05,norm_rg_action_0.05,norm_degenerate_rg_action_0.05,floor_rg_action_0.08,ceil_rg_action_0.08,norm_rg_action_0.08,norm_degenerate_rg_action_0.08,floor_return_pct,ceil_return_pct,norm_return_pct,norm_degenerate_return_pct,bl_always_hold_return_pct,bl_random_return_pct,bl_buy_day1_hold_return_pct,bl_mco_0.05_return_pct,floor_point_mas_v1,ceil_point_mas_v1,norm_point_mas_v1,norm_degenerate_point_mas_v1,floor_point_mas_v2,ceil_point_mas_v2,norm_point_mas_v2,norm_degenerate_point_mas_v2,floor_band_mas_v2,ceil_band_mas_v2,norm_band_mas_v2,norm_degenerate_band_mas_v2,beats_k_rg_v1,beats_n_rg_v1,beats_k_rg_0.05,beats_n_rg_0.05,beats_k_return_pct,beats_n_return_pct,beats_k_point_mas_v1,beats_n_point_mas_v1,beats_k_point_mas_v2,beats_n_point_mas_v2,beats_k_band_mas_v2,beats_n_band_mas_v2,beats_k_max_drawdown_pct,beats_n_max_drawdown_pct
april,claude_haiku_4_5,claude-haiku-4-5-20251001,ENTJ,memory,bull_trap,123,,0,results_april/claude_haiku_4_5_200/claude-haiku-4-5-20251001/bull_trap/seed123/ENTJ_memory_bull_trap_seed123.csv,200,0,0.0,0.5620868237890009,0.45818845228017424,0.48833217791136213,0.4101376380345876,0.43791317621099923,66.5,200,0.58,76.72413793103449,116,57.8125,64,0.32,0.57,78.0701754385965,114,59.67741935483871,62,0.31,0.555,78.37837837837837,111,60.0,60,0.3,12561.608659341024,25.616086593410238,-6.3847439858887185,76,0,76,42.09043351316869,0,1.0,99.5,77.5,,1,78.0,67.75,99.5,77.5,100.0,99.13793103448276,,1,100.0,99.12280701754386,,1,100.0,68.33333333333334,100.0,99.12280701754386,100.0,100.0,,1,53.25986950961128,0.0,,1,53.24360599246104,0.0,,1,53.25562575863061,,,1,94.90573606097074,51.28805254343699,,1,0.0,38.056555323984824,94.90573606097074,51.28805254343699,0.8,7.494005416219807e-18,0.42726443464978225,0,0.9000000000000002,6.522560269672794e-18,0.45740869120959776,0,0.8,0.0,0.4873279524567656,0,1,11,2.0,11,4,11,4,11,4,11,4,11,5,11
april,claude_haiku_4_5,claude-haiku-4-5-20251001,ENTJ,static,bull_trap,123,,0,results_april/claude_haiku_4_5_200/claude-haiku-4-5-20251001/bull_trap/seed123/ENTJ_static_bull_trap_seed123.csv,200,0,0.0,0.49708521432310293,0.4378750866490968,0.4554965108424035,0.3674801504860998,0.5029147856768972,77.5,200,0.58,87.93103448275862,116,39.130434782608695,23,0.115,0.57,89.47368421052632,114,42.857142857142854,21,0.105,0.555,90.09009009009009,111,42.10526315789473,19,0.095,11870.75309969175,18.707530996917505,-5.706387996351559,59,0,59,13.432410784470388,0,1.0,99.5,77.5,,1,78.0,67.75,99.5,77.5,100.0,99.13793103448276,,1,100.0,99.12280701754386,,1,100.0,68.33333333333334,100.0,99.12280701754386,100.0,100.0,,1,53.25986950961128,0.0,,1,53.24360599246104,0.0,,1,53.25562575863061,,,1,94.90573606097074,51.28805254343699,,1,0.0,38.056555323984824,94.90573606097074,51.28805254343699,0.8,7.494005416219807e-18,0.45265614168862905,0,0.9000000000000002,6.522560269672794e-18,0.49389276573066293,0,0.8,0.0,0.5406498118923753,0,2,11,2.0,11,4,11,4,11,5,11,5,11,5,11
april,claude_haiku_4_5,claude-haiku-4-5-20251001,INTJ,memory,bull_trap,123,,0,results_april/claude_haiku_4_5_200/claude-haiku-4-5-20251001/bull_trap/seed123/INTJ_memory_bull_trap_seed123.csv,200,0,0.0,0.8349740319736283,0.39677082479384196,0.39677082479384196,0.3107025924347593,0.1650259680263718,90.0,200,0.58,100.0,116,100.0,2,0.01,0.57,100.0,114,100.0,2,0.01,0.555,100.0,111,100.0,1,0.005,11401.973255464209,14.019732554642086,-3.0828798590325612,4,0,4,1.6401973255464206,0,1.0,99.5,77.5,,1,78.0,67.75,99.5,77.5,100.0,99.13793103448276,,1,100.0,99.12280701754386,,1,100.0,68.33333333333334,100.0,99.12280701754386,100.0,100.0,,1,53.25986950961128,0.0,,1,53.24360599246104,0.0,,1,53.25562575863061,,,1,94.90573606097074,23.137135609257385,,1,0.0,38.056555323984824,94.90573606097074,23.137135609257385,0.5,3.0531133177191805e-18,0.20645835041231608,0,0.5,3.0531133177191805e-18,0.20645835041231608,0,0.4,0.0,0.22324351891310185,0,7,11,4.0,11,4,11,7,11,7,11,7,11,7,11
april,claude_haiku_4_5,claude-haiku-4-5-20251001,INTJ,static,bull_trap,123,,0,results_april/claude_haiku_4_5_200/claude-haiku-4-5-20251001/bull_trap/seed123/INTJ_static_bull_trap_seed123.csv,200,0,0.0,0.7110365476502146,0.42981628753920165,0.42981628753920165,0.3299311781585771,0.2889634523497855,87.0,200,0.58,99.13793103448276,116,50.0,2,0.01,0.57,99.12280701754386,114,50.0,2,0.01,0.555,99.09909909909909,111,0.0,1,0.005,11456.887073532424,14.568870735324236,-3.3387903117621964,11,0,11,2.9536185681330593,0,1.0,99.5,77.5,,1,78.0,67.75,99.5,77.5,100.0,99.13793103448276,,1,100.0,99.12280701754386,,1,100.0,68.33333333333334,100.0,99.12280701754386,100.0,100.0,,1,53.25986950961128,0.0,,1,53.24360599246104,0.0,,1,53.25562575863061,,,1,94.90573606097074,23.137135609257385,,1,0.0,38.056555323984824,94.90573606097074,23.137135609257385,0.5,3.0531133177191805e-18,0.1403674249215967,0,0.5,3.0531133177191805e-18,0.1403674249215967,0,0.4,0.0,0.17517205460355734,0,7,11,3.0,11,4,11,7,11,7,11,7,11,7,11
april,claude_haiku_4_5,claude-haiku-4-5-20251001,ISFJ,memory,bull_trap,123,,0,results_april/claude_haiku_4_5_200/claude-haiku-4-5-20251001/bull_trap/seed123/ISFJ_memory_bull_trap_seed123.csv,200,0,0.0,0.7055157322956833,0.29448426770431674,0.2831445730972838,0.1854574256417889,0.29448426770431674,89.5,200,0.58,100.0,116,100.0,4,0.02,0.57,100.0,114,100.0,4,0.02,0.555,100.0,111,100.0,4,0.02,14740.002863542466,47.40002863542466,-3.7358685345949882,6,0,6,1.6290002863542468,0,1.0,99.5,77.5,,1,78.0,67.75,99.5,77.5,100.0,99.13793103448276,,1,100.0,99.12280701754386,,1,100.0,68.33333333333334,100.0,99.12280701754386,100.0,100.0,,1,53.25986950961128,0.0,,1,53.24360599246104,0.0,,1,53.25562575863061,,,1,94.90573606097074,5.363162860117936,,1,0.0,38.056555323984824,94.90573606097074,5.363162860117936,1.0,0.0,0.7055157322956833,0,0.8,1.3877787807814457e-17,0.6460692836283952,0,0.7,0.0,0.7350608205117302,0,8,11,4.0,11,8,11,4,11,4,11,4,11,4,11
april,claude_haiku_4_5,claude-haiku-4-5-20251001,ISFJ,static,bull_trap,123,,0,results_april/claude_haiku_4_5_200/claude-haiku-4-5-20251001/bull_trap/seed123/ISFJ_static_bull_trap_seed123.csv,200,0,0.0,0.4602797468998153,0.5397202531001847,0.3537202531001846,0.2537202531001847,0.5397202531001847,94.0,200,0.58,98.27586206896551,116,50.0,4,0.02,0.57,100.0,114,100.0,2,0.01,0.555,100.0,111,100.0,2,0.01,15270.223395726276,52.702233957262756,-4.455346350572453,16,0,16,2.9399344911611838,0,1.0,99.5,77.5,,1,78.0,67.75,99.5,77.5,100.0,99.13793103448276,,1,100.0,99.12280701754386,,1,100.0,68.33333333333334,100.0,99.12280701754386,100.0,100.0,,1,53.25986950961128,0.0,,1,53.24360599246104,0.0,,1,53.25562575863061,,,1,94.90573606097074,5.363162860117936,,1,0.0,38.056555323984824,94.90573606097074,5.363162860117936,1.0,0.0,0.4602797468998153,0,0.8,1.3877787807814457e-17,0.5578496836247693,0,0.7,0.0,0.6375424955711647,0,9,11,4.0,11,8,11,3,11,3,11,4,11,4,11
april,claude_haiku_4_5,claude-haiku-4-5-20251001,ENTJ,memory,bull_trap,42,,0,results_april/claude_haiku_4_5_200/claude-haiku-4-5-20251001/bull_trap/seed42/ENTJ_memory_bull_trap_seed42.csv,200,0,0.0,0.709733804574831,0.5853211417357387,0.6408043264058496,0.5475274731552849,0.2902661954251689,64.0,200,0.6,70.0,120,54.54545454545454,77,0.385,0.585,70.94017094017094,117,55.26315789473685,76,0.38,0.58,71.55172413793103,116,56.00000000000001,75,0.375,14454.780398192144,44.54780398192144,-2.361120390939142,77,0,77,44.97522053339629,0,1.0,99.5,81.0,,1,81.5,67.75,99.5,81.0,100.0,98.33333333333333,,1,100.0,99.14529914529915,,1,100.0,68.37606837606839,100.0,99.14529914529915,100.0,100.0,,1,52.980664988066245,0.0,,1,53.328414876631186,0.0,,1,53.25986950961128,,,1,130.90332805071316,90.55107566849904,,1,0.0,48.291512027939646,130.90332805071316,90.55107566849904,0.8,7.91033905045424e-18,0.2683485728303267,0,0.9000000000000002,5.898059818321144e-18,0.2879951928823895,0,0.8,0.0,0.31559065855589385,0,1,11,2.0,11,4,11,4,11,3,11,3,11,8,11
april,claude_haiku_4_5,claude-haiku-4-5-20251001,ENTJ,static,bull_trap,42,,0,results_april/claude_haiku_4_5_200/claude-haiku-4-5-20251001/bull_trap/seed42/ENTJ_static_bull_trap_seed42.csv,200,0,0.0,0.5270961466515371,0.469463292749632,0.4861483239482516,0.39827971970058457,0.4729038533484628,88.5,200,0.6,87.5,120,48.275862068965516,29,0.145,0.585,88.03418803418803,117,50.0,28,0.14,0.58,88.79310344827587,116,51.85185185185185,27,0.135,12252.375167172551,22.523751671725513,-8.614818173164828,41,0,41,9.012883571761266,0,1.0,99.5,81.0,,1,81.5,67.75,99.5,81.0,100.0,98.33333333333333,,1,100.0,99.14529914529915,,1,100.0,68.37606837606839,100.0,99.14529914529915,100.0,100.0,,1,52.980664988066245,0.0,,1,53.328414876631186,0.0,,1,53.25986950961128,,,1,130.90332805071316,90.55107566849904,,1,0.0,48.291512027939646,130.90332805071316,90.55107566849904,0.8,7.91033905045424e-18,0.41317088406296004,0,0.9000000000000002,5.898059818321144e-18,0.45983519561305397,0,0.8,0.0,0.5021503503742694,0,7,11,2.0,11,4,11,4,11,4,11,4,11,6,11
april,claude_haiku_4_5,claude-haiku-4-5-20251001,INTJ,memory,bull_trap,42,,0,results_april/claude_haiku_4_5_200/claude-haiku-4-5-20251001/bull_trap/seed42/INTJ_memory_bull_trap_seed42.csv,200,0,0.0,0.7871785746661453,0.38543486914118874,0.38543486914118874,0.2854348691411887,0.21282142533385462,96.5,200,0.6,100.0,120,100.0,2,0.01,0.585,100.0,117,100.0,2,0.01,0.58,100.0,116,100.0,2,0.01,11029.740359897172,10.297403598971723,-5.79623648363995,3,0,3,1.4029740359897171,0,1.0,99.5,81.0,,1,81.5,67.75,99.5,81.0,100.0,98.33333333333333,,1,100.0,99.14529914529915,,1,100.0,68.37606837606839,100.0,99.14529914529915,100.0,100.0,,1,52.980664988066245,0.0,,1,53.328414876631186,0.0,,1,53.25986950961128,,,1,130.90332805071316,38.21342521158611,,1,0.0,48.291512027939646,130.90332805071316,38.21342521158611,0.5,1.6653345369377347e-18,0.22913026171762252,0,0.5,1.6653345369377347e-18,0.22913026171762252,0,0.4,0.0,0.28641282714702826,0,7,11,3.0,11,3,11,7,11,7,11,7,11,7,11
april,claude_haiku_4_5,claude-haiku-4-5-20251001,INTJ,static,bull_trap,42,,0,results_april/claude_haiku_4_5_200/claude-haiku-4-5-20251001/bull_trap/seed42/INTJ_static_bull_trap_seed42.csv,200,0,0.0,0.7032679395977953,0.4523601128614541,0.4523601128614541,0.35246294237134845,0.2967320604022047,97.0,200,0.6,100.0,120,100.0,4,0.02,0.585,100.0,117,100.0,4,0.02,0.58,100.0,116,100.0,4,0.02,11412.602719615586,14.126027196155865,-7.752069427226416,6,0,6,1.8962602719615584,0,1.0,99.5,81.0,,1,81.5,67.75,99.5,81.0,100.0,98.33333333333333,,1,100.0,99.14529914529915,,1,100.0,68.37606837606839,100.0,99.14529914529915,100.0,100.0,,1,52.980664988066245,0.0,,1,53.328414876631186,0.0,,1,53.25986950961128,,,1,130.90332805071316,38.21342521158611,,1,0.0,48.291512027939646,130.90332805071316,38.21342521158611,0.5,1.6653345369377347e-18,0.09527977427709178,0,0.5,1.6653345369377347e-18,0.09527977427709178,0,0.4,0.0,0.11884264407162892,0,8,11,3.0,11,3,11,7,11,7,11,7,11,7,11
april,claude_haiku_4_5,claude-haiku-4-5-20251001,ISFJ,memory,bull_trap,42,,0,results_april/claude_haiku_4_5_200/claude-haiku-4-5-20251001/bull_trap/seed42/ISFJ_memory_bull_trap_seed42.csv,200,0,0.0,1.0,0.0,0.19999999999999996,0.09999999999999996,0.0,81.5,200,0.6,99.16666666666667,120,,0,0.0,0.585,100.0,117,,0,0.0,0.58,100.0,116,,0,0.0,10000.0,0.0,0.0,0,1,0,0.0,0,1.0,99.5,81.0,,1,81.5,67.75,99.5,81.0,100.0,98.33333333333333,,1,100.0,99.14529914529915,,1,100.0,68.37606837606839,100.0,99.14529914529915,100.0,100.0,,1,52.980664988066245,0.0,,1,53.328414876631186,0.0,,1,53.25986950961128,,,1,130.90332805071316,8.452667434482391,,1,0.0,48.291512027939646,130.90332805071316,8.452667434482391,1.0,0.0,1.0,0,0.8,1.5543122344752193e-17,0.7500000000000001,0,0.7,0.0,0.8571428571428572,0,3,11,3.0,11,0,11,7,11,5,11,5,11,7,11
april,claude_haiku_4_5,claude-haiku-4-5-20251001,ISFJ,static,bull_trap,42,,0,results_april/claude_haiku_4_5_200/claude-haiku-4-5-20251001/bull_trap/seed42/ISFJ_static_bull_trap_seed42.csv,200,0,0.0,0.45074581903603234,0.5492541809639675,0.3632541809639677,0.2685184457860892,0.5492541809639675,97.5,200,0.6,100.0,120,100.0,3,0.015,0.585,100.0,117,100.0,3,0.015,0.58,100.0,116,100.0,3,0.015,14722.921420866363,47.229214208663635,-10.718005899208427,8,0,8,1.8478034518022273,0,1.0,99.5,81.0,,1,81.5,67.75,99.5,81.0,100.0,98.33333333333333,,1,100.0,99.14529914529915,,1,100.0,68.37606837606839,100.0,99.14529914529915,100.0,100.0,,1,52.980664988066245,0.0,,1,53.328414876631186,0.0,,1,53.25986950961128,,,1,130.90332805071316,8.452667434482391,,1,0.0,48.291512027939646,130.90332805071316,8.452667434482391,1.0,0.0,0.4507458190360325,0,0.8,1.5543122344752193e-17,0.5459322737950404,0,0.7,0.0,0.6164022203055869,0,9,11,3.0,11,7,11,3,11,4,11,4,11,2,11
april,claude_haiku_4_5,claude-haiku-4-5-20251001,ENTJ,memory,bull_trap,456,,0,results_april/claude_haiku_4_5_200/claude-haiku-4-5-20251001/bull_trap/seed456/ENTJ_memory_bull_trap_seed456.csv,200,0,0.0,0.37311208613422037,0.37129087751423506,0.3637123165062702,0.27220148182422776,0.6268879138657796,77.0,200,0.59,77.11864406779661,118,60.29411764705882,68,0.34,0.58,77.58620689655173,116,60.60606060606061,66,0.33,0.575,77.39130434782608,115,60.0,65,0.325,13406.88200547022,34.06882005470219,-4.194379104425416,77,0,77,46.257162461328186,0,1.0,99.5,80.5,,1,81.0,67.8,99.5,80.5,100.0,99.15254237288136,,1,100.0,99.13793103448276,,1,100.0,68.36206896551724,100.0,99.13793103448276,100.0,100.0,,1,53.3963993417025,0.0,,1,53.25986950961128,0.0,,1,53.42124567173816,,,1,111.46688012807684,51.35737009582321,,1,0.0,41.767042402878964,111.46688012807684,51.35737009582321,0.8,1.0685896612017132e-17,0.5358864031072061,0,0.9000000000000002,5.898059818321144e-18,0.595875203881922,0,0.8,0.0,0.6597481477197153,0,2,11,2.0,11,4,11,5,11,6,11,6,11,6,11
april,claude_haiku_4_5,claude-haiku-4-5-20251001,ENTJ,static,bull_trap,456,,0,results_april/claude_haiku_4_5_200/claude-haiku-4-5-20251001/bull_trap/seed456/ENTJ_static_bull_trap_seed456.csv,200,0,0.0,0.4687481274816001,0.43067043299380253,0.43815636659645435,0.34970928023770126,0.5312518725183999,85.0,200,0.59,92.37288135593221,118,40.0,15,0.075,0.58,92.24137931034483,116,30.76923076923077,13,0.065,0.575,92.17391304347827,115,25.0,12,0.06,11436.024515967509,14.360245159675086,-5.0468654233798755,34,0,34,6.645909221959542,0,1.0,99.5,80.5,,1,81.0,67.8,99.5,80.5,100.0,99.15254237288136,,1,100.0,99.13793103448276,,1,100.0,68.36206896551724,100.0,99.13793103448276,100.0,100.0,,1,53.3963993417025,0.0,,1,53.25986950961128,0.0,,1,53.42124567173816,,,1,111.46688012807684,51.35737009582321,,1,0.0,41.767042402878964,111.46688012807684,51.35737009582321,0.8,1.0685896612017132e-17,0.46166195875774685,0,0.9000000000000002,5.898059818321144e-18,0.5131595926706064,0,0.8,0.0,0.5628633997028735,0,7,11,2.0,11,4,11,4,11,5,11,5,11,4,11
april,claude_haiku_4_5,claude-haiku-4-5-20251001,INTJ,memory,bull_trap,456,,0,results_april/claude_haiku_4_5_200/claude-haiku-4-5-20251001/bull_trap/seed456/INTJ_memory_bull_trap_seed456.csv,200,0,0.0,1.0,0.5,0.5,0.4,0.0,81.0,200,0.59,100.0,118,,0,0.0,0.58,100.0,116,,0,0.0,0.575,100.0,115,,0,0.0,10000.0,0.0,0.0,0,1,0,0.0,0,1.0,99.5,80.5,,1,81.0,67.8,99.5,80.5,100.0,99.15254237288136,,1,100.0,99.13793103448276,,1,100.0,68.36206896551724,100.0,99.13793103448276,100.0,100.0,,1,53.3963993417025,0.0,,1,53.25986950961128,0.0,,1,53.42124567173816,,,1,111.46688012807684,23.148088926482888,,1,0.0,41.767042402878964,111.46688012807684,23.148088926482888,0.5,2.220446049250313e-18,0.0,0,0.5,2.220446049250313e-18,0.0,0,0.4,0.0,0.0,0,3,11,3.0,11,0,11,0,11,0,11,0,11,7,11
april,claude_haiku_4_5,claude-haiku-4-5-20251001,INTJ,static,bull_trap,456,,0,results_april/claude_haiku_4_5_200/claude-haiku-4-5-20251001/bull_trap/seed456/INTJ_static_bull_trap_seed456.csv,200,0,0.0,1.0,0.5,0.5,0.4,0.0,81.0,200,0.59,100.0,118,,0,0.0,0.58,100.0,116,,0,0.0,0.575,100.0,115,,0,0.0,10000.0,0.0,0.0,0,1,0,0.0,0,1.0,99.5,80.5,,1,81.0,67.8,99.5,80.5,100.0,99.15254237288136,,1,100.0,99.13793103448276,,1,100.0,68.36206896551724,100.0,99.13793103448276,100.0,100.0,,1,53.3963993417025,0.0,,1,53.25986950961128,0.0,,1,53.42124567173816,,,1,111.46688012807684,23.148088926482888,,1,0.0,41.767042402878964,111.46688012807684,23.148088926482888,0.5,2.220446049250313e-18,0.0,0,0.5,2.220446049250313e-18,0.0,0,0.4,0.0,0.0,0,3,11,3.0,11,0,11,0,11,0,11,0,11,7,11
april,claude_haiku_4_5,claude-haiku-4-5-20251001,ISFJ,memory,bull_trap,456,,0,results_april/claude_haiku_4_5_200/claude-haiku-4-5-20251001/bull_trap/seed456/ISFJ_memory_bull_trap_seed456.csv,200,0,0.0,0.9563473458086006,0.043652654191399416,0.1909265953258297,0.09279429280287672,0.043652654191399416,85.0,200,0.59,100.0,118,100.0,3,0.015,0.58,100.0,116,100.0,3,0.015,0.575,100.0,115,100.0,2,0.01,10605.203722106786,6.052037221067859,-1.0132249683086347,4,0,4,0.7605203722106785,0,1.0,99.5,80.5,,1,81.0,67.8,99.5,80.5,100.0,99.15254237288136,,1,100.0,99.13793103448276,,1,100.0,68.36206896551724,100.0,99.13793103448276,100.0,100.0,,1,53.3963993417025,0.0,,1,53.25986950961128,0.0,,1,53.42124567173816,,,1,111.46688012807684,5.36272400067648,,1,0.0,41.767042402878964,111.46688012807684,5.36272400067648,1.0,0.0,0.9563473458086006,0,0.8,1.3322676295501878e-17,0.7613417558427129,0,0.7,0.0,0.8674367245673189,0,8,11,3.0,11,6,11,6,11,9,11,9,11,5,11
april,claude_haiku_4_5,claude-haiku-4-5-20251001,ISFJ,static,bull_trap,456,,0,results_april/claude_haiku_4_5_200/claude-haiku-4-5-20251001/bull_trap/seed456/ISFJ_static_bull_trap_seed456.csv,200,0,0.0,0.752932211353201,0.24706778864679899,0.2803782576421882,0.18117630321649686,0.24706778864679899,97.5,200,0.59,100.0,118,100.0,5,0.025,0.58,100.0,116,100.0,5,0.025,0.575,100.0,115,100.0,4,0.02,11688.757379883844,16.88757379883844,-3.554223383423827,10,0,10,2.0197583718563523,0,1.0,99.5,80.5,,1,81.0,67.8,99.5,80.5,100.0,99.15254237288136,,1,100.0,99.13793103448276,,1,100.0,68.36206896551724,100.0,99.13793103448276,100.0,100.0,,1,53.3963993417025,0.0,,1,53.25986950961128,0.0,,1,53.42124567173816,,,1,111.46688012807684,5.36272400067648,,1,0.0,41.767042402878964,111.46688012807684,5.36272400067648,1.0,0.0,0.752932211353201,0,0.8,1.3322676295501878e-17,0.6495271779472647,0,0.7,0.0,0.7411767096907188,0,9,11,3.0,11,7,11,4,11,4,11,4,11,4,11
