scenario,phase,n_steps,median_abs_x,coverage_theta_0.03,coverage_theta_0.05,coverage_theta_0.08
flat,calm,6000,0.0023885698732253385,0.0,0.0,0.0
bull_trap,calm,2400,0.006427702605086165,0.0016666666666666668,0.0,0.0
bull_trap,mania,1800,0.3434300038025006,0.9655555555555555,0.9416666666666667,0.9
bull_trap,blow-off,1800,0.6770833914671143,1.0,1.0,1.0
crash,deterioration,7200,0.08539350574372856,0.9676388888888889,0.8419444444444445,0.5466666666666666
crash,panic,5400,0.0866645085485079,0.9403703703703704,0.822037037037037,0.5561111111111111
crash,stabilisation,5400,0.08890935267991107,0.9233333333333333,0.8055555555555556,0.5698148148148148
flat,ALL,6000,0.0023885698732253385,0.0,0.0,0.0
bull_trap,ALL,6000,0.24302310305457636,0.5903333333333334,0.5825,0.57
crash,ALL,18000,0.08669206091997131,0.9461666666666667,0.8250555555555555,0.5564444444444444
