feature_set,model,target,phase_group,n,R2,sign_acc_resolvable,n_resolvable,R2_shuffledV,MAPE_V,R2_price_only,selectivity_R2
full,ridge,x,calm,11700,0.6371466223032753,0.9296359988535396,6978.0,-0.06343096123263159,,0.5361325443201701,0.10101407798310524
full,ridge,x,event,9239,0.9055750803408799,0.9551250613045611,8156.0,-4.340363416436175,,0.9135573650839828,-0.007982284743102919
full,ridge,x,resolution,6061,0.8516191509606246,0.982272995863699,5077.0,-2.562042460536477,,0.8723121391248191,-0.020692988164194515
full,ridge,x,all,27000,0.8516727646197297,0.9531443273464945,20211.0,-2.2691110972148945,,0.8460250166148234,0.005647748004906306
full,ridge,logV,calm,11700,0.3083764693124057,,,-0.06025543266908695,0.07002064844464348,0.041563532769823164,0.26681293654258254
full,ridge,logV,event,9239,-2.0441506621985766,,,-0.2725043843093349,0.07091811195327571,0.3353551323276792,-2.379505794526256
full,ridge,logV,resolution,6061,-2.2561826335521573,,,-0.24103004019886698,0.09060379666989775,-0.15291521730656932,-2.103267416245588
full,ridge,logV,all,27000,-0.3775705144367223,,,-0.17041183136144356,0.07494828276869976,0.4061029366571628,-0.7836734510938851
full,gbt,x,calm,11700,0.8980870448859553,0.969475494411006,6978.0,-0.27859719941399663,,0.7874570754037473,0.11062996948220793
full,gbt,x,event,9239,0.9606172631667039,0.9767042667974497,8156.0,-0.2535384211602536,,0.9263178521651447,0.0342994110015592
full,gbt,x,resolution,6061,0.942061993812042,0.9858183966909593,5077.0,-0.22724769542062861,,0.8719993637789022,0.07006263003313984
full,gbt,x,all,27000,0.946767735414989,0.9764979466627084,20211.0,-0.2479744699186417,,0.8919844631603038,0.05478327225468527
full,gbt,logV,calm,11700,0.804546807861939,,,-0.17499818719044136,0.03527577002462715,0.6336843893128818,0.17086241854905715
full,gbt,logV,event,9239,0.6904918750907652,,,-0.2583584973418076,0.04945618631943583,0.4249368277383271,0.26555504735243807
full,gbt,logV,resolution,6061,0.7107417989766875,,,-0.21531058743460862,0.051170345422889826,0.3527114056978673,0.35803039327882025
full,gbt,logV,all,27000,0.8319509918353123,,,-0.1978171495022627,0.04369613623339039,0.6695225952590511,0.16242839657626118
full,mlp,x,calm,11700,0.7945347702101276,0.9608770421324162,6978.0,-0.6031122648512226,,0.7464589242170996,0.048075845993028055
full,mlp,x,event,9239,0.28971174057837723,0.9606424717999019,8156.0,-43.11123285049962,,0.9210360525621523,-0.631324311983775
full,mlp,x,resolution,6061,-0.3128893941154385,0.9740003939334253,5077.0,-24.57785016022906,,0.8571428181881265,-1.170032212303565
full,mlp,x,all,27000,0.2223743747060517,0.9640789668992134,20211.0,-22.28221957896167,,0.8788084664000626,-0.6564340916940109
full,mlp,logV,calm,11700,0.49911748126616995,,,-0.5134901206312537,0.05904365703373699,0.5326490963065136,-0.03353161504034363
full,mlp,logV,event,9239,-422.58063076353227,,,-197.7020777540466,1.0485007362155541e+35,0.3398681719795552,-422.92049893551183
full,mlp,logV,resolution,6061,-523.6109397324931,,,-121.91436390020972,5.008417609897019e+36,0.16235091221644515,-523.7732906447095
full,mlp,logV,all,27000,-175.5230304652767,,,-101.82141835199162,1.1601751468064956e+36,0.5927241982548155,-176.1157546635315
price_only,ridge,x,calm,11700,0.5361325443201701,0.9548581255374032,6978.0,,,0.5361325443201701,
price_only,ridge,x,event,9239,0.9135573650839828,0.9462972045120157,8156.0,,,0.9135573650839828,
price_only,ridge,x,resolution,6061,0.8723121391248191,0.9834547961394524,5077.0,,,0.8723121391248191,
price_only,ridge,x,all,27000,0.8460250166148234,0.958586908119341,20211.0,,,0.8460250166148234,
price_only,ridge,logV,calm,11700,0.041563532769823164,,,,0.08204191923195302,0.041563532769823164,
price_only,ridge,logV,event,9239,0.3353551323276792,,,,0.07708151147750106,0.3353551323276792,
price_only,ridge,logV,resolution,6061,-0.15291521730656932,,,,0.11729460001764042,-0.15291521730656932,
price_only,ridge,logV,all,27000,0.4061029366571628,,,,0.0882581151948667,0.4061029366571628,
price_only,gbt,x,calm,11700,0.7874570754037473,0.9610203496703926,6978.0,,,0.7874570754037473,
price_only,gbt,x,event,9239,0.9263178521651447,0.971554683668465,8156.0,,,0.9263178521651447,
price_only,gbt,x,resolution,6061,0.8719993637789022,0.9781366948985621,5077.0,,,0.8719993637789022,
price_only,gbt,x,all,27000,0.8919844631603038,0.9695710256790856,20211.0,,,0.8919844631603038,
price_only,gbt,logV,calm,11700,0.6336843893128818,,,,0.048596153069290625,0.6336843893128818,
price_only,gbt,logV,event,9239,0.4249368277383271,,,,0.0676480179152926,0.4249368277383271,
price_only,gbt,logV,resolution,6061,0.3527114056978673,,,,0.07994315283359314,0.3527114056978673,
price_only,gbt,logV,all,27000,0.6695225952590511,,,,0.06215223991683321,0.6695225952590511,
price_only,mlp,x,calm,11700,0.7464589242170996,0.9539982803095443,6978.0,,,0.7464589242170996,
price_only,mlp,x,event,9239,0.9210360525621523,0.9681216282491417,8156.0,,,0.9210360525621523,
price_only,mlp,x,resolution,6061,0.8571428181881265,0.9759700610596809,5077.0,,,0.8571428181881265,
price_only,mlp,x,all,27000,0.8788084664000626,0.9652169610608085,20211.0,,,0.8788084664000626,
price_only,mlp,logV,calm,11700,0.5326490963065136,,,,0.05831811552729925,0.5326490963065136,
price_only,mlp,logV,event,9239,0.3398681719795552,,,,0.07409677479227537,0.3398681719795552,
price_only,mlp,logV,resolution,6061,0.16235091221644515,,,,0.08988132844898329,0.16235091221644515,
price_only,mlp,logV,all,27000,0.5927241982548155,,,,0.07080269576683412,0.5927241982548155,
