Model,Persona,Arm,Scenario,Topped,mcr_0.05,band_mas,rg_theta_0.05,return_pct
gemini-2.5-flash,ENTJ,memory,bull_trap,True,0.21630434782608698,0.12,98.91304347826086,206.0497784396669
gemini-2.5-flash,ENTJ,placebo_directive,bull_trap,True,0.22506877384748758,0.16325150055395507,84.23913043478261,218.49742346478277
gemini-2.5-flash,ENTJ,static,bull_trap,True,0.23762290896482818,0.1787892040575921,80.43478260869566,210.37806631536483
gemini-2.5-flash,ENTJ,swapped,bull_trap,True,0.8654459449321324,0.7852102693375619,64.67391304347827,1.7344735323271854
gemini-2.5-flash,INTJ,memory,bull_trap,True,0.3584306222628746,0.32239471093638516,90.21739130434783,142.421347034366
gemini-2.5-flash,INTJ,placebo_directive,bull_trap,True,0.4175001614187087,0.37809928488489086,96.19565217391305,191.48930707331888
gemini-2.5-flash,INTJ,static,bull_trap,True,0.403145667519179,0.36401724150403514,91.57608695652175,188.49878353081778
gemini-2.5-flash,INTJ,swapped,bull_trap,True,0.48695652173913045,0.4,98.91304347826086,203.6474050794131
gemini-2.5-flash,ISFJ,memory,bull_trap,True,0.15825159248164483,0.08273957466939086,77.71739130434783,2.2742123488524335
gemini-2.5-flash,ISFJ,placebo_directive,bull_trap,True,0.18682909381318363,0.16966055031588778,88.04347826086956,47.998533984391486
gemini-2.5-flash,ISFJ,static,bull_trap,True,0.14927685243603817,0.12895411898075843,88.04347826086956,34.36287439000731
gemini-2.5-flash,ISFJ,swapped,bull_trap,True,0.6920132927974967,0.6126522293736969,98.36956521739131,202.59529488106307
