Persona,Scenario,Arm,vs,metric,n_arm,n_ref,mean_arm,mean_ref,cliffs_delta,delta_ci_lo,delta_ci_hi,hedges_g,models_improving,n_models,fallback_share_arm,zero_trade_share_arm,degenerate_rg_share_arm,p_approx,q_bh
ENTJ,flat,memory,static,mcr_0.05,2,3,0.1842362918295307,0.20447195568823584,0.0,-1.0,1.0,-0.07339799129149312,1,1,0.0,0.0,1.0,1.0,1.0
ENTJ,flat,memory,static,band_mas,2,3,0.13012448805266366,0.13041153682878584,0.16666666666666669,-1.0,1.0,-0.00148290443581772,1,1,0.0,0.0,1.0,0.7439200144047367,1.0
ENTJ,flat,memory,static,point_mas_v2,2,3,0.22714791246563748,0.2221057390555642,0.3333333333333333,-1.0,1.0,0.026170045685329886,0,1,0.0,0.0,1.0,0.5135414074225348,0.898697462989436
ENTJ,flat,memory,static,rg_theta_0.05,2,3,81.66666666666666,76.85185185185185,0.0,-1.0,1.0,0.18425327866718488,1,1,0.0,0.0,1.0,1.0,1.0
ENTJ,flat,memory,static,return_pct,2,3,37.50268127107851,39.96541446444806,0.3333333333333333,-1.0,1.0,-0.07006093978736838,0,1,0.0,0.0,1.0,0.5135414074225348,0.898697462989436
ENTJ,flat,memory,static,mdd_pct,2,3,-8.626836741862128,-14.098664961182864,0.6666666666666667,-0.3333333333333333,1.0,0.5432692350740109,0,1,0.0,0.0,1.0,0.049995790296440745,0.1749852660375426
ENTJ,flat,memory,static,turnover,2,3,6.3035266185776795,12.479954098732511,-0.6666666666666667,-1.0,0.3333333333333333,-0.4482508474845483,1,1,0.0,0.0,1.0,0.049995790296440745,0.1749852660375426
ISFJ,flat,memory,static,mcr_0.05,2,3,0.25822622080717517,0.28362954268914864,0.0,-1.0,1.0,-0.31419777756773426,1,1,0.0,0.0,1.0,1.0,1.0
ISFJ,flat,memory,static,band_mas,2,3,0.05677155216998725,0.24049176586906432,-1.0,-1.0,-1.0,-1.5360504531128008,1,1,0.0,0.0,1.0,1.0,1.0
ISFJ,flat,memory,static,point_mas_v2,2,3,0.15239647390763505,0.3366758288567231,-1.0,-1.0,-1.0,-1.5371000836302267,1,1,0.0,0.0,1.0,1.0,1.0
ISFJ,flat,memory,static,rg_theta_0.05,2,3,57.22222222222223,64.62962962962963,-0.3333333333333333,-1.0,1.0,-0.27179457918252203,0,1,0.0,0.0,1.0,0.5135414074225348,1.0
ISFJ,flat,memory,static,return_pct,2,3,1.2819518001362162,25.80102228672691,-1.0,-1.0,-1.0,-1.5155623175115835,0,1,0.0,0.0,1.0,1.0,1.0
ISFJ,flat,memory,static,mdd_pct,2,3,-0.8862337688995414,-6.681486264624034,1.0,1.0,1.0,2.3351870979832,0,1,0.0,0.0,1.0,1.0,1.0
ISFJ,flat,memory,static,turnover,2,3,0.5328618002704407,3.7818061095927913,-1.0,-1.0,-1.0,-1.2292939512146914,1,1,0.0,0.0,1.0,1.0,1.0
