[chain] e1_3: C:\Users\ayesha.gull01\AppData\Local\Programs\Python\Python313\python.exe -m tools.phase1.e1_3_sweep --workers 3
sV 0.004 gaussian sx 0.1 R2 calm 0.159 [0.073, 0.195] bound 0.145/0.251/0.445; sd_x5000 0.102; cov flat 0.05 0.62; item9 70 d; 212 s
sV 0.004 gaussian sx 0.13 R2 calm 0.156 [0.093, 0.178] bound 0.157/0.274/0.533; sd_x5000 0.130; cov flat 0.05 0.70; item9 70 d; 162 s
sV 0.004 gaussian sx 0.165 R2 calm 0.151 [0.099, 0.169] bound 0.165/0.288/0.607; sd_x5000 0.164; cov flat 0.05 0.76; item9 68 d; 145 s
sV 0.004 gaussian sx 0.2 R2 calm 0.136 [0.100, 0.153] bound 0.169/0.297/0.662; sd_x5000 0.197; cov flat 0.05 0.80; item9 66 d; 159 s
sV 0.004 t5 sx 0.1 R2 calm 0.165 [0.070, 0.204] bound 0.145/0.251/0.445; sd_x5000 0.101; cov flat 0.05 0.62; item9 73 d; 207 s
sV 0.004 t5 sx 0.13 R2 calm 0.154 [0.095, 0.175] bound 0.157/0.274/0.533; sd_x5000 0.130; cov flat 0.05 0.70; item9 70 d; 199 s
sV 0.004 t5 sx 0.165 R2 calm 0.162 [0.109, 0.180] bound 0.165/0.288/0.607; sd_x5000 0.163; cov flat 0.05 0.76; item9 67 d; 149 s
sV 0.004 t5 sx 0.2 R2 calm 0.140 [0.106, 0.158] bound 0.169/0.297/0.662; sd_x5000 0.197; cov flat 0.05 0.80; item9 67 d; 201 s
sV 0.006 gaussian sx 0.1 R2 calm 0.152 [0.045, 0.196] bound 0.118/0.199/0.308; sd_x5000 0.101; cov flat 0.05 0.62; item9 71 d; 169 s
sV 0.006 gaussian sx 0.13 R2 calm 0.141 [0.074, 0.165] bound 0.137/0.235/0.396; sd_x5000 0.130; cov flat 0.05 0.70; item9 70 d; 171 s
sV 0.006 gaussian sx 0.165 R2 calm 0.145 [0.089, 0.164] bound 0.150/0.260/0.477; sd_x5000 0.164; cov flat 0.05 0.76; item9 68 d; 161 s
sV 0.006 gaussian sx 0.2 R2 calm 0.131 [0.095, 0.148] bound 0.158/0.276/0.541; sd_x5000 0.197; cov flat 0.05 0.80; item9 66 d; 128 s
sV 0.006 t5 sx 0.1 R2 calm 0.159 [0.057, 0.199] bound 0.118/0.199/0.308; sd_x5000 0.101; cov flat 0.05 0.62; item9 72 d; 131 s
sV 0.006 t5 sx 0.13 R2 calm 0.161 [0.084, 0.188] bound 0.137/0.235/0.396; sd_x5000 0.130; cov flat 0.05 0.70; item9 70 d; 148 s
