ticker,excluded,reason,full_history,left_index,n_rows,first,last,set
A,False,,True,False,6539,2000-01-03,2025-12-31,A
AAL,False,,False,False,5098,2005-09-27,2025-12-31,B
AAP,False,,False,False,6061,2001-11-29,2025-12-31,B
AAPL,False,,True,False,6539,2000-01-03,2025-12-31,A
ABBV,False,,False,False,3270,2013-01-02,2025-12-31,B
ABI,True,reuse_flag,False,True,131,2025-06-26,2025-12-31,
ABNB,False,,False,False,1270,2020-12-10,2025-12-31,B
ABT,False,,True,False,6539,2000-01-03,2025-12-31,A
ABX,False,,False,False,1332,2020-09-14,2025-12-31,B
ACGL,False,,True,False,6539,2000-01-03,2025-12-31,A
ACN,False,,False,False,6150,2001-07-19,2025-12-31,B
ACV,True,reuse_flag,False,True,2670,2015-05-21,2025-12-31,
ADBE,False,,True,False,6539,2000-01-03,2025-12-31,A
ADCT,True,reuse_flag,False,True,1414,2020-05-18,2025-12-31,
ADI,False,,True,False,6539,2000-01-03,2025-12-31,A
ADM,False,,True,False,6539,2000-01-03,2025-12-31,A
ADP,False,,True,False,6539,2000-01-03,2025-12-31,A
ADSK,False,,True,False,6539,2000-01-03,2025-12-31,A
ADT,True,reuse_flag,False,True,1999,2018-01-19,2025-12-31,
AEE,False,,True,False,6539,2000-01-03,2025-12-31,A
AEP,False,,True,False,6539,2000-01-03,2025-12-31,A
AES,False,,True,False,6539,2000-01-03,2025-12-31,A
AFL,False,,True,False,6539,2000-01-03,2025-12-31,A
AIG,False,,True,False,6539,2000-01-03,2025-12-31,A
AIV,False,,True,False,6539,2000-01-03,2025-12-31,A
AIZ,False,,False,False,5512,2004-02-05,2025-12-31,B
AJG,False,,True,False,6539,2000-01-03,2025-12-31,A
AKAM,False,,True,False,6539,2000-01-03,2025-12-31,A
ALB,False,,True,False,6539,2000-01-03,2025-12-31,A
ALGN,False,,False,False,6268,2001-01-30,2025-12-31,B
ALK,False,,True,False,6539,2000-01-03,2025-12-31,A
ALL,False,,True,False,6539,2000-01-03,2025-12-31,A
ALLE,False,,False,False,3048,2013-11-18,2025-12-31,B
AM,True,reuse_flag,False,True,2178,2017-05-04,2025-12-31,
AMAT,False,,True,False,6539,2000-01-03,2025-12-31,A
AMCR,True,reuse_flag,False,False,3428,2012-05-15,2025-12-31,
AMD,False,,True,False,6539,2000-01-03,2025-12-31,A
AME,False,,True,False,6539,2000-01-03,2025-12-31,A
AMG,False,,True,False,6539,2000-01-03,2025-12-31,A
AMGN,False,,True,False,6539,2000-01-03,2025-12-31,A
AMP,False,,False,False,5106,2005-09-15,2025-12-31,B
AMT,False,,True,False,6539,2000-01-03,2025-12-31,A
AMTM,False,,False,False,319,2024-09-24,2025-12-31,
AMZN,False,,True,False,6539,2000-01-03,2025-12-31,A
AN,False,,True,False,6539,2000-01-03,2025-12-31,A
ANET,False,,False,False,2911,2014-06-06,2025-12-31,B
ANF,False,,True,False,6539,2000-01-03,2025-12-31,A
AON,False,,True,False,6539,2000-01-03,2025-12-31,A
AOS,False,,True,False,6539,2000-01-03,2025-12-31,A
APA,False,,True,False,6539,2000-01-03,2025-12-31,A
APD,False,,True,False,6539,2000-01-03,2025-12-31,A
APH,False,,True,False,6539,2000-01-03,2025-12-31,A
APO,False,,False,False,3712,2011-03-30,2025-12-31,B
APTV,False,,False,False,3550,2011-11-17,2025-12-31,B
ARE,False,,True,False,6539,2000-01-03,2025-12-31,A
ASH,False,,True,False,6539,2000-01-03,2025-12-31,A
ASO,True,reuse_flag,False,True,1318,2020-10-02,2025-12-31,
ATI,False,,True,False,6539,2000-01-03,2025-12-31,A
ATO,False,,True,False,6539,2000-01-03,2025-12-31,A
AVGO,False,,False,False,4127,2009-08-06,2025-12-31,B
AVY,False,,True,False,6539,2000-01-03,2025-12-31,A
AWK,False,,False,False,4452,2008-04-23,2025-12-31,B
AXON,False,,False,False,6171,2001-06-19,2025-12-31,B
AXP,False,,True,False,6539,2000-01-03,2025-12-31,A
AYI,False,,False,False,6059,2001-12-03,2025-12-31,B
AZO,False,,True,False,6539,2000-01-03,2025-12-31,A
BA,False,,True,False,6539,2000-01-03,2025-12-31,A
BAC,False,,True,False,6539,2000-01-03,2025-12-31,A
BALL,False,,True,False,6539,2000-01-03,2025-12-31,A
BAX,False,,True,False,6539,2000-01-03,2025-12-31,A
BBT,False,,False,False,6416,2000-06-28,2025-12-31,B
BBWI,False,,True,False,6539,2000-01-03,2025-12-31,A
BBY,False,,True,False,6539,2000-01-03,2025-12-31,A
BC,False,,True,False,6539,2000-01-03,2025-12-31,A
BDX,False,,True,False,6539,2000-01-03,2025-12-31,A
BEAM,True,reuse_flag,False,True,1484,2020-02-06,2025-12-31,
BEN,False,,True,False,6539,2000-01-03,2025-12-31,A
BF-B,False,,True,False,6539,2000-01-03,2025-12-31,A
BF.B,True,duplicate_spelling,True,False,6539,2000-01-03,2025-12-31,
BG,False,,False,False,6140,2001-08-02,2025-12-31,B
BHF,False,,False,False,2128,2017-07-17,2025-12-31,B
BIIB,False,,True,False,6539,2000-01-03,2025-12-31,A
BIO,False,,True,False,6539,2000-01-03,2025-12-31,A
BKNG,False,,True,False,6539,2000-01-03,2025-12-31,A
BKR,False,,True,False,6539,2000-01-03,2025-12-31,A
BLDR,False,,False,False,5161,2005-06-28,2025-12-31,B
BLK,False,,True,False,6539,2000-01-03,2025-12-31,A
BMY,False,,True,False,6539,2000-01-03,2025-12-31,A
BR,True,reuse_flag,False,True,4726,2007-03-22,2025-12-31,
BRK-B,False,,True,False,6539,2000-01-03,2025-12-31,A
BRK.B,True,duplicate_spelling,True,False,6539,2000-01-03,2025-12-31,
BRO,False,,True,False,6539,2000-01-03,2025-12-31,A
BSX,False,,True,False,6539,2000-01-03,2025-12-31,A
BTU,False,,False,False,2200,2017-04-03,2025-12-31,B
BUD,True,reuse_flag,False,True,4152,2009-07-01,2025-12-31,
BWA,False,,True,False,6539,2000-01-03,2025-12-31,A
BXP,False,,True,False,6539,2000-01-03,2025-12-31,A
C,False,,True,False,6539,2000-01-03,2025-12-31,A
CAG,False,,True,False,6539,2000-01-03,2025-12-31,A
CAH,False,,True,False,6539,2000-01-03,2025-12-31,A
CAM,True,reuse_flag,False,True,61,2025-10-06,2025-12-31,
CAR,True,reuse_flag,True,False,6539,2000-01-03,2025-12-31,
CARR,False,,False,False,1455,2020-03-19,2025-12-31,B
CB,False,,True,True,6539,2000-01-03,2025-12-31,A
CBOE,False,,False,False,3912,2010-06-15,2025-12-31,B
CBRE,False,,False,False,5425,2004-06-10,2025-12-31,B
CCEP,False,,True,False,6539,2000-01-03,2025-12-31,A
CCI,False,,True,False,6539,2000-01-03,2025-12-31,A
CCK,False,,True,False,6539,2000-01-03,2025-12-31,A
CCL,False,,True,False,6539,2000-01-03,2025-12-31,A
CCU,False,,True,True,6539,2000-01-03,2025-12-31,A
CDNS,False,,True,False,6539,2000-01-03,2025-12-31,A
CDW,False,,False,False,3148,2013-06-27,2025-12-31,B
CE,True,reuse_flag,False,True,5270,2005-01-21,2025-12-31,
CEG,True,reuse_flag,False,True,992,2022-01-19,2025-12-31,
CF,True,reuse_flag,False,True,5130,2005-08-11,2025-12-31,
CFG,False,,False,False,2835,2014-09-24,2025-12-31,B
CG,True,reuse_flag,False,True,3436,2012-05-03,2025-12-31,
CHA,True,reuse_flag,False,True,178,2025-04-17,2025-12-31,
CHD,False,,True,False,6539,2000-01-03,2025-12-31,A
CHRW,False,,True,False,6539,2000-01-03,2025-12-31,A
CHTR,False,,False,False,4023,2010-01-05,2025-12-31,B
CI,False,,True,False,6539,2000-01-03,2025-12-31,A
