ticker,n_months,rho_ols,rho_mu,h_ols_days,h_mu_days,s_x,sigma_V_daily
A,178,0.9144283346340155,0.9319433710423849,162.71755418483892,206.51850726912818,0.49107150108883707,0.039681784686846334
AAPL,177,1.001419611524883,0.995,inf,2903.9340327072778,1.377502987009419,0.023325117603799943
ABT,176,0.9591289706857306,0.979237610168881,348.81824742445605,693.7762412216326,0.7317795268676617,0.042638505328868745
ACGL,164,0.9282957346057663,0.9491403398722662,195.63345131294344,278.85974248282486,0.4805133596393725,0.029087974931003464
ADBE,177,0.9797461276998486,0.995,711.379003100658,2903.9340327072778,0.4729022662929895,0.019918915334455497
ADI,176,0.9622533840221762,0.9826197586393134,378.30166004110276,830.2086645649396,0.2567930019571804,0.018101035978275806
ADM,176,0.9190574274254755,0.9367132498962789,172.45190304111625,222.64484093951202,0.2275566044078075,0.020539300582593803
ADP,170,0.9270097611432914,0.9477357549624162,192.0551981174906,271.1663830275736,0.14655598194055977,0.011759579137937706
ADSK,64,0.893837810457754,0.955757839908986,129.697664013763,321.67656299221113,0.7576107593326435,0.046417065323374265
AEE,83,0.8835467765197801,0.9242870415488759,117.56698202449604,184.88008714972676,0.17454938751765475,0.02015554731394604
AEP,177,0.8845799213437061,0.901480798680683,118.68725163448926,140.3449379621037,0.2986519304978488,0.03112299043614018
AFL,176,0.9465064262898016,0.9652863030859511,264.76441830309903,411.9974688603746,0.32586910292481563,0.024724260254831973
AJG,165,0.9712652849965066,0.995,499.2547172264146,2903.9340327072778,0.2391571622495103,0.015236273260537732
AKAM,164,0.954549560665274,0.977611505729882,312.928460979506,642.853924098712,0.3263308836160749,0.015875015888971448
ALB,159,0.8746637943631898,0.893428230672954,108.69592311737776,129.17015620109925,0.803745458238565,0.08868726358122107
ALK,114,0.941901758776594,0.9719413310267035,243.19206503799342,511.4608219908503,0.6007701985860221,0.08762401177556858
ALL,141,0.9006179930100825,0.922775107935744,139.0610652359089,181.1140990146518,0.49293416169391224,0.05195789727417856
AMAT,71,0.8495425946952254,0.8889686776786084,89.26984487707801,123.67818388731487,0.19412641103114872,0.06414887756101703
AMD,66,0.8997245694292472,0.9622888900167992,137.75489396800214,378.66478209819707,0.859864728548387,0.08116639504944739
AME,176,0.9084389505487499,0.925771829925546,151.582379268079,188.72768880077464,0.15143982720084911,0.011322309526094225
AMG,96,0.9639417534230384,0.995,396.36012127537987,2903.9340327072778,0.5845068995748934,0.056943855962506555
AMGN,176,0.8872017661456463,0.9041490699132465,121.62219163306733,144.46150983407173,0.3575635831621361,0.03631527734903212
AMT,176,0.8877168508126583,0.9046732754643553,122.2148744282724,145.29730656173797,0.3085114747774706,0.03050620257972707
AMZN,88,0.926725583126064,0.9742497073857485,191.28140154095405,557.9689661212954,0.7511456088821226,0.05390456267359419
AN,165,0.9594595166833292,0.9830333811654309,351.7225018672047,850.6264525718797,0.5970828793153327,0.03343979693551039
AON,176,0.8923443145707606,0.9093826802377948,127.79349914197958,153.2392952823896,0.2690140383956175,0.026789978226158848
AOS,164,0.9725846648495086,0.995,523.6352662997573,2903.9340327072778,0.6842037813517278,0.028118019107516743
