ticker,n_months,rho_ols,rho_mu,h_ols_days,h_mu_days,s_x,sigma_V_daily
A,178,0.878904825072951,0.8955660776621053,112.76914707703031,131.9690563303742,0.4382491573663934,0.04049221907830521
AAPL,177,1.000255996445423,0.995,inf,2903.9340327072778,1.2703374522956146,0.02740658773289475
ABT,176,0.9522698899793627,0.971512293527621,297.62926244136065,503.64732903513533,0.5967946584935131,0.03973922729676188
ACGL,164,0.9385407966903418,0.9601637854753964,229.4865344608364,358.0710892467842,0.5671142311085107,0.03180663192000622
ADBE,177,0.9803151264320851,0.995,732.1534791865299,2903.9340327072778,0.5364436871299294,0.02460744246690984
ADI,176,0.8980544112205998,0.91519388867189,135.37449062700222,164.2541171519566,0.2211421027231646,0.021866844975803247
ADM,176,0.9435996590804089,0.9622442930589112,250.736695601302,378.20879599039563,0.30134860122693913,0.02129313359736933
ADP,170,0.9301157579152636,0.9510339625812352,200.92268225991822,289.9301762473382,0.1884683444878659,0.01503330433476591
ADSK,64,0.9028822960576716,0.9658578433687753,142.47897132396272,419.01758345828375,0.7985643282833867,0.047500759290208014
AEE,83,0.8746189378533051,0.9151020887480656,108.65431185115926,164.06840195289578,0.15462657211992875,0.019256508163982368
AEP,177,0.8497698964311864,0.8655119187826327,89.41654734562314,100.78013029821516,0.27236674510859715,0.03350569310336801
AFL,176,0.9600669038371873,0.9802967999522925,357.1844741170169,731.4656687996068,0.4077471835929079,0.027407417974903727
AJG,165,0.957508654350353,0.9807699526139413,335.235298088375,749.643535167028,0.29069159765362623,0.02098361115083139
AKAM,164,0.9635014820699502,0.9877208314106015,391.49005616847666,1178.1366395842017,0.3872819964121349,0.019431260158664792
ALB,159,0.868199233735113,0.8867931582342636,102.99067984668964,121.15585784009667,0.7864179818926361,0.08859891915210912
ALK,114,0.941901758776594,0.9719413310267035,243.19206503799342,511.4608219908503,0.6007701985860221,0.08762401177556858
ALL,141,0.8803740058027261,0.9022074732476622,114.24744745762517,141.44380316380443,0.4349805384994887,0.0527703411945354
AMAT,71,0.8386224031371732,0.8773822513589663,82.70753799589866,111.27444749484044,0.20852663908529712,0.06597763724949118
AMD,66,0.9032520039067472,0.9662669507555569,143.05221494954594,424.18863263430944,0.8588204380731428,0.08146926689864809
AME,176,0.9218045861155069,0.9395439587919932,178.77338538121418,233.4178000914313,0.17913683520506793,0.01516580061894981
AMG,96,0.9639417534230384,0.995,396.36012127537987,2903.9340327072778,0.5845068995748934,0.056943855962506555
AMGN,176,0.8557957383808247,0.8714919243909999,93.47391805677228,105.82501227686473,0.2622086848583018,0.030038447747912433
AMT,176,0.8673594248035744,0.8834355923427792,102.29025963111665,117.44760368324069,0.3076702544295632,0.033835606233437066
AMZN,88,0.924156480319109,0.9707309450371413,184.54895982061046,490.0060711696134,0.707176575513514,0.055433840387575616
AN,165,0.9594595166833292,0.9830333811654309,351.7225018672047,850.6264525718797,0.5970828793153327,0.03343979693551039
AON,176,0.9151292072102916,0.9326655594778859,164.1232219873031,208.81341593888519,0.3535773764048797,0.029845852877677877
AOS,164,0.9724469000861566,0.995,520.980373507798,2903.9340327072778,0.6630517966294504,0.0290037416556359
APD,177,0.8417841537554116,0.8575869206849017,84.51461180367244,94.74602097229292,0.31249970615515366,0.038373999601874806
APH,176,0.9954147230413654,0.995,3167.244532244552,2903.9340327072778,0.4072821390525744,0.019308651101897077
ARE,164,0.9005498774596494,0.919384516886733,138.96065575406905,173.18198662702758,0.5205689669917626,0.05050883153071563
ATO,93,0.8498589795982641,0.8792445917920051,89.47416324292466,113.10782997469573,0.13025267575981964,0.013901395578222215
AVY,164,0.834345173929674,0.8515993505431888,80.37239652337058,90.61361781153701,0.2394196403355714,0.03078595518904061
AXP,176,0.8925892849512428,0.9096319884419216,128.10220304114867,153.6827823626174,0.23045793305821685,0.025940576352264343
AZO,175,0.9292090750643703,0.9471736428039952,198.25376071461355,268.2021125769833,0.22008425788753447,0.018251291431562622
BA,117,0.8816139041366445,0.9082173244818578,115.52354976781982,151.1982046467509,0.4734004854942202,0.04467484502753244
BAC,149,0.936008805463904,0.9600807837540631,220.1119589765477,357.3112325067288,0.42907383965650725,0.03346437700491302
BALL,164,0.9413903469469126,0.963122653597551,241.005239090316,387.3927064183954,0.6620182883400422,0.0536982750498337
BAX,149,0.9465274861836239,0.971754086652262,264.87161417500994,508.02159881817755,0.5769093363152369,0.06812916467260317
BBWI,117,0.9355889537360011,0.9650794803833189,218.62869151391652,409.51372475688584,6.16276947158389,0.41046885303264796
BBY,174,0.9175017560313605,0.9351102653762697,169.0587463365551,216.96097232682925,0.4627794500726924,0.03876363942847335
BC,95,0.914348727609071,0.9478251416747654,162.55934844872218,271.6436439312209,0.6886807486459456,0.053394817159132135
BDX,77,0.8372534099900975,0.8759297367078848,81.94682297544617,109.88266525544556,0.47266613351522063,0.04792372266203922
BEN,179,0.9188234426574824,0.9364721488755687,171.93324237203174,221.77162402318066,0.8667696892833637,0.0769936054476113
BF-B,166,0.9785935530884516,0.995,672.6820141591113,2903.9340327072778,0.5555410915496877,0.022617795804110958
BIIB,177,0.9866743691547575,0.995,1085.043520218332,2903.9340327072778,0.6060613078280402,0.0241468969531708
BIO,131,0.9736430855030083,0.995,544.9579471374461,2903.9340327072778,1.2470355799693857,0.07471731992890354
BKNG,167,0.8578177472674188,0.8761378455691974,94.91228100728024,110.08007239342302,0.713584423690069,0.0783297093194243
BKR,75,0.9631580572071093,0.995,387.7720573521751,2903.9340327072778,0.6696124921441126,0.05223024667060377
BLK,176,0.9044070311225236,0.9216589978664428,144.87166033756,178.42725393516739,0.18140910199985222,0.01793699498431564
BMY,124,0.8792850417752235,0.9058637367744358,113.14827773817669,147.22992823038575,0.5188195770230413,0.0501738200583366
BRK-B,167,0.9725470304473768,0.995,522.9073609787972,2903.9340327072778,0.31692804500542243,0.019311178766662968
BRO,164,0.980524350937323,0.995,740.0976191421352,2903.9340327072778,0.4459652591670302,0.018549190560786702
BWA,177,0.8926741311001205,0.909718337007663,128.2094516606894,153.83695593229223,0.4796587829854017,0.042730459857838556
BXP,108,0.9038532286996287,0.9366729455186517,143.99383823290654,222.4984043247727,0.3485206719481111,0.03702376035805721
C,90,0.9111913349288756,0.9552936874304798,156.51310593940093,318.2601123029726,1.0273357290639389,0.06629305671919843
CAG,99,0.8498032499238771,0.8791842140154188,89.43811124088776,113.04750582321931,0.3118839972636602,0.037848764328799175
CAH,114,0.9469885184064534,0.9778719697584257,267.2396257548974,650.5071265787735,0.5955456561931168,0.04152979462374594
CB,167,0.9047776470812224,0.9235908729652715,145.464814875079,183.1275380251454,0.2757361598683377,0.025319493956571862
CCI,155,0.9529822089943821,0.975980634773857,302.25041042853064,598.7072626954256,0.630111148129554,0.04427665470837045
CCK,129,0.8798680846692454,0.906452969788375,113.73431005128127,148.20468501365988,0.2510062438912526,0.034296973845883996
CCL,63,0.9394799346331365,0.995,233.16300536495345,2903.9340327072778,0.3731479467392183,0.02757194117828526
CDNS,165,0.89917263583506,0.9180142509551062,136.95953160856922,170.16236183820408,0.42019275175258436,0.03930253628282533
CHD,164,0.9528120233328089,0.9758035520822402,301.1336541738997,594.2718985525289,0.38299833063937216,0.024462100888228366
CHRW,176,0.9584101262201318,0.9784054449475457,342.661651291131,666.758484113977,0.31301807976147483,0.019783796826333945
CI,71,0.879953134054606,0.9205899052476165,113.82027056075074,175.92437682780903,0.2834029679476381,0.029117387271759092
CIEN,70,0.9820105630468371,0.995,801.8464816631134,2903.9340327072778,0.42146705967822207,0.06637382923726266
CINF,138,0.7636762047241437,0.7833100457076011,53.989152673183895,59.600737337193,0.603029851371964,0.12197291707201605
CL,177,0.9401607523118886,0.9585667866901499,235.90034998005336,343.98517893856746,0.2846221798126962,0.022536894225605553
CLX,176,0.9288741337991907,0.9468285148642346,197.28502724954654,266.4131439015621,0.5161462724648571,0.04356517646450925
CMCSA,177,0.8372734792678468,0.8531105572225683,81.95788278654433,91.62488436258269,0.29249291046608256,0.03520894814064869
CMI,177,0.8010130707005667,0.8157511650625313,65.60402504437971,71.47745031052915,0.2515876041655165,0.03427057505834116
CMS,155,0.9393983663426482,0.9610542542435415,232.83917047507626,366.4268078061309,0.19818647596502983,0.018555459821830433
CNP,66,0.8925808040795634,0.9541840103963994,128.0914922139159,310.3727269416082,0.5150099904080834,0.05293440031900132
COF,123,0.7954904158409289,0.8182968186690288,63.62025691897919,72.58804150241433,0.33632739196403366,0.040553099747260644
COO,163,0.9153579366851543,0.9350092273289279,164.58699582368268,216.6121010929574,0.5789029555601973,0.05496311742290165
COP,66,0.8181851379343048,0.871084805615357,72.53866879512252,105.46673579447346,0.20674688184484666,0.03246169188539143
COR,60,1.0679411058746084,0.995,inf,2903.9340327072778,0.8002676883000388,0.06400435238280869
COST,175,0.9261804083543193,0.944052864295857,189.81359882879232,252.8279218786758,0.1864432500093852,0.015034029436636068
CPB,105,0.9067498777244176,0.9397508361838395,148.70051760555924,234.24480350071897,0.2913562796901669,0.04574533148080146
CPRT,163,0.9883627640100638,0.995,1243.5280368680883,2903.9340327072778,0.812433421954839,0.03221229860715835
CPT,158,0.8593334279422234,0.877693504437578,96.01752317071829,111.57698072539979,0.7759322673241079,0.06708277942793991
CSCO,93,0.9123287080792251,0.9456787307008425,158.64096957267685,260.61721809693887,0.21196503683910167,0.04505900489983925
CSGP,72,0.9108111150138883,0.9548443154648014,155.8138632163273,315.0193592893501,0.46741181774925267,0.07120786402217681
CSX,183,0.9468718512869372,0.9656798777481007,266.63650229994846,416.8066025191887,0.5589182596975927,0.03768740278130399
CTAS,165,0.9166899696100985,0.936464119984488,167.33840121456453,221.74265905641985,0.19774493648082958,0.018389692475493994
CTSH,176,0.9576938133080343,0.977576210361251,336.73482078832285,641.830519967295,0.3105162843500997,0.018523550561522002
CVS,105,0.9461276114930098,0.9849708187862922,262.85054127633276,961.2254623073242,0.3693374252367833,0.032041409883157554
CVX,81,1.0666931062351712,0.995,inf,2903.9340327072778,0.4633602662247214,0.04731260558193359
D,115,0.9360662207414046,0.9656153460381361,220.3163113797023,416.01053726658273,0.5963424559139765,0.05303657428991389
DDS,129,0.9547049778327452,0.9873810808000075,314.0275508746906,1146.2198236923884,0.45659924733891066,0.01856047674331516
DE,176,0.9590844579761664,0.9791860803448657,348.4307328915436,692.040487234532,0.30974261811952053,0.021020971849543196
DECK,92,0.8501594622162729,0.8795701359940442,89.66900901294113,113.43412579816068,0.6182291036272998,0.038363729294661364
DGX,177,0.9406415372503211,0.95910174338673,237.87124498769674,348.58111441672946,0.3898195883792335,0.027675797439817715
DHI,165,0.9272743348057476,0.9480247315118348,192.78104660892393,272.71523396875733,0.5789376176727679,0.03913669497539516
DHR,177,0.9698545926327913,0.9919101739558396,475.5474596687013,1792.020357797467,0.48263249975295486,0.02193266314032818
DLTR,94,0.9477253729285062,0.9869830463612643,271.1110561860888,1110.9470258134977,0.3989656782593329,0.025815366061504343
DLX,101,0.9267673402658099,0.9628994071682813,191.3947270724922,385.017287691717,0.15356197637364816,0.050595942159821834
DOC,107,0.9086840262068264,0.9418060032089599,152.00937170593542,242.77968513477128,0.3397354481645694,0.030469108851359016
DOV,177,0.9615178329869563,0.98183829504374,370.9298409337197,794.1713253329195,0.26751980849719964,0.019735878899278213
DRI,114,0.8578080367877491,0.8829779886417138,94.90527587847147,116.95865990229608,0.25167543981242085,0.026872051543195222
DTE,167,0.8545648408163828,0.8727562991147779,92.61785703312704,106.95229084613312,0.12994209765472362,0.01673152536831107
DUK,105,0.9536491962332018,0.9949594847240603,306.7062085574752,2880.5338346091216,0.47623034467424313,0.03435809806508081
DVA,176,0.8960235184401297,0.9131270337693652,132.58287648251468,160.1677780798557,0.5113062827707772,0.05181139452709632
ECL,123,0.9218186768768797,0.9497192011843467,178.8069541018784,282.1553927175161,0.2693047574432416,0.025454098720889527
ED,164,0.9028185470853203,0.92164169575983,142.3805670148552,178.38620418738165,0.14139873312331522,0.015717227278170622
EFX,103,0.9307921540620652,0.967215007604711,202.95925216961115,436.6679217433763,0.21329911061812465,0.02020023189981748
EG,152,0.862411431202641,0.8808526943306537,98.3367998061445,114.73697022195682,0.5856975703183585,0.0705584244463185
EIX,64,0.8072727935943832,0.8580241279581398,67.98936775624463,95.06138992288162,0.7230317622587102,0.06145827451116279
EL,164,0.9583820373296594,0.981783268591359,342.42539886714826,791.7502885148049,0.4370436265249498,0.03356294271857894
EMN,177,0.895110391547968,0.9121977376431291,131.36290818169925,158.39313604162874,0.3543942632736487,0.034060070371032085
EMR,176,0.9295126195701159,0.9474864191047516,199.1396356102033,269.8436933200354,0.43879770183693356,0.038954679310663924
EOG,66,0.932084495189468,0.995,206.96312432597009,2903.9340327072778,0.5593369484081998,0.13380819347859763
EQT,72,0.8192021031737182,0.8561365922825033,72.99049968706525,93.71355832488808,0.2781142797644962,0.11310004899442694
ESS,164,0.951881165625608,0.9747974025722473,295.1651174529966,570.254111742696,0.3789047707941535,0.02580531470186793
ETN,137,0.9659831774264626,0.995,420.58857074930575,2903.9340327072778,0.3042734633585716,0.021205939784266173
ETR,83,0.9040740201035657,0.9476224779805251,144.34259679227847,270.5639048649635,0.37814775809748613,0.04420690782439722
EVRG,68,0.9080866901009131,0.9719750329283332,150.97262545759236,512.084723826737,0.13974301237059422,0.015523528805098679
EXC,163,0.9333472938465179,0.95426864139462,211.02538432185932,310.9607880987328,0.35154363267252864,0.0301714144489006
EXPD,176,0.9750896955258394,0.995,577.0314953356614,2903.9340327072778,0.35775430617374065,0.01726600504459887
F,119,1.028881239076106,0.995,inf,2903.9340327072778,0.803063146155873,0.08454327419437066
FAST,167,0.9780402193173248,0.995,655.5473050765543,2903.9340327072778,0.36715899577900196,0.015723806948646068
FDS,162,0.9332326331341532,0.9541538691671393,210.6501955340516,310.16381387236794,0.24220874856155575,0.019477016469435313
