feature_set,model,target,phase_group,n,R2,R2_lo,R2_hi,sign_acc_resolvable,n_resolvable,sign_lo,sign_hi,R2_shuffledV,MAPE_V,MAPE_lo,MAPE_hi,R2_price_only,selectivity_R2
full,ridge,x,calm,119663,0.4215007498578496,0.34757791774643615,0.48365931424507774,0.8552392304283378,65439.0,0.8387251069771968,0.8706792925074014,-0.0033103479468024055,,,,-0.06994179315770865,0.49144254301555823
full,ridge,x,event,94915,0.8582382137628426,0.848580687462386,0.8678244252733016,0.930271530577549,82348.0,0.9235645684841481,0.9364015663334642,-0.0022066407392082876,,,,0.6177437881762349,0.24049442558660772
full,ridge,x,resolution,73422,0.8422396203570033,0.827533366959813,0.8564290308476363,0.9549483702413536,64304.0,0.9478254534657088,0.9619877874127812,-0.0037915904844507686,,,,0.19564319277656295,0.6465964275804403
full,ridge,x,all,288000,0.7987343924459929,0.7858238049386771,0.8096469661515364,0.9146026941265778,212091.0,0.9075630536066923,0.9207492595919922,-0.002914751313939812,,,,0.40839244216680015,0.3903419502791927
full,ridge,logV,calm,119663,0.18408737610997727,0.12722014431677542,0.24064094857528334,,,,,-0.003295578700955426,0.13527237505330206,0.13003399011307779,0.14056454273218374,0.08417767330463466,0.09990970280534262
full,ridge,logV,event,94915,0.3546875052805656,0.3067384244380671,0.39731987294655224,,,,,-0.0059258284631964475,0.14576624534338775,0.13888782422966778,0.15309428589900878,0.32474180256107954,0.029945702719486045
full,ridge,logV,resolution,73422,-0.06238597245366706,-0.13380554525807845,-0.008898005309511915,,,,,-0.004856425972752598,0.20025885936246116,0.19211285085278085,0.20972854663704837,-0.13817672468838005,0.07579075223471299
full,ridge,logV,all,288000,0.3084993311386284,0.28197747149502883,0.3328803529897449,,,,,-0.003572881720838028,0.1552982894613943,0.15067713891866008,0.16038379121680896,0.25151017468153536,0.056989156457093015
full,gbt,x,calm,119663,0.8234841754455295,0.7993457793844497,0.8451552492897848,0.9147144669081129,65439.0,0.9041667666005085,0.9249335458338935,-0.029346506435282915,,,,0.16148878838365543,0.6619953870618741
full,gbt,x,event,94915,0.9438027957123134,0.9394241598001645,0.9471032713128937,0.9476004274542187,82348.0,0.9419908502476338,0.9523504751876548,-0.06160856336607412,,,,0.6645059085724623,0.2792968871398511
full,gbt,x,resolution,73422,0.9376937042358247,0.9305223565482842,0.9439073511015478,0.9700018661358547,64304.0,0.9643409101175353,0.976111658342887,-0.05199892141550566,,,,0.3712441423102749,0.5664495619255497
full,gbt,x,all,288000,0.9274707393802422,0.9227752042486058,0.9319202545661865,0.9442456304133603,212091.0,0.9396636312225373,0.9483946655890808,-0.047111338450425144,,,,0.5179866241102773,0.40948411526996487
full,gbt,logV,calm,119663,0.5738772282950437,0.5364920541022944,0.6102385729332644,,,,,-0.041514781691913916,0.09828933718137389,0.09496611572338381,0.10198521000432514,0.28501098585962614,0.2888662424354176
full,gbt,logV,event,94915,0.5119896691807792,0.48270378341745224,0.5421177898525167,,,,,-0.07082542312711748,0.122388467738247,0.1173383046847407,0.1278926696251201,0.3681966011781328,0.14379306800264635
full,gbt,logV,resolution,73422,0.16898725918554425,0.11311050238316869,0.2200420432784925,,,,,-0.07848080799027879,0.1718719691683066,0.16454985500720273,0.17963379396658477,-0.030627263468155475,0.19961452265369972
full,gbt,logV,all,288000,0.5291131454388797,0.5091601719187947,0.5513694750240132,,,,,-0.060929792168782804,0.12499056281522869,0.12132274413836688,0.12870245537693917,0.35070727689716163,0.17840586854171803
full,mlp,x,calm,119663,0.7152238215630058,0.6780244680424031,0.7472112577965692,0.9080212105930714,65439.0,0.897351258192386,0.9180299961055203,-0.1600035174906398,,,,0.08868364784018479,0.626540173722821
full,mlp,x,event,94915,0.9008838287122811,0.885620776538891,0.911547161467613,0.9468475251372225,82348.0,0.9416313305686252,0.9517139233770732,-0.19074609981821644,,,,0.691351781497238,0.20953204721504315
full,mlp,x,resolution,73422,0.8885378084218966,0.8783088597767914,0.8980621570009825,0.9657564070664344,64304.0,0.9597240916381553,0.9726623598848056,-0.196111930838345,,,,0.4932311986444351,0.39530660977746146
full,mlp,x,all,288000,0.8752114938579232,0.8646112015582085,0.8838819931486891,0.940600968452221,212091.0,0.9358150608027076,0.9448483621052703,-0.1817391391532177,,,,0.559379534668857,0.31583195918906615
full,mlp,logV,calm,119663,0.4869018442220241,0.44115324982508547,0.532858774643709,,,,,-0.0935464425091932,0.10787448935770044,0.10411587740354158,0.11151122800986517,0.2262719636114493,0.2606298806105748
full,mlp,logV,event,94915,0.47797382351356077,0.44165696881439415,0.5096469533487797,,,,,-0.14590696055265084,0.12750828175756057,0.12259703770723376,0.13285083977997414,0.3440899659883321,0.1338838575252287
full,mlp,logV,resolution,73422,0.04343446959347208,-0.02477540830600409,0.10678361418263084,,,,,-0.1533717427487835,0.185060766731105,0.17812817052214505,0.1925456944150108,0.023457976560701255,0.019976493032770826
full,mlp,logV,all,288000,0.46358792442369756,0.4400028764612226,0.48775192799439354,,,,,-0.1271320024359912,0.13402279582625196,0.13048974303273175,0.1374314588494643,0.33735792314368684,0.12623000128001072
price_only,ridge,x,calm,119663,-0.06994179315770865,-0.11793177469117597,-0.026975250780792975,0.5710967465884259,65439.0,0.5498925406126547,0.5895184642374441,,,,,-0.06994179315770865,
price_only,ridge,x,event,94915,0.6177437881762349,0.5980695318839246,0.6373334970469713,0.8376524020012629,82348.0,0.8274344749982213,0.8475327847692418,,,,,0.6177437881762349,
price_only,ridge,x,resolution,73422,0.19564319277656295,0.1609274453148131,0.23279026566842315,0.6056232893754665,64304.0,0.5925421808897361,0.6198949750513827,,,,,0.19564319277656295,
price_only,ridge,x,all,288000,0.40839244216680015,0.38648635616465243,0.42799816805974267,0.6850597149336841,212091.0,0.6754258443816582,0.6947033754763522,,,,,0.40839244216680015,
price_only,ridge,logV,calm,119663,0.08417767330463466,0.02826584033905432,0.13565928992329415,,,,,,0.14445047057706256,0.13909655734281456,0.14954694050776948,0.08417767330463466,
price_only,ridge,logV,event,94915,0.32474180256107954,0.2799195402027594,0.36630820520009955,,,,,,0.15227719041689086,0.14519626113201237,0.16001542869462781,0.32474180256107954,
price_only,ridge,logV,resolution,73422,-0.13817672468838005,-0.2098981230993183,-0.08091914221350016,,,,,,0.21263059284073,0.20392812753956333,0.2230548317592627,-0.13817672468838005,
price_only,ridge,logV,all,288000,0.25151017468153536,0.2298017671737315,0.27195238885097645,,,,,,0.16441156102998025,0.15952943012749504,0.16951982625146877,0.25151017468153536,
price_only,gbt,x,calm,119663,0.16148878838365543,0.11966283257819046,0.19786718248411536,0.6503155610568622,65439.0,0.6279348362420959,0.67337680528768,,,,,0.16148878838365543,
price_only,gbt,x,event,94915,0.6645059085724623,0.6435861605377206,0.683772443187611,0.8299412250449313,82348.0,0.8207055518031026,0.8388010293719252,,,,,0.6645059085724623,
price_only,gbt,x,resolution,73422,0.3712441423102749,0.33309029967578263,0.4024338710856281,0.7153831798954964,64304.0,0.6985166583891551,0.734502456416721,,,,,0.3712441423102749,
price_only,gbt,x,all,288000,0.5179866241102773,0.49925877374518274,0.5347418166708517,0.739786223837881,212091.0,0.7298199105346986,0.7489276854135709,,,,,0.5179866241102773,
price_only,gbt,logV,calm,119663,0.28501098585962614,0.23916240073456652,0.32691322994391725,,,,,,0.12817319566313973,0.12343784861516265,0.13299896397134578,0.28501098585962614,
price_only,gbt,logV,event,94915,0.3681966011781328,0.33206300567304076,0.40500052016677074,,,,,,0.14335217388034185,0.13694213263447355,0.15012203266712804,0.3681966011781328,
price_only,gbt,logV,resolution,73422,-0.030627263468155475,-0.09764735600448109,0.024273141048456525,,,,,,0.1950356576267441,0.18656657869320756,0.20373954040301887,-0.030627263468155475,
price_only,gbt,logV,all,288000,0.35070727689716163,0.330897868945984,0.37248084807198756,,,,,,0.15022141927347826,0.14594696963480486,0.15487400157203313,0.35070727689716163,
price_only,mlp,x,calm,119663,0.08868364784018479,0.0332641038324984,0.13620187202871492,0.6204862543743028,65439.0,0.602486761338473,0.6370886836704439,,,,,0.08868364784018479,
price_only,mlp,x,event,94915,0.691351781497238,0.6699270240930256,0.7115200462238781,0.8313134502355856,82348.0,0.8228235560195537,0.8398509143744218,,,,,0.691351781497238,
price_only,mlp,x,resolution,73422,0.4932311986444351,0.4589583543366957,0.523078567624426,0.7741353570539935,64304.0,0.7600919787618633,0.7889545288877439,,,,,0.4932311986444351,
price_only,mlp,x,all,288000,0.559379534668857,0.535038238406829,0.5798914641289136,0.7489285259629122,212091.0,0.740794032843278,0.7572216269473544,,,,,0.559379534668857,
price_only,mlp,logV,calm,119663,0.2262719636114493,0.17509984320751892,0.2717788747268807,,,,,,0.13266439706893723,0.12759919823761173,0.13797813496573424,0.2262719636114493,
price_only,mlp,logV,event,94915,0.3440899659883321,0.30313206743141596,0.38100172580183267,,,,,,0.14674878526913276,0.14006327171101274,0.15346683343226286,0.3440899659883321,
price_only,mlp,logV,resolution,73422,0.023457976560701255,-0.03623382092768974,0.0751709721298525,,,,,,0.18836017823852544,0.18060786342033175,0.19626512835528973,0.023457976560701255,
price_only,mlp,logV,all,288000,0.33735792314368684,0.3135615314432821,0.36069873067803304,,,,,,0.15150507537121177,0.14698409689755226,0.15599667045673113,0.33735792314368684,
