feature_set,model,target,phase_group,n,R2,R2_lo,R2_hi,sign_acc_resolvable,n_resolvable,sign_lo,sign_hi,R2_shuffledV,MAPE_V,MAPE_lo,MAPE_hi,R2_price_only,selectivity_R2
full,ridge,x,calm,119663,0.4215007498578496,0.34757791774643615,0.48365931424507774,0.8552392304283378,65439.0,0.8387251069771968,0.8706792925074014,-0.0033103479468024055,,,,-0.002287728735843597,0.4237884785936932
full,ridge,x,event,94915,0.8582382137628426,0.848580687462386,0.8678244252733016,0.930271530577549,82348.0,0.9235645684841481,0.9364015663334642,-0.0022066407392082876,,,,0.6349274560922972,0.22331075767054542
full,ridge,x,resolution,73422,0.8422396203570033,0.827533366959813,0.8564290308476363,0.9549483702413536,64304.0,0.9478254534657088,0.9619877874127812,-0.0037915904844507686,,,,0.14104302648243916,0.7011965938745641
full,ridge,x,all,288000,0.7987343924459929,0.7858238049386771,0.8096469661515364,0.9146026941265778,212091.0,0.9075630536066923,0.9207492595919922,-0.002914751313939812,,,,0.409971459979517,0.38876293246647586
full,ridge,logV,calm,119663,0.18408737610997727,0.12722014431677542,0.24064094857528334,,,,,-0.003295578700955426,0.13527237505330206,0.13003399011307779,0.14056454273218374,0.09376211092979458,0.09032526518018269
full,ridge,logV,event,94915,0.3546875052805656,0.3067384244380671,0.39731987294655224,,,,,-0.0059258284631964475,0.14576624534338775,0.13888782422966778,0.15309428589900878,0.32186436466162005,0.032823140618945534
full,ridge,logV,resolution,73422,-0.06238597245366706,-0.13380554525807845,-0.008898005309511915,,,,,-0.004856425972752598,0.20025885936246116,0.19211285085278085,0.20972854663704837,-0.36139874315069687,0.2990127706970298
full,ridge,logV,all,288000,0.3084993311386284,0.28197747149502883,0.3328803529897449,,,,,-0.003572881720838028,0.1552982894613943,0.15067713891866008,0.16038379121680896,0.20328266777981419,0.10521666335881419
full,gbt,x,calm,119663,0.8234841754455295,0.7993457793844497,0.8451552492897848,0.9147144669081129,65439.0,0.9041667666005085,0.9249335458338935,-0.029346506435282915,,,,0.08628241480839238,0.7372017606371372
full,gbt,x,event,94915,0.9438027957123134,0.9394241598001645,0.9471032713128937,0.9476004274542187,82348.0,0.9419908502476338,0.9523504751876548,-0.06160856336607412,,,,0.681446519213314,0.2623562764989994
