feature_set,model,target,phase_group,n,R2,R2_lo,R2_hi,sign_acc_resolvable,n_resolvable,sign_lo,sign_hi,R2_shuffledV,MAPE_V,MAPE_lo,MAPE_hi,R2_price_only,selectivity_R2
full,ridge,x,calm,119663,0.5675562024426706,0.5079433688205773,0.6200158928717671,0.8766179189779795,65439.0,0.8623028775487325,0.8903978830996612,-0.0031632838929216422,,,,-0.00013152150822204334,0.5676877239508926
full,ridge,x,event,94915,0.8938274043976557,0.886264163757085,0.9011479427140706,0.9388934764657308,82348.0,0.9326907928906638,0.9442279599586931,-0.002541398633027603,,,,0.6336719004842772,0.2601555039133785
full,ridge,x,resolution,73422,0.8892093532808863,0.8780206363859085,0.8991767498618853,0.9676069917890022,64304.0,0.9619755238768171,0.9736150027974669,-0.0035699335231011986,,,,0.14393596278271614,0.7452733904981702
full,ridge,x,all,288000,0.8516196842323897,0.8413329561028616,0.8610108014910614,0.9283845141943788,212091.0,0.922555938711887,0.9341623798609597,-0.0028983936836515234,,,,0.4104876149537643,0.44113206927862536
full,ridge,logV,calm,119663,0.7274339839555488,0.6932436380424233,0.7557114699460793,,,,,-0.003885975621860993,0.08278669718733338,0.07963820229078011,0.08591860582173616,0.09325523737005936,0.6341787465854895
full,ridge,logV,event,94915,0.7614323688245273,0.735077972475994,0.7836719302325753,,,,,-0.0035729295630078095,0.09041948459966552,0.08678073755310207,0.09423644872588702,0.3242821290056037,0.43715023981892354
full,ridge,logV,resolution,73422,0.7132663775046981,0.6834651289916731,0.7394123682188787,,,,,-0.007162746116244012,0.09844397058367209,0.09391620388117428,0.10332515646564798,-0.3609149993675975,1.0741813768722956
full,ridge,logV,all,288000,0.7770948733974613,0.7621929077167817,0.7902153970419437,,,,,-0.0037518945843100227,0.08929383032812328,0.08682384049271379,0.09203853039140424,0.20399871036773176,0.5730961630297295
full,gbt,x,calm,119663,0.8110835415283547,0.7856993149309147,0.8343012103597788,0.8995553110530418,65439.0,0.8874799171951175,0.9120133582609821,-0.021519667846015222,,,,0.08277009413832559,0.7283134473900291
full,gbt,x,event,94915,0.9440070409482685,0.9396755922460535,0.9476395505656131,0.9450381308592801,82348.0,0.9394531186307749,0.9496902497287468,-0.039736844405088734,,,,0.679794848871608,0.26421219207666047
