scenario,phase,n_steps,median_abs_x,coverage_theta_0.03,coverage_theta_0.05,coverage_theta_0.08
flat,calm,40000,0.11204068000433336,0.8632,0.763775,0.629775
bull_trap,calm,18375,0.10970665869894976,0.8636190476190476,0.7571156462585034,0.6177959183673469
bull_trap,mania,28016,0.17823910319376798,0.9067318675042833,0.8468732153055397,0.7593874928612222
bull_trap,blow-off,13813,0.6055508094730351,0.9976833417794831,0.9963078259610512,0.9944255411568812
bull_trap,post-top,19796,0.2631385873338476,0.9413517882400485,0.9030612244897959,0.8424429177611639
sustained_bull,sustained-bull,40000,0.013771171445325504,0.17325,0.0461,0.005225
crash,calm,50322,0.10411579752722876,0.8647510035372203,0.7533086920233695,0.602698620881523
crash,deterioration,22112,0.10782308503096508,0.8505788712011577,0.7492764109985528,0.6200705499276411
crash,panic,33940,0.2092427098851053,0.9373600471420154,0.892899233942251,0.8230701237477902
crash,stabilisation,53626,0.17945247831895686,0.9186402118375415,0.8657554171483982,0.782400328199008
flat,ALL,40000,0.11204068000433336,0.8632,0.763775,0.629775
bull_trap,ALL,80000,0.21920791809670453,0.9211,0.8659625,0.788
sustained_bull,ALL,40000,0.013771171445325504,0.17325,0.0461,0.005225
crash,ALL,160000,0.1472201031472822,0.89625625,0.82005,0.712075
