feature_set,model,target,phase_group,n,R2,R2_lo,R2_hi,sign_acc_resolvable,n_resolvable,sign_lo,sign_hi,R2_shuffledV,MAPE_V,MAPE_lo,MAPE_hi,R2_price_only,selectivity_R2
full,ridge,x,calm,119440,0.7365897574708511,0.6897698696477863,0.7715943260112773,0.9473503712760564,67066.0,0.939036539783372,0.9548655053020952,-0.010210693038283702,,,,0.5250912710602766,0.21149848641057445
full,ridge,x,event,97998,0.9377645389729693,0.9337154423640576,0.9424002392822793,0.9711140558887804,86028.0,0.9672826280912095,0.9754341891662415,-0.006648133507865861,,,,0.9090359243284638,0.02872861464450549
full,ridge,x,resolution,70562,0.9146391648367314,0.903833125505026,0.924320218135543,0.9847815024489537,62884.0,0.9807155975684588,0.9888401956854542,-0.002331188884735047,,,,0.8816181873641722,0.033020977472559165
full,ridge,x,all,288000,0.8992803532494775,0.8928567851807039,0.9056563448891335,0.9677143042346906,215978.0,0.9644312081134524,0.9710185616252046,-0.0054560128360123805,,,,0.8394053512020392,0.05987500204743834
full,ridge,logV,calm,119440,0.4487163081346095,0.3899769732926003,0.502470795641345,,,,,-0.010712923460840518,0.06655225176415472,0.06427465308133148,0.06854363636356121,0.04955209415205353,0.39916421398255597
full,ridge,logV,event,97998,0.6140132082054566,0.5850752488800153,0.6425149925325977,,,,,-0.0069411821545168895,0.06401499316332875,0.06178709485578124,0.06620953276384041,0.42817367479724355,0.18583953340821302
full,ridge,logV,resolution,70562,0.561217810000798,0.5200671124173837,0.5978639433463339,,,,,-0.013001773079419854,0.0799872692070168,0.07634965079217142,0.08345510309911057,0.10897554222751726,0.4522422677732807
full,ridge,logV,all,288000,0.7082993504381517,0.6906148051772163,0.7263914405672606,,,,,-0.004816250080280193,0.06898056923790295,0.06728010725015966,0.07087576364375262,0.4912394534474046,0.21705989699074713
full,gbt,x,calm,119440,0.9280547013255509,0.9099375967002847,0.941230740394609,0.9747412996153043,67066.0,0.9685699976934125,0.979520567019947,-0.011125277550038337,,,,0.8106978228868836,0.11735687843866727
full,gbt,x,event,97998,0.9706651130814138,0.9684024816518082,0.9728016786184295,0.9837727251592505,86028.0,0.9809942801568022,0.986660261621925,-0.036103799859473096,,,,0.9382717483078119,0.032393364773601885
