scenario,phase,n_steps,median_abs_x,coverage_theta_0.03,coverage_theta_0.05,coverage_theta_0.08
flat,calm,40000,0.11424055578235662,0.8683,0.774525,0.63565
bull_trap,calm,18268,0.11133635874339953,0.8642434858769433,0.767790672213707,0.6266695861615941
bull_trap,mania,30106,0.15231620361843062,0.8939746229987378,0.8209991363847738,0.7169335016275825
bull_trap,blow-off,14860,0.5732669971241118,0.9966352624495289,0.9938761776581426,0.9894347240915209
bull_trap,post-top,16766,0.28909583344610984,0.9479899797208636,0.909757843254205,0.8532148395562448
sustained_bull,sustained-bull,40000,0.013827529049035007,0.179675,0.05045,0.006975
crash,calm,50197,0.11206831876693982,0.8728210849253939,0.7787517182301731,0.6362332410303405
crash,deterioration,22087,0.11923389067275747,0.865169556752841,0.7817268076243944,0.6607053923122198
crash,panic,33920,0.24402360457728003,0.9605837264150944,0.9325766509433963,0.8846403301886793
crash,stabilisation,53796,0.18896281276012233,0.9326715740947282,0.8854004015168414,0.8111011971150272
flat,ALL,40000,0.11424055578235662,0.8683,0.774525,0.63565
bull_trap,ALL,80000,0.20821047331106485,0.917575,0.8595625,0.7755
sustained_bull,ALL,40000,0.013827529049035007,0.179675,0.05045,0.006975
crash,ALL,160000,0.16051180323575498,0.91049375,0.84763125,0.75106875
