feature_set,model,target,phase_group,n,R2,R2_lo,R2_hi,sign_acc_resolvable,n_resolvable,sign_lo,sign_hi,R2_shuffledV,MAPE_V,MAPE_lo,MAPE_hi,R2_price_only,selectivity_R2
full,ridge,x,calm,119440,0.7368963540681606,0.6897472834194497,0.7717604906775901,0.946724122506188,67066.0,0.9383270951049101,0.9542655448223216,-0.007095086728265754,,,,0.1440284000892148,0.5928679539789458
full,ridge,x,event,97998,0.9377176832801838,0.933714815930082,0.9423357857470424,0.9710791835216441,86028.0,0.9671690563705326,0.9753904970331648,-0.001641863136268018,,,,0.6091085106068049,0.32860917267337886
full,ridge,x,resolution,70562,0.914705206946254,0.9039424417704021,0.9243018214397639,0.9850200368933274,62884.0,0.9809709182801046,0.9890737995813946,0.0019008730387372053,,,,0.2510283294212622,0.6636768775249918
full,ridge,x,all,288000,0.8993244905675724,0.8928950112321902,0.9058512473220581,0.9675754011982702,215978.0,0.9642109948452176,0.9709640736992992,-0.0013552843395256975,,,,0.44412407443416535,0.455200416133407
full,ridge,logV,calm,119440,0.44792164307046123,0.3899340313993285,0.5032018043653098,,,,,-0.0156129119084647,0.06654153751363483,0.06430035676063445,0.06852321715057658,-0.38125019043487907,0.8291718335053403
full,ridge,logV,event,97998,0.6129743939790425,0.5844186511141326,0.6420292692435448,,,,,-0.00475943846133231,0.06410129560769463,0.061855431297005714,0.0663350225737378,0.4496840928395456,0.16329030113949694
full,ridge,logV,resolution,70562,0.5607036352330181,0.5203449839721647,0.5972930349834097,,,,,-0.018270424702667265,0.08007647547013402,0.07647523048854434,0.08347770177106563,-0.6976159742955879,1.258319609528606
full,ridge,logV,all,288000,0.7077990840193933,0.6897804127187405,0.7261794964532161,,,,,-0.0074235164767189055,0.06902734815873264,0.06734889879854329,0.07086039602924936,0.2432093774043741,0.4645897066150192
full,gbt,x,calm,119440,0.9283010538148878,0.9103134415685724,0.9412904335681229,0.9745623713953419,67066.0,0.9682834976759294,0.9794426990382552,-0.005751109784111419,,,,0.3851031286786041,0.5431979251362837
full,gbt,x,event,97998,0.970735997537847,0.968523218026218,0.9727843170199314,0.9836216115683266,86028.0,0.9809347733004612,0.9866647856122394,-0.030594876385366288,,,,0.6771815877719167,0.2935544097659303
full,gbt,x,resolution,70562,0.9555196740884551,0.950484821174256,0.9597703429532699,0.9903791107435914,62884.0,0.9875245029652076,0.9933959633959171,-0.03465402276175422,,,,0.4108924298269837,0.5446272442614714
full,gbt,x,all,288000,0.960231330608874,0.9573381846641217,0.9629168476725887,0.9827760234838734,215978.0,0.9802256374945578,0.9848517877117186,-0.022103809042549383,,,,0.5643238354630948,0.39590749514577916
