feature_set,model,target,phase_group,n,R2,R2_lo,R2_hi,sign_acc_resolvable,n_resolvable,sign_lo,sign_hi,R2_shuffledV,MAPE_V,MAPE_lo,MAPE_hi,R2_price_only,selectivity_R2
full,ridge,x,calm,119113,-0.3189575377927476,-0.6109686048340719,-0.1051746053901208,0.7635852592129919,12808.0,0.7434326956663476,0.7817370094608044,-0.0023466368324045472,,,,0.19201800237694355,-0.5109755401696912
full,ridge,x,event,112896,-278.9976601358491,-1058.4220293569815,0.6494412529730119,0.8863475565046246,77737.0,0.8743867359550515,0.89713200470469,-1.3221849846181746,,,,0.5430405762446568,-279.5407007120938
full,ridge,x,resolution,55991,-4.372501531006186e+20,-1.323995976712259e+21,0.1753265004215826,0.8475627343524661,34670.0,0.8311587832729348,0.865572442518373,-6.109244758521614e+17,,,,-0.3479969748589582,-4.372501531006186e+20
full,ridge,x,all,288000,-5.675616021427337e+19,-2.1051048880448648e+20,0.5597049204648684,0.8630515513317094,125215.0,0.8543048563990564,0.8713144714540505,-1.6578573017807248e+17,,,,0.4486138192331298,-5.675616021427337e+19
full,ridge,logV,calm,119113,0.4170069593537403,0.36638848941164187,0.4651886043960837,,,,,-0.010540666207635274,0.09303030737522139,0.0891227065402869,0.09652424510350122,0.2752064336267529,0.14180052572698743
full,ridge,logV,event,112896,-54.67139547208622,-209.13379230576817,0.5688246000012781,,,,,-5.650786862837707,0.09714508753965033,0.0935189743205549,0.10121525425715132,0.4934683386176325,-55.16486381070385
full,ridge,logV,resolution,55991,-3.568904892999802e+19,-1.2816927708590116e+20,0.16585578149801564,,,,,-2.4717019213688074e+18,0.15055762487804147,0.14109655234191157,0.1624046868211871,-0.9214152871093104,-3.568904892999802e+19
full,ridge,logV,all,288000,-5.720640683357139e+18,-2.204843735385393e+19,0.5775914352434799,,,,,-6.709028152986342e+17,0.10582737076322057,0.1029677352659931,0.10906098199035977,0.34255830962511424,-5.720640683357139e+18
full,gbt,x,calm,119113,0.34573535722996207,0.20551758262845865,0.4457808405030288,0.8422860712054966,12808.0,0.8253264232379653,0.8578228522190725,-0.028793705423090454,,,,0.3391237771334653,0.006611580096496761
full,gbt,x,event,112896,0.7785547306177131,0.7644472696782535,0.7926919878234574,0.9309852451213708,77737.0,0.9214540971497146,0.939358842396137,-0.0529178165985742,,,,0.5523296912468881,0.22622503937082494
full,gbt,x,resolution,55991,0.467312014230873,0.3825564436935774,0.5462022724230812,0.8921257571387367,34670.0,0.8753954086374878,0.9079246337863478,-0.03736019863739082,,,,-0.17774632335758866,0.6450583375884616
full,gbt,x,all,288000,0.7312123395520561,0.7192126990108689,0.7429958120961295,0.9111528171544943,125215.0,0.9038550319243263,0.9185813964640053,-0.03934941291973937,,,,0.48693603736535107,0.24427630218670504
full,gbt,logV,calm,119113,0.5209435849855089,0.47899442900046674,0.5616676604772584,,,,,-0.06249020776926595,0.082972280827466,0.07980876739798459,0.08604278222052589,0.33101224261095175,0.1899313423745571
full,gbt,logV,event,112896,0.6007683830833623,0.5638029465698938,0.6340136310400227,,,,,-0.05018950522408949,0.08889857526501221,0.08556496030318851,0.09247489147354233,0.476894513772808,0.12387386931055433
full,gbt,logV,resolution,55991,0.2968757438668912,0.20808251567708952,0.3703858434994753,,,,,-0.05717885166358405,0.12872168493520122,0.1203452040556647,0.13959858024088334,-0.6127822913762704,0.9096580352431616
full,gbt,logV,all,288000,0.6370513412269867,0.6142525054908721,0.6576141396889243,,,,,-0.053901115067413796,0.09418967604349872,0.09151232542199023,0.09725522673971321,0.4023168475374965,0.23473449368949018
