scenario,phase,n_steps,median_abs_x,coverage_theta_0.03,coverage_theta_0.05,coverage_theta_0.08
flat,calm,40000,0.01874245185658015,0.309375,0.132925,0.045775
bull_trap,calm,17747,0.02182290870916596,0.3782611145545726,0.20364005183974757,0.09979151405871414
bull_trap,mania,39953,0.08687345256376035,0.8059720171201161,0.686706880584687,0.5318499236603008
bull_trap,blow-off,19779,0.14817146611567955,0.968552505182264,0.94226199504525,0.8866474543707973
sustained_bull,sustained-bull,40000,0.010475688746310868,0.111875,0.02735,0.003425
crash,calm,50368,0.019042328749826982,0.3093829415501906,0.13018186149936467,0.04149459974587039
crash,deterioration,22109,0.02388953978860199,0.41919580261431993,0.20837667918042427,0.08385725270251934
crash,panic,34053,0.1249991147481002,0.8872639708689396,0.8106481073620533,0.6865180747658063
crash,stabilisation,53470,0.06694236049256891,0.7625958481391435,0.6160650832242379,0.418907798765663
bull_trap,post-top,2521,0.09453075377429593,0.8084093613645379,0.6858389527965093,0.548988496628322
flat,ALL,40000,0.01874245185658015,0.309375,0.132925,0.045775
bull_trap,ALL,80000,0.08691493656548263,0.7513625,0.6427,0.5242625
sustained_bull,ALL,40000,0.010475688746310868,0.111875,0.02735,0.003425
crash,ALL,160000,0.04201887413816792,0.59900625,0.4481875,0.31075625
