feature_set,model,target,phase_group,n,R2,R2_lo,R2_hi,sign_acc_resolvable,n_resolvable,sign_lo,sign_hi,R2_shuffledV,MAPE_V,MAPE_lo,MAPE_hi,R2_price_only,selectivity_R2
full,ridge,x,calm,119419,-1.339155430187562,-1.6363142663495853,-1.0825580711319454,0.7616923781884832,32735.0,0.7454399009326691,0.7798206448177397,-0.007540992726317031,,,,-0.5819278576706177,-0.7572275725169442
full,ridge,x,event,111857,0.7231530120252438,0.7038437377214078,0.7408153520203775,0.9293063053886116,88353.0,0.9218978853172896,0.9359994849964419,-0.0015989522000987577,,,,0.48420292965533096,0.2389500823699129
full,ridge,x,resolution,56724,0.4964472757953666,0.45809533791743395,0.5319692541586489,0.8893562173529611,44223.0,0.8784656188510257,0.9013457838338425,-0.00541750707793609,,,,-0.23451048739710534,0.730957763192472
full,ridge,x,all,288000,0.6533260196068773,0.6362710937061027,0.6686483489981032,0.8854280719371367,165311.0,0.8796984455952845,0.8920790282453175,-0.002533568727654867,,,,0.4274338259026855,0.22589219370419178
full,ridge,logV,calm,119419,0.369255886198288,0.32308564736702233,0.41259743663542797,,,,,-0.006588414826322886,0.10841291716337449,0.10411838048817178,0.11241346531405118,0.2445435454489635,0.12471234074932447
full,ridge,logV,event,111857,0.4561361987507071,0.40121154060948877,0.5030397746640539,,,,,-0.005821063950753214,0.12511836300818707,0.11964330280952122,0.13034553285878814,0.41548346395827906,0.040652734792428036
full,ridge,logV,resolution,56724,0.27800485264189745,0.21899190587795103,0.3175294723869558,,,,,-0.005039413326982212,0.15742850063987612,0.14885927324581408,0.16598638528851406,-0.3297806106453611,0.6077854632872586
full,ridge,logV,all,288000,0.5139046816578141,0.4890956039654018,0.5349891305719203,,,,,-0.004456651471668627,0.1245552123473477,0.1212374508574458,0.12795496150261618,0.35249140957029124,0.16141327208752287
full,gbt,x,calm,119419,0.21253043558034024,0.14141356601695682,0.2695191192745619,0.834336337253704,32735.0,0.8192533342716922,0.8475076261084137,-0.046582495567952575,,,,-0.8230797109478853,1.0356101465282257
full,gbt,x,event,111857,0.8768815612397742,0.8680078595418325,0.8853906609251314,0.9470306610980952,88353.0,0.9420512309516309,0.951908091930954,-0.04692686321282036,,,,0.5136083647856955,0.36327319645407874
full,gbt,x,resolution,56724,0.6767936767497309,0.6468248916835861,0.7028910029582732,0.9186396219161974,44223.0,0.9096987800932123,0.9279768813540844,-0.042673544490124726,,,,0.13510729898858886,0.541686377761142
full,gbt,x,all,288000,0.84318214781293,0.8355240313278091,0.8507800358208529,0.9171198528833532,165311.0,0.9125552199694033,0.9221615554313355,-0.043395173765314876,,,,0.48535762638709334,0.35782452142583665
full,gbt,logV,calm,119419,0.5187751730096738,0.48314596497316725,0.5533835575631799,,,,,-0.04080703782016171,0.09413522662283363,0.09048099245943134,0.09764740560308058,0.28709209801929825,0.23168307499037555
full,gbt,logV,event,111857,0.5425544591017581,0.5017038698872305,0.5815402078153251,,,,,-0.07280940980068062,0.11165740691306628,0.10725061609755969,0.1160157969903223,0.367816458910039,0.17473800019171914
full,gbt,logV,resolution,56724,0.42006935188483707,0.3698720696437072,0.4632064419199811,,,,,-0.07264357054860526,0.13722333435509035,0.1292966720479033,0.14525865342453245,-0.10272710703151566,0.5227964589163527
full,gbt,logV,all,288000,0.6102365383817518,0.5874875534248378,0.6314495068023196,,,,,-0.061155039280976986,0.10942726948300406,0.10675019124743666,0.11247779450451116,0.39170071418066865,0.2185358242010832
