family,peak_i,trough_i,depth,peak,trough,duration_months,det_len_months,front_load,rec3,rec6,rec12
dd20,61,77,-0.3504343123207716,1876-02-01,1877-06-01,16,7,0.057401488895040265,0.43254667760469107,0.48545663161249436,0.9352723320954348
dd20,125,161,-0.2711658398462997,1881-06-01,1884-06-01,36,3,0.7949211610441864,0.13912392679074653,0.10804569816756444,0.21577643370708788
dd20,190,239,-0.2246713906417378,1886-11-01,1890-12-01,49,11,0.7949183862629515,0.11458703819327248,0.23192487689278593,0.8131688658354411
dd20,256,270,-0.2693005283087496,1892-05-01,1893-07-01,14,8,0.17858189745484887,0.16978478461100596,0.24666817400328928,0.3253126422076352
dd20,365,393,-0.3234740310708124,1901-06-01,1903-10-01,28,4,0.2183441679603955,0.11466247341361362,0.10145228930286891,0.4680348983760237
dd20,428,599,-0.7003079853010555,1906-09-01,1920-12-01,171,5,0.04857736524669879,0.030386598415852877,0.02575742542677465,0.08718107397912182
dd20,704,737,-0.8061431121969554,1929-09-01,1932-06-01,33,1,0.22052428272010507,0.18215989080906878,0.11647161357489708,0.3204461383147542
dd20,1091,1097,-0.2296962725958529,1961-12-01,1962-06-01,6,5,0.0948118726679339,0.11986912753381404,0.3977446751624911,0.817658028069923
dd20,1140,1149,-0.2011231739141197,1966-01-01,1966-10-01,9,7,0.15232395284172412,0.37696884504140943,0.6839199885763777,0.8373209051664249
dd20,1175,1338,-0.6259829059829061,1968-12-01,1982-07-01,163,7,0.239241855024584,0.12208669207949523,0.18818876003926924,0.29267060616050233
dd20,1555,1658,-0.5859361029762311,2000-08-01,2009-03-01,103,4,0.5318675318768307,0.1457690872801369,0.2535483503732598,0.34428176696195323
dd20,1810,1821,-0.25543124173820386,2021-11-01,2022-10-01,11,6,0.24204207071796316,0.1715422583072967,0.2524674316833934,0.32021485772475294
dd30,61,77,-0.3504343123207716,1876-02-01,1877-06-01,16,7,0.057401488895040265,0.43254667760469107,0.48545663161249436,0.9352723320954348
dd30,365,393,-0.3234740310708124,1901-06-01,1903-10-01,28,4,0.2183441679603955,0.11466247341361362,0.10145228930286891,0.4680348983760237
dd30,428,599,-0.7003079853010555,1906-09-01,1920-12-01,171,5,0.04857736524669879,0.030386598415852877,0.02575742542677465,0.08718107397912182
dd30,704,737,-0.8061431121969554,1929-09-01,1932-06-01,33,1,0.22052428272010507,0.18215989080906878,0.11647161357489708,0.3204461383147542
dd30,1175,1338,-0.6259829059829061,1968-12-01,1982-07-01,163,7,0.239241855024584,0.12208669207949523,0.18818876003926924,0.29267060616050233
dd30,1555,1658,-0.5859361029762311,2000-08-01,2009-03-01,103,4,0.5318675318768307,0.1457690872801369,0.2535483503732598,0.34428176696195323
