ticker,peak,trough,depth,peak_date,trough_date,duration,det_len,front_load,rec60,rec120,rec200,panic_len,rv_calm,m_deterioration,m_panic,m_stabilisation,rise,onset,decay_half_life,stress_spell
A,550,695,-0.7091931451074727,2002-03-15,2002-10-10,145,6.0,0.23734722712463086,0.3374908615066268,0.13416490557563826,0.4191232550575413,139.0,0.0009911277500374285,0.9958550848114729,2.2318747828726924,2.128604404902702,169.0,556.0,19.0,138.0
A,1890,2307,-0.6920791310403924,2007-07-12,2009-03-09,417,20.0,0.1419367497705128,0.24642327512227474,0.46852614929846637,0.6248208924423819,397.0,0.00017260674764219407,2.9633947321012304,19.831019441710406,6.040736051365365,315.0,1910.0,28.0,46.0
A,4842,5086,-0.22161911393112088,2019-04-03,2020-03-23,244,29.0,0.6112911468808248,1.37307138462547,1.978015567563162,3.354115331786292,215.0,0.0003322623685039044,0.37018475639672493,5.404216634846111,2.0376795464672686,220.0,4871.0,11.0,22.0
A,5453,5651,-0.36871725471310346,2021-09-03,2022-06-17,198,16.0,0.29535370627789537,0.3155955375002735,0.6701645819130065,0.3994574884967734,182.0,0.0001041834958739195,2.3546355175010802,2.8730749859061966,4.708212435903895,171.0,5469.0,18.0,200.0
A,5800,5994,-0.36041112059724,2023-01-23,2023-10-30,194,21.0,0.4414054566195003,0.5269546990526605,0.6751823830104708,0.6945396460150388,173.0,0.0004435081099281899,0.6980153225539851,0.7836573479414958,0.8583675241579947,189.0,5821.0,9.0,151.0
AAPL,572,825,-0.49750980842320003,2002-04-17,2003-04-17,253,7.0,0.747489076986209,0.4996168907421796,0.7652049962448466,0.7036180256875352,246.0,0.0009333427792345135,0.8792862117781777,2.002899325382421,0.7316713896032941,57.0,579.0,1.0,21.0
AAPL,2008,2274,-0.6086673369316596,2007-12-28,2009-01-20,266,5.0,0.0726690396104125,0.3555863376818184,0.5273368394023683,0.9089038538141444,261.0,0.0007820282981470019,0.6388698503877768,5.716800182857608,1.0988792373838339,196.0,2013.0,15.0,30.0
AAPL,3199,3343,-0.43797170555742415,2012-09-19,2013-04-19,144,16.0,0.2958709416766671,0.1397094527741248,0.33685671980415016,0.4206623199773597,128.0,0.0003169198310812927,0.60618271693473,1.5752628146398542,0.6326468688188834,72.0,3215.0,18.0,21.0
AAPL,3870,4115,-0.3044375987472947,2015-05-22,2016-05-12,245,49.0,0.4045665610398325,0.4708351686898534,0.5501690153928179,1.2316349649255152,196.0,0.0002477430320684388,0.6295909171519729,1.5196330268928102,0.7762915320228368,25.0,3919.0,10.0,123.0
AAPL,5536,5789,-0.30912816560399126,2022-01-03,2023-01-05,253,13.0,0.24521334754555157,0.7401486876346384,1.1641472172501421,0.8709026844789756,240.0,0.0002036216843521673,1.5847824844544742,5.242718487014335,1.1086821249147931,203.0,5549.0,20.0,149.0
ABT,2188,2345,-0.28927109611156565,2008-09-16,2009-05-01,157,17.0,0.36685358417332137,0.25526709305841766,0.6213854948310676,0.8621082065456718,140.0,0.0002006349432561636,1.4289044497312566,3.8762588652860455,1.148877415855539,17.0,2205.0,6.0,117.0
ABT,3912,4052,-0.28160776809612253,2015-07-23,2016-02-11,140,22.0,0.8182894099716702,0.13141397663851878,0.6432463917981207,0.24948190131500367,118.0,0.00010708456619287001,1.7458349146718612,7.033992718589423,2.371838883350144,111.0,3934.0,18.0,189.0
ABT,5531,5982,-0.33876732407629895,2021-12-27,2023-10-12,451,15.0,0.609315883115621,0.4878067794163118,0.4663207934179908,0.3756435526922723,436.0,0.0001196620936637788,1.4512783704960441,1.34205075047297,0.9048078689939526,206.0,5546.0,5.0,249.0
ACGL,1021,1208,-0.2221483888175595,2004-01-28,2004-10-25,187,37.0,0.36712953885901467,0.2447558501089847,0.4995003317220262,1.0889109711283487,150.0,0.00013291653858069007,1.0572738682857212,1.0260883992899665,0.8130660198817733,153.0,1058.0,11.0,265.0
