seed,attempts,rejected,det_len,panic_len,front_load,delta,D_V,delta_end,setup_len,mode,trunc,rv_calm,depth,duration,ep_peak_rel_event,rise,onset_lag_before_event,realised_det_len,decay_half_life,stress_spell
220000,1,0,26,32,0.5,0.7,0.1931938858276247,0.7415398054773107,93,v2,,0.0003733153965543534,,,,,,,,
220001,1,0,29,47,0.5,0.7,0.2471211196934952,0.8895871573578132,76,v2,,0.0003904318832825187,-0.5493523420367328,54.0,-4.0,44.0,-7.0,11.0,7.0,26.0
220002,1,0,21,57,0.5,0.7,0.2106188578928655,0.9492792985652849,81,v2,,0.0005669597337100714,-0.6150382751602728,79.0,-5.0,91.0,0.0,5.0,5.0,59.0
220003,1,0,16,24,0.5,0.7,0.25811051050639644,0.8200638865977788,56,v2,,0.0002698665606559772,-0.5604811531272842,43.0,-11.0,43.0,-1.0,12.0,11.0,114.0
220004,1,0,38,28,0.5,0.7,0.13122962188280435,0.9128459922520749,82,v2,,0.0004561273553194273,-0.5416551370873223,66.0,0.0,46.0,-10.0,10.0,9.0,23.0
220005,1,0,32,23,0.5,0.7,0.1586397248109429,0.8728276221881095,81,v2,,0.00041851901516734336,-0.44076546274772865,43.0,15.0,32.0,-19.0,4.0,14.0,79.0
220006,1,0,17,17,0.5,0.7,0.2558150254490492,0.7845062636418376,107,v2,,0.00027697243108468667,-0.5886372985449443,102.0,-75.0,121.0,68.0,7.0,17.0,43.0
220007,1,0,33,15,0.5,0.7,0.11896563092265598,0.9680926579047835,58,v2,,0.0014146067806371843,,,,,,,,
220008,1,0,29,17,0.5,0.7,0.27376897066312694,0.7261545611317013,103,v2,,0.0009607809436219831,-0.5848588437921622,54.0,-12.0,52.0,7.0,5.0,11.0,22.0
220009,1,0,21,65,0.5,0.7,0.2692590522245396,0.7592183647081456,84,v2,,0.0003732063823614619,-0.6517885681531401,91.0,-25.0,92.0,8.0,17.0,17.0,36.0
220010,1,0,33,34,0.5,0.7,0.10374571100244004,0.8900723379036698,107,v2,,0.0004837796024999147,-0.5662386812562679,25.0,17.0,17.0,-20.0,3.0,1.0,43.0
220011,1,0,15,39,0.5,0.7,0.27724970304492835,0.7632518928434946,100,v2,,0.0004743560964557854,-0.6096101822951148,64.0,-12.0,46.0,0.0,12.0,19.0,36.0
220012,1,0,32,54,0.5,0.7,0.18592517414422938,0.7175911599619064,104,v2,panic_len,0.00048795481929660443,,,,,,,,
220013,1,0,24,65,0.5,0.7,0.13363544393783608,0.8768037337787686,79,v2,,0.0003520616207101818,,,,,,,,
