seed,attempts,rejected,det_len,panic_len,front_load,delta,D_V,delta_end,setup_len,mode,trunc,rv_calm,depth,duration,ep_peak_rel_event,rise,onset_lag_before_event,realised_det_len,decay_half_life,stress_spell
220000,1,0,6,36,0.1483332378820006,0.8569424824518657,0.22021619102884293,0.9754377007981789,93,v21,,0.0003733153965543534,,,,,,,,
220001,1,0,9,63,0.3225297850605219,0.729905546504212,0.29004028958478917,0.994242924874984,76,v21,,0.0003904318832825187,-0.5697106551302433,54.0,-4.0,31.0,-1.0,5.0,20.0,40.0
220002,1,0,14,43,0.4253107170786836,0.6051781862603414,0.20582334304459193,0.7723702017845943,81,v21,,0.0005669597337100714,-0.5424067670990509,79.0,-5.0,56.0,0.0,5.0,9.0,66.0
220003,1,0,4,70,0.23780368457049747,0.7565315896406984,0.1619557353635756,0.9345294182164495,56,v21,,0.0002698665606559772,,,,,,,,
220004,1,0,5,17,0.3598539677042695,0.7309565953656989,0.15786508369985297,0.9515960233677423,82,v21,,0.0004561273553194273,-0.4936506090169114,50.0,-10.0,19.0,-2.0,12.0,13.0,21.0
220005,1,0,4,24,0.3035156185445987,0.660501581437536,0.11728448535404197,0.7432388785561657,81,v21,,0.00041851901516734336,-0.5145543996656188,10.0,14.0,11.0,-16.0,2.0,14.0,23.0
220006,1,0,4,68,0.19885602936996621,0.7600559540632975,0.2105354033526891,0.9072686431396267,107,v21,,0.00027697243108468667,,,,,,,,
220007,1,0,3,17,0.4617206500105525,0.662344799958466,0.15947684824947797,0.8297895094847424,58,v21,,0.0014146067806371843,,,,,,,,
220008,1,0,4,83,0.1310418577303405,0.6332103894486051,0.16504880172737207,0.9014416287742868,103,v21,,0.0009607809436219831,-0.5536762647667269,96.0,-12.0,47.0,7.0,5.0,14.0,61.0
220009,1,0,19,78,0.1675877923930449,0.8199752583883907,0.21894948970921987,0.8735199855908338,84,v21,,0.0003732063823614619,-0.5791246637246836,118.0,-25.0,92.0,8.0,17.0,24.0,41.0
220010,1,0,6,16,0.3230958542117348,0.5596665497466594,0.1698654509402093,0.7100530733171763,107,v21,,0.0004837796024999147,,,,,,,,
220011,1,0,7,83,0.17249889395318824,0.7245069087070453,0.14878185559860616,0.811776082255505,100,v21,panic_len,0.0004743560964557854,-0.47833941124668633,85.0,-12.0,20.0,0.0,12.0,13.0,53.0
220012,1,0,24,34,0.12066843179440434,0.9054119083166505,0.2427612467540014,0.9282731438242963,104,v21,,0.00048795481929660443,,,,,,,,
220013,1,0,19,17,0.30912895217316905,0.7791737485082125,0.16365451904531092,0.8938085256492829,79,v21,,0.0003520616207101818,-0.39651493255766235,109.0,-77.0,98.0,63.0,14.0,15.0,91.0
220014,1,0,3,53,0.21423621562409315,0.688061513543148,0.14443785802815262,0.8134699848428859,92,v21,,0.0003400841288784807,,,,,,,,
220015,1,0,7,48,0.41390035771816197,0.9579595713106593,0.285962789995728,0.9705102783764935,50,v21,,0.0003236023567266387,-0.6347144633527193,107.0,-43.0,42.0,16.0,27.0,19.0,25.0
