seed,attempts,rejected,det_len,panic_len,front_load,delta,D_V,delta_end,setup_len,mode,trunc,rv_calm,depth,duration,rise,decay_half_life,stress_spell
220000,1,0,13,42,0.3143974260160084,0.6857154889420255,0.12769320365154052,0.9640509336318088,93,v21,,0.0003733153965543534,-0.4445268357062868,132,131,21.0,36
220001,1,0,15,66,0.4453396236570559,0.8752288609047969,0.22639143823854216,0.9150869221439827,76,v21,,0.0003904318832825187,-0.47905393885082403,111,35,14.0,28
220002,1,0,8,80,0.35670747925796625,0.7929591661135523,0.26618619904352325,0.8468928742272189,81,v21,,0.0005669597337100714,-0.6003030338156328,79,91,14.0,54
220003,1,0,4,29,0.47202326530937366,0.6491748722385245,0.18004259106518591,0.879014732532573,56,v21,,0.0002698665606559772,-0.5717751133885118,43,20,35.0,47
220004,1,0,24,35,0.16394029490623485,0.6960424080138727,0.24189732816804987,0.8668234843826457,82,v21,,0.0004561273553194273,-0.6082027154224374,66,51,7.0,24
220005,1,0,19,28,0.2304955186342828,0.6139270745389968,0.21521841479207302,0.7958151333014639,81,v21,,0.00041851901516734336,-0.48794703853588806,128,113,10.0,24
220006,1,0,5,19,0.46644953499698955,0.6960259263443078,0.15633750909455843,0.850762830654124,107,v21,,0.00027697243108468667,-0.5797406766877264,90,122,16.0,57
220007,1,0,20,16,0.13416176162996954,0.7341112578856499,0.27872843860318897,0.8406578756183392,58,v21,,0.0014146067806371843,-0.609484425378636,151,59,4.0,20
220008,1,0,16,19,0.5100440024696882,0.6070861990102214,0.1174363740878009,0.7398307445254857,103,v21,,0.0009607809436219831,-0.5918436272933543,43,42,14.0,22
220009,1,0,8,93,0.49909334564572966,0.693443064993479,0.13947890980543048,0.9036004185127933,84,v21,,0.0003732063823614619,-0.5881697330159577,118,92,25.0,42
220010,1,0,19,44,0.0972058560622798,0.6999190950443045,0.22671489193577987,0.7716729045625272,107,v21,,0.0004837796024999147,-0.5223944022022098,165,138,1.0,44
220011,1,0,3,53,0.5184956643629544,0.6031527644856863,0.14216792856232974,0.8280364117058433,100,v21,,0.0004743560964557854,-0.5822378112691424,64,20,13.0,21
220012,1,0,18,68,0.2967480675451059,0.702081314817277,0.11172743997460424,1.0,104,v21,panic_len,0.00048795481929660443,-0.6466865808626837,174,136,14.0,43
220013,1,0,12,92,0.1697819375130612,0.6830264807601525,0.2178691558525124,0.9183393035024661,79,v21,,0.0003520616207101818,-0.4676695800438675,178,182,,87
220014,1,0,5,16,0.40806840554528334,0.6138492235282197,0.1651154020408862,0.8011581559289872,92,v21,,0.0003400841288784807,-0.5208855464190416,105,103,13.0,23
220015,1,0,14,48,0.38118011115412176,0.9102099204325594,0.2611866168998986,1.0,50,v21,,0.0003236023567266387,-0.6397926066290395,107,52,9.0,25
220016,2,1,26,70,0.5584351566747533,0.7648394273500887,0.257632883702249,0.8704228134765299,88,v21,,0.0004141980982318565,-0.5651165505811513,171,170,18.0,74
220017,1,0,12,16,0.4364726776771023,0.6213095416733844,0.11943264880145912,0.777831097897077,79,v21,,0.0005161731824815095,-0.5436166060911887,61,59,6.0,21
220018,1,0,9,89,0.44167563825554096,0.6674231906824116,0.13998968522329888,0.9920620675984136,50,v21,,0.00028442141700742586,-0.4573232417405221,132,56,7.0,21
220019,1,0,14,45,0.24228711931407831,0.8145005597104498,0.19181597594508557,0.8950125196697606,110,v21,,0.0005419904940935464,-0.45957728890425587,144,118,7.0,21
220020,1,0,9,97,0.25065072017468,0.7538852855613225,0.29334050088523667,0.9001245869362549,71,v21,,0.0003029696037166524,-0.68576291131536,100,95,10.0,54
220021,1,0,5,80,0.2066479878120995,0.6929506223047895,0.11530081449902088,0.9723113348944376,59,v21,,0.00024467203331142955,-0.5150881189642732,101,58,29.0,71
220022,1,0,19,20,0.30132951475507846,0.894422238479102,0.2529899603956526,0.9526078408894988,95,v21,,0.00039060385042735376,-0.47147526420665076,74,71,17.0,21
220023,1,0,22,85,0.5484566754116393,0.6912141736576664,0.2205105450493171,0.8259095146383465,77,v21,,0.0003334051152405101,-0.5405282032024211,132,72,42.0,64
220024,1,0,14,58,0.2624862145033289,0.716212282579147,0.10781060625171675,0.9581723816522406,85,v21,,0.0003319824819629946,-0.6461047681974424,17,26,15.0,25
220025,1,0,3,61,0.2942128163968511,0.839904081092218,0.21497452065575104,0.8981797165562354,79,v21,,0.0003459572688762708,-0.4945048036358892,113,71,17.0,56
220026,1,0,5,93,0.44898114145037177,0.5578617069054705,0.16515688171979886,0.8769692365450178,72,v21,,0.0005923782683479672,-0.5057590084163369,41,26,27.0,74
220027,1,0,20,53,0.11763112899545751,0.7055228465761588,0.10342686926039349,0.8740531088591977,72,v21,,0.0002946070943791003,-0.33490081768601254,118,65,56.0,65
220028,1,0,15,45,0.12518508647753407,0.7853193758215948,0.19099884175436926,0.9320372150773855,60,v21,,0.000289062044352815,-0.3959772400430529,113,42,20.0,39
220029,1,0,19,24,0.511125115954562,0.6878652585496192,0.1095114526149076,0.9956658783643975,80,v21,,0.00037928078865328137,-0.4447324927494233,67,79,19.0,39
220030,1,0,12,29,0.3510529279339947,0.5656697522305025,0.13541294388152103,0.7620851929154395,101,v21,,0.00042800091028010183,-0.571309881961001,138,136,14.0,21
220031,1,0,12,68,0.5683367064285971,0.7391133174096022,0.22572861334362518,0.8340219480726863,110,v21,panic_len,0.00033946133903080185,-0.518391921123416,77,58,13.0,28
220032,2,1,12,18,0.32480317167188744,0.8214474119611778,0.1911303632991206,1.0,98,v21,,0.0005929391095638867,-0.2971241744316623,76,86,1.0,68
220033,1,0,22,57,0.2726126935003315,0.6379575455324062,0.17048960040630617,0.9306113955250614,89,v21,,0.00035772634423966455,-0.6329884263704717,76,34,7.0,68
220034,1,0,12,48,0.3210935684917784,0.7027751855704729,0.14456215983225476,0.9901605145906571,73,v21,,0.00022137073701851052,-0.5027705038132206,76,64,21.0,100
220035,1,0,10,77,0.5589764089108797,0.6584283913729746,0.2470821581678292,0.9197043934538949,103,v21,panic_len,0.00027939518647349386,-0.5578871170250761,183,124,33.0,63
220036,1,0,14,40,0.5416696785529515,0.7957584253074933,0.22144759246791063,0.9402211568732309,67,v21,,0.00034416305884743434,-0.6701640195016001,155,54,21.0,69
220037,1,0,5,54,0.2797244304518281,0.851138466336045,0.25211058759535276,0.9562588052065263,53,v21,,0.00044105947942554526,-0.40797518089700724,49,71,5.0,64
220038,1,0,5,79,0.1438038861871401,0.758737271292304,0.1476376318529357,0.8655134753794438,98,v21,,0.00035523732784539547,-0.2767111491570605,22,12,27.0,39
220039,1,0,26,30,0.37338101537660745,0.9651686915414263,0.2966840132174978,0.9834338818174233,55,v21,,0.0008397568896100589,-0.5476875457106953,68,71,15.0,39
220040,1,0,26,82,0.19212003439898168,0.7831288542968924,0.23869693401244627,0.9962098212878637,82,v21,panic_len,0.000405388681467975,-0.5799180811304696,88,82,,62
220041,1,0,26,26,0.21887837293943946,0.5859044490826444,0.11423558695431112,0.9600539672789205,69,v21,,0.0004611116199420732,-0.5650126713272838,109,50,19.0,74
220042,1,0,11,58,0.1940522693824355,0.813005445967306,0.16175494124376702,0.9080847059802969,98,v21,,0.0003495786149371398,-0.49350056646913376,44,48,12.0,45
220043,1,0,6,97,0.4688375571229371,0.660463575324697,0.23467477083213728,0.9470837032833117,80,v21,,0.00043107881044209255,-0.5193092081747129,105,24,9.0,105
220044,1,0,24,65,0.1625540489486078,0.6077954157500001,0.10523772639922768,0.841465241337065,101,v21,panic_len,0.00037112119565942104,-0.5299994969449706,72,52,17.0,21
220045,1,0,22,74,0.45869024833902416,0.7265500879716315,0.2981869096182431,0.873149405109467,58,v21,,0.00042577247163638553,-0.4039929490880936,97,114,6.0,21
220046,1,0,17,20,0.2619603290009827,0.8166460627147687,0.24869793321187397,0.9866432795876969,50,v21,,0.0005364591290132859,-0.40344542085071033,36,33,11.0,21
220047,1,0,16,43,0.3113173599122678,0.6320870503370354,0.13804968702773016,0.7940877022757893,74,v21,,0.00028697522618334183,-0.5277674720677665,123,92,36.0,46
220048,1,0,15,18,0.3550692644209121,0.802150414225683,0.20658792550926605,0.9235584138290819,69,v21,,0.0003110128167278128,-0.48802316998475215,35,34,21.0,34
220049,1,0,6,84,0.2260638933029422,0.8254182900982355,0.17737663752150132,0.9734371897594271,100,v21,panic_len,0.0003299356954479026,-0.44054263055475973,174,113,3.0,50
220050,2,1,17,48,0.3813811797346502,0.663984089207154,0.271763592636932,0.9646405685005348,73,v21,,0.0002487775175212824,-0.6858159018451254,124,116,19.0,45
220051,1,0,21,15,0.5505571282538061,0.6135778584573627,0.15714310182184077,0.8298579505882057,107,v21,,0.000623883003043505,-0.5368959373733715,62,46,5.0,46
220052,1,0,25,50,0.11567467510314539,0.6623127550135542,0.2445723472185242,0.9309845512624018,110,v21,,0.000378917027868106,-0.6017968611765614,181,152,18.0,32
220053,1,0,14,34,0.45030886164430545,0.6803118332216127,0.20192178909835043,0.9038001269961904,55,v21,,0.00047849012666351484,-0.5390131524295051,52,42,20.0,27
220054,1,0,3,53,0.40773865914380775,0.8076371800817357,0.2908019103796995,0.9710162930816705,107,v21,,0.0005120574143818123,-0.5694147304867996,168,115,15.0,54
220055,1,0,12,55,0.4761348921067394,0.6114268543711403,0.2308124847918099,0.8826429401720125,96,v21,,0.00033785718309741803,-0.6912024427421097,18,2,17.0,19
220056,1,0,8,54,0.19147336666166587,0.7303232161210177,0.19265048853109507,1.0,104,v21,,0.00031764001404835113,-0.4349161594699327,155,115,19.0,59
220057,1,0,4,49,0.22801533190642947,0.758791811375438,0.2559006741850268,0.8832688011414622,83,v21,,0.0009183815121984646,-0.7597247133403239,70,88,26.0,47
220058,1,0,17,101,0.2590391922827885,0.608374312419717,0.20969011582868685,0.7472648939283115,63,v21,,0.00030246291851103056,-0.5553078361361897,146,109,31.0,91
220059,1,0,15,85,0.2178430831276476,0.6441709467850772,0.1510425171462009,0.7917427565447699,87,v21,,0.000286283584391201,-0.5589388525411174,172,148,24.0,42
