seed,scenario,attempts,rejected,accepted,script_r2,n_event_days,depth,duration,rise,sd_x
240000,crash,1,0,True,0.018462591637578834,95,-0.49277191292853184,101.0,77.0,0.10874466183206498
240001,crash,1,0,True,0.04190128612564264,133,-0.4605410863280466,92.0,103.0,0.05907679303804516
240002,crash,1,0,True,0.0952402723436157,115,-0.5682233447218931,121.0,69.0,0.11163382142287903
240003,crash,1,0,True,0.11398668983518928,137,-0.3252539685709609,86.0,18.0,0.06071473304548903
240004,crash,1,0,True,0.04695669209100887,98,-0.49355726590793214,24.0,58.0,0.12181801127450205
240005,crash,1,0,True,0.2091594743791544,102,-0.6438651364450803,55.0,25.0,0.10690733385732029
240006,crash,1,0,True,0.053112581049607914,104,-0.6094777167382661,89.0,90.0,0.14898037111039047
240007,crash,1,0,True,0.10307738531495622,136,-0.35394055359864474,23.0,19.0,0.09627124172056863
240008,crash,1,0,True,0.04035925879785261,142,-0.5599215205750461,114.0,70.0,0.1516743289227311
240009,crash,2,1,True,0.07177375690629072,115,,,,0.137037515131627
240010,crash,1,0,True,0.04848976381261928,132,-0.5102598166659037,71.0,70.0,0.16956861149091187
240011,crash,1,0,True,0.13237006652490307,99,-0.5005919619414385,21.0,19.0,0.07830027466448314
240012,crash,1,0,True,0.01207059305840671,94,,,,0.20522636669693645
240013,crash,1,0,True,0.10754153860129392,133,-0.6218088977676977,98.0,94.0,0.1692747716453772
240014,crash,1,0,True,0.1108118005842659,125,-0.5648829902016388,113.0,114.0,0.11467573265039302
240015,crash,1,0,True,0.09733372817938478,146,-0.39935747657010134,48.0,23.0,0.10658306580696457
240016,crash,1,0,True,0.06909129261045746,92,,,,0.07341660097659343
240017,crash,2,1,True,0.09110922174599306,117,-0.6055247949963314,75.0,27.0,0.14672065282367577
240018,crash,1,0,True,0.05736865034811653,141,,,,0.06553624974275367
240019,crash,1,0,True,0.10793222399881264,104,-0.537978864847785,41.0,20.0,0.11302139825075354
240020,crash,1,0,True,0.14327899678234257,104,-0.5024299011043415,70.0,29.0,0.14238030083564635
240021,crash,1,0,True,0.08787036104692532,93,-0.5391486994877196,32.0,28.0,0.1562271463465881
240022,crash,1,0,True,0.04365652148751638,141,,,,0.1289089920609455
240023,crash,1,0,True,0.04345489646780527,114,-0.48553640286576627,102.0,110.0,0.0885030066943872
240024,crash,1,0,True,0.07154902672106535,150,-0.4174953923955699,37.0,22.0,0.07570988736122501
240025,crash,1,0,True,0.0801952463956169,126,-0.5906267582419024,117.0,109.0,0.09868420256040879
240026,crash,1,0,True,0.07427943078098909,94,,,,0.10437570975418543
240027,crash,1,0,True,0.03156597831247679,120,,,,0.12889770277405366
240028,crash,1,0,True,0.10325263469254845,127,-0.43993161021136884,72.0,68.0,0.09506632412757768
240029,crash,1,0,True,0.04010416013802919,139,-0.4721355176665485,91.0,121.0,0.11621176614999743
240030,crash,1,0,True,0.11373815211051379,144,-0.45594436087379175,93.0,101.0,0.09327644438798759
240031,crash,1,0,True,0.1263298954778595,95,-0.5458500492962575,63.0,41.0,0.17735349158062347
240032,crash,1,0,True,0.09021048276376004,94,,,,0.13908195842622897
240033,crash,1,0,True,0.08029996690056876,110,-0.5322598065551133,75.0,90.0,0.08865978197562126
240034,crash,1,0,True,0.09376936115818932,141,-0.5461757640993194,96.0,77.0,0.10769302068831027
240035,crash,1,0,True,0.015150384621162421,121,-0.5177660700098108,120.0,85.0,0.13506228272043616
240036,crash,1,0,True,0.048663041577979516,130,-0.6791813174467407,94.0,80.0,0.13565126848711825
240037,crash,1,0,True,0.09912083870446303,136,-0.49058492882351856,10.0,14.0,0.0970568618915307
240038,crash,1,0,True,0.2294172109104688,142,-0.5018239302324693,29.0,25.0,0.15773321202350468
240039,crash,1,0,True,0.0176689086556437,128,-0.5025401395266438,80.0,93.0,0.0745392774317629
240040,crash,1,0,True,0.0510291018680668,116,,,,0.10658737675947161
240041,crash,1,0,True,0.040202091040913726,143,,,,0.08407098295576661
240042,crash,1,0,True,0.07933265992052031,101,-0.4554571806457869,20.0,19.0,0.054734296496095604
