seed,scenario,attempts,rejected,accepted,script_r2,n_event_days,depth,duration,rise,sd_x
240000,crash,1,0,True,0.00012761278555850782,95,-0.5259864337254542,32.0,14.0,0.11888876413521132
240001,crash,1,0,True,0.0011743042008884007,133,-0.45265389675591683,63.0,103.0,0.06493983477482715
240002,crash,1,0,True,0.07358696550229248,115,-0.5492259779426106,121.0,69.0,0.10448839208101734
240003,crash,2,1,True,0.02049720047019088,138,-0.6468499871709072,68.0,49.0,0.23447003826654336
240004,crash,1,0,True,0.005250540681319406,98,-0.5152625446803614,27.0,56.0,0.15397573908470005
240005,crash,1,0,True,0.03223240035722575,102,-0.6822850238596032,55.0,25.0,0.13196047915566808
240006,crash,1,0,True,0.01321774882699076,104,-0.6443324954929978,90.0,91.0,0.1588534610910062
240007,crash,1,0,True,0.09087821810867149,136,-0.38204623480746724,23.0,19.0,0.1281787977606877
240008,crash,1,0,True,0.00045724130193577575,142,,,,0.20829132077386406
240009,crash,2,1,True,0.010546482745635057,115,,,,0.18062381121178747
240010,crash,1,0,True,0.003478203384987266,132,-0.5499156218764081,71.0,70.0,0.18231083971654977
240011,crash,1,0,True,0.13311705301592167,99,-0.5114071711258561,21.0,19.0,0.08632775254409145
240012,crash,1,0,True,4.681405193560467e-06,94,,,,0.21725262750900015
240013,crash,1,0,True,0.09041764979306631,133,-0.6433549491844878,99.0,94.0,0.19578286271747827
240014,crash,1,0,True,0.09646338666820024,125,-0.5860878920136612,113.0,114.0,0.12826356781340997
240015,crash,1,0,True,0.02779349067444126,146,-0.3587565091555157,48.0,16.0,0.09366372243787502
240016,crash,1,0,True,0.020900489539709365,92,,,,0.08080017805396413
240017,crash,2,1,True,0.05112485213204289,117,-0.5812425006821713,57.0,27.0,0.14807819285666976
240018,crash,1,0,True,0.0005229649522215897,141,,,,0.06208912760021299
240019,crash,1,0,True,0.02708487366796539,104,-0.5375013537630167,28.0,20.0,0.1252113279067952
240020,crash,1,0,True,0.14351464199785738,104,-0.5274326486838483,79.0,29.0,0.16224299698608796
240021,crash,1,0,True,0.058208022421603264,93,-0.5843739474047618,32.0,28.0,0.1818680602941435
240022,crash,1,0,True,0.008897374334362744,141,,,,0.13626319753007818
240023,crash,1,0,True,0.01463006802861051,114,-0.5047520991252943,102.0,110.0,0.135083658705452
240024,crash,1,0,True,0.0038167849163623317,150,-0.3877074945504808,46.0,22.0,0.0851773274651383
240025,crash,1,0,True,0.010336473914017225,126,-0.6221511972820364,117.0,109.0,0.1492616276377046
240026,crash,1,0,True,0.008895848855217312,94,-0.5526843870579883,123.0,114.0,0.09228952284946265
240027,crash,1,0,True,0.0018780446387454501,120,,,,0.13343512131182805
240028,crash,1,0,True,0.10318579585615,127,-0.4420680098010624,72.0,68.0,0.10485850921326319
240029,crash,3,1,True,0.003951108894733202,97,-0.7434908062766885,108.0,119.0,0.20894062658308812
