seed,topped_hazard,top_day,top_day_realised,top_day_offset,blowoff_days,mania_days,cap_binding_share,attempts,rejected,peak_pv,schedule_mode,kappa,rv_calm,rv_mania,n_mania,rv_blow-off,n_blow-off,rv_post-top,n_post-top,post_top_drop,topped_panel_rule
280000,False,,,,48,107,0.3925233644859813,1,0,1.4754174755689657,v21,0.027854330240449206,0.000593517915137469,0.0003602204938113849,59,0.0002200827461459489,48.0,,,,
280001,True,179.0,183.0,4.0,63,106,0.5471698113207547,1,0,1.5300177432269926,v21,0.03791503281855921,0.0003853165005444539,0.00031867621329560193,43,0.0005553344807866607,63.0,0.0003867791508038567,21.0,-0.15103334936855184,False
280002,False,,,,86,140,0.5714285714285714,1,0,1.4406707396358138,v21,0.03030881733512711,0.0004873326684393938,0.0004407895659659492,54,0.0007384490844185365,86.0,,,,
280003,False,,,,69,111,0.5855855855855856,1,0,1.3830880701686477,v21,0.03935459345003183,0.000409635334363626,0.0004919223364424101,42,0.0003248367609086924,69.0,,,,
280004,True,153.0,143.0,-10.0,24,75,0.25333333333333335,2,1,1.614496388780586,v21,0.03237745507976899,0.0013348252453829895,0.0014988794738252618,51,0.0009189501926413447,24.0,0.0003052320336068227,47.0,-0.2770301614902628,False
280005,False,,,,58,122,0.4180327868852459,1,0,1.5702273225422052,v21,0.025440704558300532,0.0003143978461006527,0.0006041352369710692,64,0.0008607567568145791,58.0,,,,
280006,False,,,,46,112,0.3482142857142857,1,0,1.6321092576215122,v21,0.02457035303539652,0.0007876197202932761,0.0008239697610164965,66,0.0006239369613094903,46.0,,,,
280007,False,,,,44,92,0.42391304347826086,1,0,1.3552814009190313,v21,0.03419139942134043,0.0003722151683971632,0.0005337482161078944,48,0.0004585784459952408,44.0,,,,
280008,False,,,,47,127,0.2992125984251969,1,0,1.4309886798640723,v21,0.020164272570328188,0.0003274792383385179,0.0006269747136679177,80,0.0008363174665074714,47.0,,,,
280009,False,,,,82,140,0.5428571428571428,1,0,1.589802123249549,v21,0.02798872935219133,0.0002012895410332865,0.00041014394391400714,58,0.0005009444892728193,82.0,,,,
280010,False,,,,100,148,0.6418918918918919,1,0,1.5792620638547241,v21,0.03413843816585592,0.0004269959548226449,0.0003694009025091776,48,0.0006571187041301657,100.0,,,,
280011,False,,,,85,131,0.6106870229007634,1,0,1.6616442295301597,v21,0.035643244474834926,0.002931827085716276,0.0005751952981077912,46,0.0003243185699736876,85.0,,,,
280012,True,160.0,161.0,1.0,44,87,0.45977011494252873,1,0,1.4766976664819549,v21,0.03835548830506043,0.00028623083100648775,0.00030436747284667956,43,0.0004643093946164431,44.0,0.00030411929716412197,40.0,-0.27998116274808504,False
280013,False,,,,70,145,0.42758620689655175,1,0,1.4836276102427017,v21,0.021697230511379534,0.0002956827832414101,0.00044526590786082425,75,0.00036992499435932675,70.0,,,,
280014,False,,,,82,133,0.5789473684210527,1,0,1.591182726850562,v21,0.03225799895744659,0.0003132186628184582,0.0005268679545733444,51,0.0006263843759318924,82.0,,,,
280015,False,,,,35,90,0.32222222222222224,1,0,1.4095631174296592,v21,0.029613763683769653,0.00029612862947757076,0.00034866197320393736,55,0.000634370416485771,35.0,,,,
280016,False,,,,59,134,0.373134328358209,1,0,1.5532397068454369,v21,0.021543203566779665,0.0003305164679745714,0.0003882993801053031,75,0.0007972533769809453,59.0,,,,
280017,False,,,,34,92,0.30434782608695654,2,1,1.3729310131667378,v21,0.027969283187491704,0.0003683835414631906,0.00040968497856067504,58,0.0006106898623445519,34.0,,,,
280018,False,,,,61,125,0.432,1,0,1.5892094304058169,v21,0.02543059876990485,0.0006855081764221162,0.0006906103018658302,64,0.0006857857104729941,61.0,,,,
280019,False,,,,73,139,0.4748201438848921,1,0,1.4924454280386292,v21,0.02475179690825986,0.0006560748087794734,0.0005591320623495347,66,0.0006465707147295964,73.0,,,,
280020,False,,,,58,132,0.3787878787878788,1,0,1.6411321256973992,v21,0.021937572762938208,0.0003403129647347099,0.00038185638307786877,74,0.00101056584007999,58.0,,,,
280021,False,,,,65,115,0.5217391304347826,1,0,1.5684185888408617,v21,0.03300725894419147,0.000322077163689737,0.0004977688602940319,50,0.000503096023058481,65.0,,,,
280022,False,,,,26,96,0.1875,1,0,1.4352520777476752,v21,0.023127165112729837,0.0005437352883982495,0.00036914142814594786,70,0.00021403201961677838,26.0,,,,
280023,False,,,,94,138,0.6521739130434783,2,1,1.4634248360508864,v21,0.03758375657379004,0.0003699077944318624,0.0003532072572128483,44,0.0004603809436502105,94.0,,,,
280024,False,,,,86,133,0.6090225563909775,1,0,1.5369826516661442,v21,0.03474888890241757,0.0003424189445034899,0.000473932163234345,47,0.0002404059188973114,86.0,,,,
280025,False,,,,81,131,0.5801526717557252,2,1,1.5297952536649055,v21,0.03258384592831723,0.00028812492874854303,0.0007722325368226387,50,0.0003322962325589259,81.0,,,,
280026,False,,,,30,100,0.23,2,1,1.5035584951275272,v21,0.02324946004301886,0.00031253274284275283,0.000664449438461246,70,0.0018890997233284123,30.0,,,,
280027,False,,,,50,93,0.4838709677419355,3,1,1.4859710049725932,v21,0.0378614130867429,0.0004371001401470016,0.000617778160358337,43,0.0006293371427681368,50.0,,,,
280028,False,,,,43,106,0.33962264150943394,1,0,1.3582251677490471,v21,0.025835036602364466,0.0004414186722762075,0.0005324102546594709,63,0.0005819654191609815,43.0,,,,
280029,False,,,,57,101,0.5148514851485149,1,0,1.3887005646891448,v21,0.037078060133251066,0.0005325879153834852,0.0006471123265786282,44,0.0007665536648698199,57.0,,,,
280030,True,200.0,176.0,-24.0,70,111,0.5945945945945946,1,0,1.6252646266488178,v21,0.03979794560861401,0.0004518800186098619,0.00032873054000610586,41,0.0005409527537442814,70.0,,,-0.06288514686446844,False
280031,False,,,,88,136,0.6102941176470589,1,0,1.6677315439138922,v21,0.034371580723200755,0.00042755466395107583,0.0005456293239415404,48,0.0006862898188493958,88.0,,,,
