seed,det_len,panic_len,front_load,delta,D_V,setup_len,schedule_mode,rejected,depth,duration,rise,onset_lag_before_event
281000,4,73,0.25711873252169165,0.8679879851036988,0.21449301199509707,70,v21,0,-0.46722522373438846,78.0,23.0,0.0
281001,3,25,0.2302705158823728,0.9450029960291251,0.273973454597624,77,v21,0,-0.5788260596181904,125.0,72.0,52.0
281002,16,18,0.17234277819989316,0.8020626099082876,0.2101768421791626,110,v21,0,-0.4888851116327727,92.0,81.0,-4.0
281003,11,55,0.10701615947033152,0.7371662257214359,0.15598054224934182,70,v21,0,,,,
281004,9,50,0.42956290915351375,0.7818510039947851,0.14070543471374625,62,v21,0,-0.47737760612455726,64.0,50.0,-2.0
281005,20,48,0.33457877069573483,0.7000306300549045,0.16040196586259264,105,v21,0,,,,
281006,15,42,0.46072196794138454,0.7130683290407213,0.14276311134220188,88,v21,0,-0.6317852081274427,101.0,78.0,-6.0
281007,11,49,0.3897169627209103,0.6179405050801603,0.2269567095693332,88,v21,1,-0.6679527130663012,45.0,40.0,-3.0
281008,6,34,0.24237309999021472,0.9332782422630904,0.27821282150548504,83,v21,0,-0.5778499005262201,57.0,36.0,16.0
281009,7,18,0.4622480769759789,0.6907792816730084,0.10501526652450018,108,v21,0,,,,
281010,7,42,0.5659332335264016,0.7612181263029152,0.1557499866171565,57,v21,1,-0.4829197778371026,26.0,61.0,-14.0
281011,14,46,0.15405039578253304,0.9108133998181993,0.2443498497389996,88,v21,0,-0.4230663540197678,115.0,110.0,72.0
281012,25,92,0.32074418703246854,0.6475549103543563,0.24100120727006435,62,v21,0,-0.5402749436897667,108.0,129.0,43.0
281013,7,80,0.4048405040380426,0.9446221777111715,0.278596144817837,103,v21,0,-0.44389891426599004,32.0,36.0,11.0
281014,4,42,0.23835701270612006,0.8057925716041188,0.16620451816706522,92,v21,0,-0.4635674227820511,37.0,11.0,-12.0
281015,7,19,0.3379129634479284,0.8315911161631543,0.290918098642754,62,v21,0,-0.5233045535778269,40.0,38.0,13.0
281016,5,17,0.13020217127179579,0.7188614776106835,0.24283073766679555,87,v21,0,-0.4150644063043073,98.0,110.0,-1.0
281017,5,17,0.5413512516376504,0.8662436872651514,0.22207607869600274,86,v21,0,-0.4554200318628856,65.0,107.0,27.0
281018,8,17,0.1744824186563554,0.9272688715673458,0.2827513173568035,94,v21,0,,,,
281019,5,55,0.38468605201008765,0.7056533164391255,0.18573813242466924,85,v21,0,-0.45069377096144114,86.0,63.0,0.0
281020,8,36,0.3407362244082348,0.742471106201737,0.10138452238116953,97,v21,0,-0.49661839874917013,109.0,87.0,60.0
281021,3,80,0.24069439752194674,0.8755139831396977,0.2142612193238595,70,v21,0,-0.4356094137025125,23.0,20.0,0.0
281022,15,35,0.28201673220269863,0.5928317149248954,0.1479873992011935,50,v21,0,-0.49671302019929187,77.0,53.0,13.0
281023,22,31,0.17455300906353416,0.9441120333933082,0.29073279964200405,63,v21,0,-0.561600410324421,58.0,53.0,12.0
281024,7,16,0.3121417398345096,0.7862150356096871,0.20455481770566097,96,v21,0,-0.6155071961562482,35.0,27.0,4.0
281025,16,74,0.13088161516431554,0.9534994800194759,0.2842685817084719,100,v21,0,,,,
281026,8,73,0.31036434900630355,0.7676972771536821,0.13659666122077868,54,v21,0,-0.5376042192292375,63.0,20.0,-8.0
281027,6,20,0.3821275196419929,0.8071220042545005,0.24313974543584338,80,v21,0,-0.5016951100455489,101.0,65.0,44.0
281028,15,47,0.386479007566207,0.7464619890556792,0.11323088630052276,75,v21,0,-0.5347726607287989,79.0,66.0,19.0
281029,3,44,0.38207952943576534,0.9247243802985539,0.2859890040229641,67,v21,0,-0.6260995697134748,85.0,22.0,1.0
281030,13,70,0.2743179116469516,0.8245021629899514,0.21339321454455767,98,v21,0,-0.6975015428956259,97.0,96.0,36.0
281031,5,37,0.11808134726479338,0.7039456990119896,0.11645034625282867,78,v21,0,-0.45957823396743647,37.0,31.0,-4.0
281032,4,21,0.3252218798811087,0.6779940092050567,0.27671523305906554,63,v21,0,-0.602787061415955,80.0,72.0,52.0
281033,6,31,0.18314832295059277,0.6148030500770735,0.1464683043227039,107,v21,0,-0.6173071352698702,40.0,49.0,-4.0
281034,7,17,0.41390290575177635,0.8031561333239896,0.15058585852029416,61,v21,0,,,,
281035,5,18,0.26759653909380465,0.7594975569457696,0.1848279969357255,107,v21,0,-0.48104565709597713,24.0,19.0,-1.0
281036,5,16,0.4114954849020088,0.6080275689976667,0.16629927620869112,85,v21,0,-0.589082443453179,90.0,80.0,59.0
281037,7,92,0.10820867787759383,0.8475469140707895,0.22500262408433083,59,v21,0,-0.5700797493936556,117.0,129.0,32.0
281038,19,63,0.16244900670576762,0.6471906215671627,0.24221572027861146,78,v21,0,-0.6127626996637691,85.0,67.0,-5.0
281039,14,24,0.14723919178249212,0.8995897401755474,0.26049510807319454,72,v21,0,-0.36990264648539306,21.0,32.0,-1.0
281040,4,16,0.4738844526133352,0.6185964772324083,0.1825727573533173,106,v21,0,-0.6242600222935224,99.0,79.0,62.0
281041,19,70,0.1064669957896119,0.6655144695486145,0.23914833430277718,88,v21,0,-0.5060869788113671,116.0,91.0,11.0
281042,6,32,0.44402628576946446,0.7847979667839742,0.184802980011744,60,v21,0,-0.39912388653990083,68.0,48.0,21.0
281043,10,45,0.15062983771329463,0.7562902502032838,0.13368395428383098,67,v21,0,-0.5115071566140572,72.0,37.0,7.0
