ticker,n_quarters,rho_q,sd_within,mean_log_pe
A,60,0.8637519975304504,0.6136736688703148,3.238863796504053
AAPL,59,1.0047871171038365,1.5978371911549418,1.2122759324039802
ABT,59,0.9083106036011297,0.9019125236634777,3.12586658844999
ACGL,55,0.8305594167298221,0.6340071096011946,1.7847812221996313
ADBE,59,0.9242902754761732,0.5327103719326717,3.8265950689483006
ADI,59,0.974506671754833,0.48076984930869193,3.1312307960269847
ADM,59,0.8229315499418118,0.2764145029737136,2.3867472666226903
ADP,57,0.9279770490995847,0.3050374402497046,3.0919268108241473
ADSK,22,0.659185488270814,0.6679959929336896,4.418177836111429
AEE,28,0.3553477126966677,0.11009977000469368,2.9059746165721814
AEP,59,0.8265563727812166,0.4452659113050214,2.5833504128159026
AFL,59,0.9287864739665969,0.4517971026317057,1.6528817994835927
AJG,55,0.9801611792884328,0.35302156126488576,3.166124704933826
AKAM,55,0.696117723704468,0.23018270155317375,3.4979128905860675
ALB,53,0.6856231583373689,0.8419438300260105,3.0071784247447004
ALK,38,0.8505567118397523,0.7605649872207652,2.0454762150708494
ALL,47,0.49494389942486733,0.40415791851330146,2.32939723733966
AMAT,24,0.639255408113351,0.3069435780544391,2.874534945492552
AMD,22,0.6696215037184811,0.8329991946982598,4.4405447998404695
AME,59,0.8923642503867705,0.36787065046830425,3.0409905040940868
AMG,32,0.810489419947044,0.45513255315497964,3.122177320659784
AMGN,59,0.7967309630721457,0.4717563878132216,2.721921111883596
AMT,59,0.5838369765275258,0.2615013496863023,3.8261424639348296
AMZN,29,0.7779627252066902,0.7097473258521967,1.8372693210769735
AN,55,0.7540747946763217,0.4542292560746091,2.4475067382152993
AON,59,0.7813658208415585,0.34652161907557316,3.147194809000538
AOS,55,0.9307480023261749,0.8929234892253907,2.5428123233265465
APD,59,0.7542814589535684,0.44707501500501107,2.9116571301679985
APH,59,1.0076668841323202,0.7373239467488389,1.6939384476425106
ARE,55,0.6109169029503265,0.4816291626242643,3.7929286002041764
ATO,31,0.8455494097720165,0.312106638330613,2.6703691776564167
AVY,55,0.7655723037929296,0.3438530114614582,2.9703861660912985
AXP,59,0.7952449229110035,0.3078975986988835,2.723146351951266
AZO,59,0.5054940388397643,0.1298440034702362,2.8797459924038775
BA,39,0.6939568526711075,0.4844083333940578,2.968061752697924
BAC,50,0.750287853674227,0.42558401882642055,2.525301165628361
BALL,55,0.8598370314288557,0.8249742667461187,2.7919106131142164
BAX,50,0.9065195349962314,0.780348246698172,2.610511433315494
BBWI,39,0.8081106176375439,6.251461781427207,-3.4528622567084892
BBY,58,0.7366073883663197,0.5026109369918556,2.3337092688852534
BC,32,0.6854354433572287,0.6708489294562914,2.8667723783445256
BDX,26,0.47984871380289806,0.5010950007594103,3.756775834357109
BEN,60,0.753108760797801,0.8972028934421188,2.0701111725539474
BF-B,56,0.9462878696374546,0.7797827770152983,2.7471654969846306
BIIB,59,0.8837260366034266,0.41914939093211273,2.9650073230885132
BIO,44,0.8657553946815578,1.2369537651675668,3.1593645473916196
BKNG,56,0.6404750578782857,0.7607719985980713,0.3590968773293542
BKR,25,0.9292559195335649,0.4656627704792721,4.530046201224736
BLK,59,0.8599537487895604,0.24681721208811117,2.6910515598521005
BMY,41,0.7534893269111904,0.7422817398198887,3.0388349474017984
BRK-B,56,0.9949194143094818,0.3866077356791731,-4.09361176194257
BRO,55,0.9667359936348351,0.502795566469835,2.822745516369369
BWA,59,0.7672556782936903,0.536948023737108,2.407198999579554
BXP,36,0.7818812851189754,0.40051051861857306,3.154378567885899
C,30,0.6902212316864718,1.0572391638105039,2.642843633980946
CAG,33,0.5225442052911083,0.31785882824182526,2.6883473887567724
CAH,38,0.7866834907669964,0.46923238784305266,2.6013536465793976
CB,56,0.7357106121316505,0.3197654862224068,2.432777176750142
CCI,52,0.8281303729778452,0.5988108186303991,3.9302544114196296
CCK,43,0.5525185059985018,0.24086228395035977,2.747021144938767
CCL,21,0.7075250257883621,0.49033894841913056,2.5760965796137603
CDNS,55,0.8404905198284313,0.613978450567275,3.6071316687899997
CHD,55,0.9115509801998989,0.618628251053816,2.864297776274087
CHRW,59,0.9008830492184082,0.2757475676505237,2.8644583270342627
CI,24,0.8774201325512767,0.3169462142912233,2.6187345406897022
CIEN,24,1.0012569319474889,0.4929324210505323,3.401147348866035
CINF,46,0.1987800238202602,0.5851773860898203,2.6008406668477426
CL,59,0.9452794969841544,0.5735355884010306,2.911633304412419
CLX,59,0.8812678701245573,0.7348740756143828,3.0875789351593346
CMCSA,59,0.8140575161617942,0.4631716297280349,2.1524791808966897
CMI,59,0.6775650975991742,0.3673650426126434,2.535182268893386
CMS,52,0.8075254254325326,0.2600578313222257,2.7657942042888797
CNP,22,0.7472514287740232,0.5939496796410659,2.324819309661429
COF,41,0.48850540652842867,0.4290942321169076,2.14835781906972
COO,55,0.8583969182369507,0.6901277392500791,2.115103760434183
COP,22,1.1244286736678462,0.3596286120640454,1.7510679560146643
COR,20,1.5901683645232099,1.033692428115367,2.947910779558647
COST,59,0.9806709645627113,0.3209043553266539,3.3072686587516573
CPB,35,0.8936341284248072,0.4531980616799052,2.611785309168555
CPRT,55,0.9818062149161889,1.030924975510359,1.6853385358846669
CPT,53,0.6492046088373563,0.8560766259309514,3.2407321116359618
CSCO,31,0.9085053952236564,0.17499021925507813,2.3295071394372497
CSGP,24,0.9544588915478912,0.6127111563839879,2.441554977663505
