Date,A,AAPL,ABT,ACGL,ADBE,ADI,ADM,ADP,ADSK,AEE,AEP,AES,AFL,AIG,AIV,AJG,AKAM,ALB,ALK,ALL,AMAT,AMD,AME,AMG,AMGN,AMT,AMZN,AN,ANF,AON,AOS,APA,APD,APH,ARE,ASH,ATI,ATO,AVY,AXP,AZO,BA,BAC,BALL,BAX,BBWI,BBY,BC,BDX,BEN,BF-B,BIIB,BIO,BKNG,BKR,BLK,BMY,BRK-B,BRO,BSX,BWA,BXP,C,CAG,CAH,CB,CCI,CCK,CCL,CDNS,CHD,CHRW,CI,CIEN,CINF,CL,CLF,CLX,CMCSA,CMI,CMS,CNP,CNX,COF,COO,COP,COR,COST,CPB,CPRT,CPT,CSCO,CSGP,CSR,CSX,CTAS,CTSH,CVS,CVX,D,DD,DDS,DE,DECK,DGX,DHI,DHR,DIS,DLTR,DLX,DOC,DOV,DRI,DTE,DUK,DVA,DVN,DXC,EBAY,ECL,ED,EFX,EG,EIX,EL,EMN,EMR,EOG,EQT,ES,ESS,ETN,ETR,EVRG,EXC,EXPD,F,FAST,FCX,FDS,FDX,FE,FFIV,FHN,FICO,FISV,FITB,FLS,FMC,FOSL,FRT,GD,GE,GEN,GHC,GILD,GIS,GL,GLW,GPC,GS,GT,GWW,HAL,HAS,HBAN,HD,HOG,HON,HP,HPQ,HRB,HRL,HSIC,HST,HUBB,HUM,IBM,IDXX,IEX,IFF,INCY,INTC,INTU,IP,IRM,IT,ITT,ITW,IVZ,J,JBHT,JBL,JCI,JEF,JKHY,JNJ,JPM,KBH,KEY,KIM,KLAC,KMB,KMX,KO,KR,KSS,L,LEG,LEN,LH,LHX,LII,LIN,LLY,LMT,LNC,LNT,LOW,LPX,LRCX,LUMN,LUV,M,MAA,MAC,MAR,MAS,MAT,MBI,MCD,MCHP,MCK,MCO,MDT,MGM,MHK,MKC,MLM,MMM,MNST,MO,MOS,MRK,MS,MSFT,MSI,MTB,MTCH,MTD,MTG,MTW,MU,MUR,NBR,NC,NDSN,NEE,NEM,NI,NKE,NOC,NOV,NSC,NTAP,NTRS,NUE,NVDA,NVR,NWL,NYT,O,ODFL,OI,OKE,OMC,ORCL,ORLY,OXY,PAYX,PBI,PCAR,PCG,PEG,PENN,PEP,PFE,PG,PGR,PH,PHM,PLD,PNC,PNR,PNW,POOL,PPG,PPL,PRGO,PSA,PTC,PVH,PWR,QCOM,R,RCL,REG,REGN,RF,RHI,RIG,RJF,RL,RMD,ROK,ROL,ROP,ROST,RRC,RSG,RTX,RVTY,SANM,SBAC,SBUX,SCHW,SCI,SHW,SIG,SJM,SLB,SLG,SLM,SNA,SNPS,SO,SPG,SPGI,SRE,SSP,STE,STLD,STT,SWK,SWKS,SYK,SYY,T,TAP,TDY,TECH,TER,TEX,TFC,TFX,TGT,THC,TJX,TKR,TMO,TPL,TRMB,TROW,TRV,TSCO,TT,TTWO,TXN,TXT,TYL,UDR,UHS,UIS,UNH,UNM,UNP,UPS,URBN,URI,USB,VFC,VIAV,VLO,VMC,VNO,VRSN,VRTX,VTR,VTRS,VZ,WAB,WAT,WDC,WEC,WELL,WEN,WFC,WHR,WM,WMT,WOR,WRB,WST,WY,XEL,XOM,XRAY,XRX,YUM,ZBRA,ZION
2009-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1228228226686134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.269727716079125,,,,5.2650195673892375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.954627690795598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,,,,,,,,,50.81999969482422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2967364910321357,,,,5.194182144968133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.34221077433968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-31,,,,,,,,,47.58000183105469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1461773743996253,,,,4.865624277215256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.016730868552767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.52090901814535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.330134465144231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-28,,,,,,,,,55.7599983215332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.370343962712074,3.6784368176614084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4164428269735856,,,,7.115176965981836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5347961241385,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.358332768382642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.567577688103048,15.639654604974622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.536160395695613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.11416188076403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-31,50.523199037063954,,,,,,,,,,,,,,,,,,,,520.0067996978762,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.502812172049905,4.018374412290512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5191090064540873,,,,7.462569697274908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.50618535822088,5.597806048897458,,,,,,,,,,,,,,,4.059165533334931,,,,,,,,,,,,,6.915236479483995,4.359026287877282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.875204493856838,17.376807207118965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.203624052159928,,,12.989958594827092,,,,,,,,7.534967569204477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.653518631613466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
