ticker,end,filing_lag_cal,ann_lag_cal
A,2008-07-31,431,14.0
A,2009-01-31,403,17.0
A,2009-04-30,403,14.0
A,2009-07-31,66,17.0
A,2009-10-31,51,13.0
A,2010-01-31,38,12.0
A,2010-04-30,38,17.0
A,2010-07-31,67,16.0
A,2010-10-31,50,12.0
A,2011-01-31,37,14.0
A,2011-04-30,38,13.0
A,2011-07-31,38,15.0
A,2011-10-31,46,15.0
A,2012-01-31,34,15.0
A,2012-04-30,35,14.0
A,2012-07-31,36,15.0
A,2012-10-31,50,19.0
A,2013-01-31,34,14.0
A,2013-04-30,34,14.0
A,2013-07-31,37,14.0
A,2013-10-31,49,14.0
A,2014-01-31,33,13.0
A,2014-04-30,35,14.0
A,2014-07-31,33,14.0
A,2014-10-31,52,17.0
A,2015-01-31,38,17.0
A,2015-04-30,36,18.0
A,2015-07-31,33,17.0
A,2015-10-31,51,16.0
A,2016-01-31,37,16.0
A,2016-04-30,38,16.0
A,2016-07-31,38,17.0
A,2016-10-31,50,15.0
A,2017-01-31,36,14.0
A,2017-04-30,37,22.0
A,2017-07-31,37,15.0
A,2017-10-31,51,20.0
A,2018-01-31,34,14.0
A,2018-04-30,31,14.0
A,2018-07-31,30,14.0
A,2018-10-31,50,19.0
A,2019-01-31,33,20.0
A,2019-04-30,30,14.0
A,2019-07-31,30,14.0
A,2019-10-31,49,25.0
A,2020-01-31,32,18.0
A,2020-04-30,32,21.0
A,2020-07-31,32,18.0
A,2020-10-31,48,23.0
A,2021-01-31,30,16.0
A,2021-04-30,32,25.0
A,2021-07-31,32,17.0
A,2021-10-31,47,22.0
A,2022-01-31,31,22.0
A,2022-04-30,31,24.0
A,2022-07-31,32,16.0
A,2022-10-31,51,21.0
A,2023-01-31,31,28.0
A,2023-04-30,26,23.0
A,2023-07-31,31,15.0
A,2023-10-31,50,20.0
A,2024-01-31,34,27.0
A,2024-04-30,34,29.0
A,2024-07-31,30,21.0
A,2024-10-31,50,25.0
A,2025-01-31,31,26.0
A,2025-04-30,33,28.0
A,2025-07-31,29,27.0
A,2025-10-31,52,24.0
A,2026-01-31,31,25.0
A,2026-04-30,32,27.0
AAPL,2008-06-28,389,23.0
AAPL,2008-12-27,394,25.0
AAPL,2009-03-28,389,25.0
AAPL,2009-06-27,25,24.0
AAPL,2009-09-26,396,23.0
AAPL,2009-12-26,30,30.0
AAPL,2010-03-27,25,24.0
AAPL,2010-06-26,25,24.0
AAPL,2010-09-25,32,23.0
AAPL,2010-12-25,25,24.0
AAPL,2011-03-26,26,25.0
AAPL,2011-06-25,25,24.0
AAPL,2011-09-24,32,24.0
AAPL,2011-12-31,25,24.0
AAPL,2012-03-31,25,24.0
AAPL,2012-06-30,25,24.0
AAPL,2012-09-29,32,26.0
AAPL,2012-12-29,26,25.0
AAPL,2013-03-30,25,24.0
AAPL,2013-06-29,25,24.0
AAPL,2013-09-28,32,30.0
AAPL,2013-12-28,31,30.0
AAPL,2014-03-29,26,25.0
AAPL,2014-06-28,25,24.0
AAPL,2014-09-27,30,23.0
AAPL,2014-12-27,32,31.0
AAPL,2015-03-28,31,30.0
AAPL,2015-06-27,25,24.0
AAPL,2015-09-26,32,31.0
AAPL,2015-12-26,32,31.0
AAPL,2016-03-26,32,31.0
AAPL,2016-06-25,32,31.0
AAPL,2016-09-24,32,31.0
AAPL,2016-12-31,32,31.0
AAPL,2017-04-01,32,31.0
AAPL,2017-07-01,32,31.0
AAPL,2017-09-30,34,33.0
AAPL,2017-12-30,34,33.0
AAPL,2018-03-31,32,31.0
AAPL,2018-06-30,32,31.0
AAPL,2018-09-29,37,33.0
AAPL,2018-12-29,32,4.0
AAPL,2019-03-30,32,31.0
AAPL,2019-06-29,32,31.0
AAPL,2019-09-28,33,32.0
AAPL,2019-12-28,32,31.0
AAPL,2020-03-28,34,33.0
AAPL,2020-06-27,34,33.0
AAPL,2020-09-26,34,33.0
AAPL,2020-12-26,33,32.0
AAPL,2021-03-27,33,32.0
AAPL,2021-06-26,32,31.0
AAPL,2021-09-25,34,33.0
AAPL,2021-12-25,34,33.0
AAPL,2022-03-26,34,33.0
AAPL,2022-06-25,34,33.0
AAPL,2022-09-24,34,33.0
AAPL,2022-12-31,34,33.0
AAPL,2023-04-01,34,33.0
AAPL,2023-07-01,34,33.0
AAPL,2023-09-30,34,33.0
AAPL,2023-12-30,34,33.0
