n,rho_v,beta_absr,sd_e,rho_v_B,beta_absr_B,beta_ru,sd_e_B,sd_lv,ticker
6037,0.5096449054803849,0.19875902202816736,0.3285806884133698,0.5096698673406718,0.19920327867856896,0.023479839870664605,0.3284202192122213,0.42960591732011066,A
6037,0.5796001878892597,0.23101614742719317,0.2709999046111045,0.5783356524558957,0.23092083169035893,0.019205104335348524,0.27041342204359214,0.4204986344636327,AAPL
6037,0.5311155342762804,0.18524520736317368,0.2855398742346796,0.5246813097560913,0.18515324449084536,-0.11341092762544595,0.2846726671677801,0.39075875007069877,ABT
6024,0.5476718292924704,0.1339859258137095,0.5120800159900977,0.5400476064629448,0.1365309887002796,0.1560459580532505,0.5111882618283574,0.6302041467782338,ACGL
6037,0.5377719528091865,0.24195636374441662,0.29971420530054266,0.5371834052499177,0.24185843479549618,-0.020105070853418863,0.2997785971534044,0.4479229403012158,ADBE
6037,0.47989384160342136,0.2084634226829999,0.3049484870071312,0.47895772417010335,0.20804080164219316,-0.02768496190267965,0.3049107948387345,0.3984523092138815,ADI
6037,0.5294305762605442,0.17462930187357492,0.308742611739857,0.5273480792533992,0.1747073401311459,0.052707860525819696,0.3085635385846643,0.4151623596803727,ADM
6037,0.488484849722048,0.1761846561456856,0.3044568664277095,0.48561219344776285,0.1762828177711972,-0.08861417737234804,0.30399738632568934,0.39730776304356796,ADP
6037,0.5017727655286877,0.2560337855383188,0.3488707449558446,0.5013698724574245,0.2558059683843097,-0.012314957617872479,0.3489051358879464,0.48097604910359976,ADSK
6037,0.5075822284143066,0.13069883528357845,0.3379281519784306,0.5075833473411031,0.13074543073022174,0.00803720109277547,0.3379882528621836,0.41891430979072397,AEE
6037,0.531082442218065,0.1564402375406914,0.31869837435813747,0.530400970331614,0.15639181002226984,-0.04029101596923217,0.31841874492261146,0.41970016677455546,AEP
6037,0.5227654363018808,0.16956863182244883,0.341825592643278,0.5228623161054945,0.16969718498592862,0.00331750008881182,0.34187653916114535,0.4492746041660188,AES
6037,0.5254461534663926,0.17898605958660346,0.30425177098430717,0.5191888225477574,0.17811506814781553,-0.08906901897595826,0.3035388276953581,0.42125270023197176,AFL
6037,0.7167959423623812,0.18171267681942507,0.3356659006626831,0.7169066785515086,0.18181539424731094,0.006169603005598258,0.3357300113555528,0.576768860787334,AIG
6037,0.5763527900635318,0.15905780511027173,0.4006534405301806,0.5583273590905298,0.1577234449064809,-0.1674435617946603,0.39750349296367493,0.5331548588702755,AIV
6037,0.5241416161416059,0.16415811780961514,0.36889104357788377,0.5241418605701039,0.1641593066725753,0.0002873309364885657,0.36892317148522213,0.474630759215526,AJG
6037,0.5760006681114643,0.2678993826772496,0.37171779932219906,0.5530473504622204,0.2731571338215078,0.11128703996388362,0.36598130180607324,0.5538234555161677,AKAM
6037,0.5416489998103907,0.22542627250175548,0.3752492918040621,0.5396407331230931,0.22666021855598667,0.056627582875121804,0.3755073661257645,0.5066031353030348,ALB
6037,0.5487757288397025,0.20694479830396348,0.35045043840741075,0.5471927471565189,0.20665333258511281,-0.037721481304352156,0.35006036276572644,0.4791472578722066,ALK
6037,0.4751649014062155,0.1759125577540653,0.2953308457731945,0.47172907130111474,0.17562930131042961,-0.06391354745500807,0.2950867857625435,0.3857688681932808,ALL
6037,0.48226865804458013,0.21377705444820727,0.28363266221339095,0.4816133319326448,0.21362453599147208,-0.017692101162721026,0.28379337591822645,0.37488341124623276,AMAT
6035,0.6362481294684449,0.25627562540458354,0.3233582878964825,0.6121752454178122,0.26102630897170664,0.10318294451914817,0.31912063521444195,0.5121717783516649,AMD
6037,0.5093708709393927,0.16047437426866093,0.3698811986591716,0.5091103093945919,0.1607681632436341,0.024676914235764194,0.36997156369964207,0.4672441081602743,AME
6037,0.4905027037458789,0.20843875881530124,0.3908445358599427,0.4846650761768015,0.20724261290858773,-0.08493087421244072,0.38982054263952737,0.5015312921343628,AMG
