[state] events_json=True | control=A | dynamics=A | blowoff=dynamic | post_top=decay/40.0 | randomise_eps_quarter=True | depth_mode=centred | volatility_json=True | iv=v21 | observables_json=False | observables=absent (v2 constants)
[panel] docs\env_v2\generated\v2_1\_panels\sep_phase4_after.pkl: 320000 rows -> 288000 modelled, 1600 paths; shown 18 fields; groups ['LEVELS', 'VAL', 'ANALYST', 'SENT', 'VOL', 'IV']; BASE 45 cols, FULL 135
[fits] 70 jobs on 3 workers
    FULL           x     all   R2 +0.8052  (473.6 s)
    FULL           x     calm  R2 +0.4910  (275.7 s)
    FULL           logV  all   R2 +0.5949  (482.7 s)
    FULL           logV  calm  R2 +0.5953  (242.7 s)
    FULL           macro all   R2 +0.7632  (733.2 s)
    FULL-ANALYST   x     all   R2 +0.7502  (267.1 s)
    FULL-ANALYST   x     calm  R2 +0.4294  (150.9 s)
    FULL-ANALYST   logV  all   R2 +0.5779  (259.4 s)
    FULL-ANALYST   logV  calm  R2 +0.5811  (140.5 s)
    FULL-IV        x     all   R2 +0.7974  (273.1 s)
    FULL-IV        x     calm  R2 +0.4848  (178.7 s)
    FULL-IV        logV  all   R2 +0.5912  (255.2 s)
    FULL-IV        logV  calm  R2 +0.5951  (122.5 s)
    FULL-ANALYST   macro all   R2 +0.7548  (1294.4 s)
    FULL-IV        macro all   R2 +0.7574  (1324.1 s)
    FULL-VOL       x     all   R2 +0.7206  (545.7 s)
    FULL-VOL       x     calm  R2 +0.4677  (189.3 s)
    FULL-VOL       logV  all   R2 +0.5816  (364.2 s)
    FULL-VOL       logV  calm  R2 +0.5934  (1693.7 s)
    FULL-VOL       macro all   R2 +0.7330  (2146.0 s)
    FULL-VAL       x     all   R2 +0.7708  (1686.6 s)
    FULL-VAL       x     calm  R2 +0.4855  (74.7 s)
    FULL-VAL       logV  all   R2 +0.4671  (176.2 s)
    FULL-VAL       logV  calm  R2 +0.4983  (90.8 s)
    FULL-SENT      x     all   R2 +0.7982  (212.1 s)
    FULL-SENT      x     calm  R2 +0.4785  (107.3 s)
    FULL-SENT      logV  all   R2 +0.5939  (194.8 s)
    FULL-SENT      logV  calm  R2 +0.5944  (90.5 s)
    FULL-VAL       macro all   R2 +0.7455  (737.7 s)
    FULL-SENT      macro all   R2 +0.7613  (772.0 s)
    FULL-LEVELS    x     all   R2 +0.7535  (305.8 s)
    FULL-LEVELS    x     calm  R2 +0.4287  (147.4 s)
    FULL-LEVELS    logV  all   R2 +0.5799  (240.0 s)
    FULL-LEVELS    logV  calm  R2 +0.5700  (195.3 s)
    FULL-LEVELS    macro all   R2 +0.7578  (1030.9 s)
    BASE+LEVELS    x     all   R2 +0.4204  (263.6 s)
    BASE+LEVELS    x     calm  R2 +0.3392  (135.6 s)
    BASE+LEVELS    logV  all   R2 +0.4341  (318.6 s)
    BASE+LEVELS    logV  calm  R2 +0.4751  (159.7 s)
    BASE+LEVELS    macro all   R2 +0.6582  (671.6 s)
    BASE+VAL       x     all   R2 +0.5465  (339.5 s)
    BASE+VAL       x     calm  R2 +0.3422  (56.9 s)
    BASE+VAL       logV  all   R2 +0.4954  (101.6 s)
    BASE+VAL       logV  calm  R2 +0.5109  (56.3 s)
    BASE+SENT      x     all   R2 +0.4753  (94.4 s)
    BASE+SENT      x     calm  R2 +0.3482  (39.6 s)
    BASE+SENT      logV  all   R2 +0.3844  (111.1 s)
    BASE+SENT      logV  calm  R2 +0.4188  (52.1 s)
    BASE+VAL       macro all   R2 +0.6879  (475.9 s)
    BASE+SENT      macro all   R2 +0.6681  (498.4 s)
    BASE+VOL       x     all   R2 +0.6340  (185.6 s)
    BASE+VOL       x     calm  R2 +0.3728  (72.6 s)
    BASE+VOL       logV  all   R2 +0.3944  (163.6 s)
    BASE+VOL       logV  calm  R2 +0.4185  (97.0 s)
    BASE+VOL       macro all   R2 +0.7227  (763.5 s)
    BASE+ANALYST   x     all   R2 +0.4161  (222.9 s)
    BASE+ANALYST   x     calm  R2 +0.3409  (125.5 s)
    BASE+ANALYST   logV  all   R2 +0.4449  (230.3 s)
    BASE+ANALYST   logV  calm  R2 +0.4735  (112.2 s)
    BASE+IV        x     all   R2 +0.4160  (198.7 s)
    BASE+IV        x     calm  R2 +0.3372  (93.9 s)
    BASE+IV        logV  all   R2 +0.3841  (241.5 s)
    BASE+IV        logV  calm  R2 +0.4183  (117.9 s)
    BASE+ANALYST   macro all   R2 +0.6631  (405.8 s)
    BASE+IV        macro all   R2 +0.6578  (355.7 s)
    BASE           x     all   R2 +0.4137  (114.4 s)
    BASE           x     calm  R2 +0.3213  (34.3 s)
    BASE           logV  all   R2 +0.3811  (89.1 s)
    BASE           logV  calm  R2 +0.4150  (36.3 s)
    BASE           macro all   R2 +0.6566  (313.0 s)
wrote docs/env_v2/generated/v2_1/e5_7a/baseline\ablation.json in 8479.8 s
