[state] events_json=True | control=A | dynamics=A | blowoff=dynamic | post_top=decay/40.0 | randomise_eps_quarter=True | depth_mode=centred | volatility_json=True | iv=v21 | observables_json=True | observables=multiple=B eps=v21 dividend=v21/shown analyst=C/shown sentiment=A volume=A
[panel] docs\env_v2\generated\v2_1\_panels\sep_phase5_after.pkl: 320000 rows -> 288000 modelled, 1600 paths; shown 19 fields; groups ['LEVELS', 'VAL', 'ANALYST', 'SENT', 'VOL', 'IV']; BASE 45 cols, FULL 141
[fits] 70 jobs on 3 workers
    FULL           x     all   R2 +0.4322  (439.6 s)
    FULL           x     calm  R2 +0.4000  (203.9 s)
    FULL           logV  all   R2 +0.4814  (464.1 s)
    FULL           logV  calm  R2 +0.5198  (219.9 s)
    FULL           macro all   R2 +0.6877  (1531.1 s)
    FULL-ANALYST   x     all   R2 +0.4268  (420.4 s)
    FULL-ANALYST   x     calm  R2 +0.3920  (199.2 s)
    FULL-ANALYST   logV  all   R2 +0.4643  (426.6 s)
    FULL-ANALYST   logV  calm  R2 +0.5151  (198.7 s)
    FULL-IV        x     all   R2 +0.4278  (461.3 s)
    FULL-IV        x     calm  R2 +0.3812  (236.9 s)
    FULL-IV        logV  all   R2 +0.4752  (450.5 s)
    FULL-IV        logV  calm  R2 +0.5168  (219.7 s)
    FULL-ANALYST   macro all   R2 +0.6836  (1534.0 s)
    FULL-IV        macro all   R2 +0.6847  (1518.6 s)
    FULL-VOL       x     all   R2 +0.4299  (487.9 s)
    FULL-VOL       x     calm  R2 +0.4072  (177.2 s)
    FULL-VOL       logV  all   R2 +0.4812  (555.7 s)
    FULL-VOL       logV  calm  R2 +0.5207  (129.1 s)
    FULL-VOL       macro all   R2 +0.6756  (794.6 s)
    FULL-SENT      x     all   R2 +0.4333  (220.6 s)
    FULL-SENT      x     calm  R2 +0.4016  (102.6 s)
    FULL-SENT      logV  all   R2 +0.4815  (268.4 s)
    FULL-SENT      logV  calm  R2 +0.5201  (149.5 s)
    FULL-SENT      macro all   R2 +0.6876  (841.4 s)
    FULL-VAL       x     all   R2 +0.4223  (239.3 s)
    FULL-VAL       x     calm  R2 +0.3552  (94.2 s)
    FULL-VAL       logV  all   R2 +0.4622  (247.4 s)
    FULL-VAL       logV  calm  R2 +0.5027  (122.2 s)
    FULL-VAL       macro all   R2 +0.6794  (796.9 s)
    FULL-LEVELS    x     all   R2 +0.4219  (278.2 s)
    FULL-LEVELS    x     calm  R2 +0.3695  (122.9 s)
    FULL-LEVELS    logV  all   R2 +0.4183  (273.9 s)
    FULL-LEVELS    logV  calm  R2 +0.4609  (148.5 s)
    FULL-LEVELS    macro all   R2 +0.6805  (661.8 s)
    BASE+LEVELS    x     all   R2 +0.4113  (153.0 s)
    BASE+LEVELS    x     calm  R2 +0.3137  (83.1 s)
    BASE+LEVELS    logV  all   R2 +0.4396  (174.0 s)
    BASE+LEVELS    logV  calm  R2 +0.4885  (89.9 s)
    BASE+LEVELS    macro all   R2 +0.6601  (445.2 s)
    BASE+VAL       x     all   R2 +0.4149  (131.1 s)
    BASE+VAL       x     calm  R2 +0.3421  (51.0 s)
    BASE+VAL       logV  all   R2 +0.3958  (132.8 s)
    BASE+VAL       logV  calm  R2 +0.4476  (57.1 s)
    BASE+VAL       macro all   R2 +0.6619  (414.0 s)
    BASE+SENT      x     all   R2 +0.4052  (109.6 s)
    BASE+SENT      x     calm  R2 +0.2941  (47.4 s)
    BASE+SENT      logV  all   R2 +0.3896  (125.1 s)
    BASE+SENT      logV  calm  R2 +0.4297  (55.4 s)
    BASE+SENT      macro all   R2 +0.6574  (381.1 s)
    BASE+VOL       x     all   R2 +0.4101  (102.0 s)
    BASE+VOL       x     calm  R2 +0.2969  (44.7 s)
    BASE+VOL       logV  all   R2 +0.3947  (105.6 s)
    BASE+VOL       logV  calm  R2 +0.4323  (47.5 s)
    BASE+VOL       macro all   R2 +0.6730  (366.4 s)
    BASE+ANALYST   x     all   R2 +0.4048  (93.8 s)
    BASE+ANALYST   x     calm  R2 +0.3012  (39.2 s)
    BASE+ANALYST   logV  all   R2 +0.3978  (104.0 s)
    BASE+ANALYST   logV  calm  R2 +0.4433  (48.2 s)
    BASE+IV        x     all   R2 +0.4088  (98.9 s)
    BASE+IV        x     calm  R2 +0.3100  (45.4 s)
    BASE+IV        logV  all   R2 +0.3921  (97.8 s)
    BASE+IV        logV  calm  R2 +0.4329  (43.9 s)
    BASE+ANALYST   macro all   R2 +0.6584  (327.4 s)
    BASE+IV        macro all   R2 +0.6594  (330.4 s)
    BASE           x     all   R2 +0.4059  (79.9 s)
    BASE           x     calm  R2 +0.2912  (33.7 s)
    BASE           logV  all   R2 +0.3894  (90.5 s)
    BASE           logV  calm  R2 +0.4300  (46.2 s)
    BASE           macro all   R2 +0.6582  (244.9 s)
wrote C:\Users\ayesha.gull01\FinPersona\docs\env_v2\generated\v2_1\e5_7a\final\ablation.json in 6881.3 s
