[state] events_json=True | control=A | dynamics=A | blowoff=dynamic | post_top=decay/40.0 | randomise_eps_quarter=True | depth_mode=centred | volatility_json=True | iv=v21 | observables_json=False | observables=absent (v2 constants)
# E5.7(b) L1 extended candidate set -- epsdiv_v21_hidden

Panel `docs\env_v2\generated\v2_1\_panels\sep_phase5_epsdiv_v21_hidden.pkl`, 1600 paths / 320000 rows; in-sample; k log-median-optimal; 500-resample path bootstrap on the within-5 % share.

| candidate | median APE | within 1 % | within 2 % | within 5 % [CI] | above floor |
|---|---|---|---|---|---|
| k*price | 0.0644 | 0.0925 | 0.1844 | 0.4163 [0.4057, 0.4263] | 0.9074 |
| lsq(price+F) | 0.0663 | 0.0871 | 0.1718 | 0.4006 [0.3895, 0.4114] | 0.9130 |
| lsq(price+P/PE+F) | 0.0664 | 0.0818 | 0.1597 | 0.3737 [0.3871, 0.4100] | 0.8563 |
| lsq(price+P/PE) | 0.0667 | 0.0814 | 0.1611 | 0.3704 [0.3837, 0.4057] | 0.8566 |
| lsq(price) | 0.0668 | 0.0865 | 0.1704 | 0.3947 [0.3842, 0.4056] | 0.9135 |
| k*sqrt(price*P/PE) | 0.1171 | 0.0449 | 0.0895 | 0.2171 [0.2204, 0.2417] | 0.8932 |
| lsq(F) | 0.1279 | 0.0421 | 0.0839 | 0.2082 [0.1982, 0.2175] | 0.9579 |
| lsq(P/PE+F) | 0.1287 | 0.0387 | 0.0771 | 0.1901 [0.1937, 0.2121] | 0.8993 |
wrote C:\Users\ayesha.gull01\FinPersona\docs\env_v2\generated\v2_1\e5_7b\epsdiv_v21_hidden/l1ext.json in 8 s
