[state] events_json=True | control=A | dynamics=A | blowoff=dynamic | post_top=decay/40.0 | randomise_eps_quarter=True | depth_mode=centred | volatility_json=True | iv=v21 | observables_json=False | observables=absent (v2 constants)
# E5.7(b) L1 extended candidate set -- sentiment_A

Panel `docs\env_v2\generated\v2_1\_panels\sep_phase5_sentiment_A.pkl`, 1600 paths / 320000 rows; in-sample; k log-median-optimal; 500-resample path bootstrap on the within-5 % share.

| candidate | median APE | within 1 % | within 2 % | within 5 % [CI] | above floor |
|---|---|---|---|---|---|
| k*price | 0.0626 | 0.0949 | 0.1902 | 0.4261 [0.4149, 0.4364] | 0.9051 |
| lsq(price+P/PE+F) | 0.0656 | 0.0861 | 0.1723 | 0.3991 [0.3882, 0.4102] | 0.9139 |
| lsq(price+P*DY+F) | 0.0656 | 0.0870 | 0.1726 | 0.3982 [0.3872, 0.4095] | 0.9130 |
| lsq(price+F) | 0.0659 | 0.0876 | 0.1732 | 0.4025 [0.3916, 0.4136] | 0.9124 |
| lsq(price+P/PE) | 0.0661 | 0.0864 | 0.1709 | 0.3975 [0.3865, 0.4082] | 0.9136 |
| lsq(price+P/PE+P*DY) | 0.0662 | 0.0865 | 0.1709 | 0.3975 [0.3866, 0.4077] | 0.9135 |
| lsq(price+P*DY) | 0.0662 | 0.0865 | 0.1712 | 0.3974 [0.3867, 0.4079] | 0.9135 |
| lsq(price) | 0.0662 | 0.0870 | 0.1714 | 0.3973 [0.3868, 0.4081] | 0.9130 |
wrote C:\Users\ayesha.gull01\FinPersona\docs\env_v2\generated\v2_1\e5_7b\sentiment_A/l1ext.json in 8 s
