[state] events_json=True | control=A | dynamics=A | blowoff=dynamic | post_top=decay/40.0 | randomise_eps_quarter=True | depth_mode=centred | volatility_json=True | iv=v21 | observables_json=False | observables=absent (v2 constants)
# E5.7(b) L1 extended candidate set -- sentiment_B_full

Panel `docs\env_v2\generated\v2_1\_panels\sep_phase5_sentiment_B_full.pkl`, 1600 paths / 320000 rows; in-sample; k log-median-optimal; 500-resample path bootstrap on the within-5 % share.

| candidate | median APE | within 1 % | within 2 % | within 5 % [CI] | above floor |
|---|---|---|---|---|---|
| k*price | 0.0628 | 0.0943 | 0.1894 | 0.4248 [0.4136, 0.4351] | 0.9057 |
| lsq(price+P/PE+F) | 0.0657 | 0.0858 | 0.1718 | 0.3983 [0.3873, 0.4093] | 0.9142 |
| lsq(price+P*DY+F) | 0.0658 | 0.0866 | 0.1722 | 0.3972 [0.3863, 0.4084] | 0.9134 |
| lsq(price+F) | 0.0661 | 0.0871 | 0.1728 | 0.4017 [0.3907, 0.4127] | 0.9129 |
| lsq(price+P/PE) | 0.0663 | 0.0862 | 0.1706 | 0.3965 [0.3857, 0.4071] | 0.9138 |
| lsq(price+P/PE+P*DY) | 0.0664 | 0.0865 | 0.1703 | 0.3964 [0.3855, 0.4066] | 0.9135 |
| lsq(price) | 0.0664 | 0.0867 | 0.1711 | 0.3963 [0.3857, 0.4070] | 0.9133 |
| lsq(price+P*DY) | 0.0665 | 0.0864 | 0.1707 | 0.3967 [0.3859, 0.4069] | 0.9136 |
wrote C:\Users\ayesha.gull01\FinPersona\docs\env_v2\generated\v2_1\e5_7b\sentiment_B_full/l1ext.json in 8 s
