[state] events_json=True | control=A | dynamics=A | blowoff=dynamic | post_top=decay/40.0 | randomise_eps_quarter=True | depth_mode=centred | volatility_json=True | iv=v21 | observables_json=False | observables=absent (v2 constants)
# E5.7(b) L1 extended candidate set -- sentiment_B_half

Panel `docs\env_v2\generated\v2_1\_panels\sep_phase5_sentiment_B_half.pkl`, 1600 paths / 320000 rows; in-sample; k log-median-optimal; 500-resample path bootstrap on the within-5 % share.

| candidate | median APE | within 1 % | within 2 % | within 5 % [CI] | above floor |
|---|---|---|---|---|---|
| k*price | 0.0627 | 0.0947 | 0.1899 | 0.4255 [0.4143, 0.4357] | 0.9053 |
| lsq(price+P/PE+F) | 0.0657 | 0.0859 | 0.1719 | 0.3985 [0.3876, 0.4097] | 0.9141 |
| lsq(price+P*DY+F) | 0.0657 | 0.0867 | 0.1723 | 0.3977 [0.3867, 0.4090] | 0.9133 |
| lsq(price+F) | 0.0660 | 0.0873 | 0.1729 | 0.4020 [0.3911, 0.4131] | 0.9127 |
| lsq(price+P/PE) | 0.0662 | 0.0863 | 0.1708 | 0.3968 [0.3859, 0.4076] | 0.9137 |
| lsq(price+P/PE+P*DY) | 0.0663 | 0.0864 | 0.1706 | 0.3968 [0.3859, 0.4070] | 0.9136 |
| lsq(price) | 0.0664 | 0.0868 | 0.1712 | 0.3967 [0.3862, 0.4075] | 0.9132 |
| lsq(price+P*DY) | 0.0664 | 0.0865 | 0.1708 | 0.3969 [0.3862, 0.4074] | 0.9135 |
wrote C:\Users\ayesha.gull01\FinPersona\docs\env_v2\generated\v2_1\e5_7b\sentiment_B_half/l1ext.json in 13 s
