[state] events_json=True | control=A | dynamics=A | blowoff=dynamic | post_top=decay/40.0 | randomise_eps_quarter=True | depth_mode=centred | volatility_json=True | iv=v21 | observables_json=False | observables=absent (v2 constants)
# E5.7(b) L1 extended candidate set -- sentiment_C

Panel `docs\env_v2\generated\v2_1\_panels\sep_phase5_sentiment_C.pkl`, 1600 paths / 320000 rows; in-sample; k log-median-optimal; 500-resample path bootstrap on the within-5 % share.

| candidate | median APE | within 1 % | within 2 % | within 5 % [CI] | above floor |
|---|---|---|---|---|---|
| k*price | 0.0629 | 0.0941 | 0.1883 | 0.4236 [0.4126, 0.4338] | 0.9059 |
| lsq(price+P/PE+F) | 0.0656 | 0.0862 | 0.1722 | 0.3986 [0.3878, 0.4096] | 0.9138 |
| lsq(price+P*DY+F) | 0.0657 | 0.0872 | 0.1717 | 0.3977 [0.3870, 0.4089] | 0.9128 |
| lsq(price+F) | 0.0659 | 0.0865 | 0.1716 | 0.4028 [0.3918, 0.4134] | 0.9135 |
| lsq(price+P/PE) | 0.0662 | 0.0865 | 0.1703 | 0.3971 [0.3865, 0.4078] | 0.9135 |
| lsq(price+P*DY) | 0.0663 | 0.0866 | 0.1699 | 0.3972 [0.3862, 0.4079] | 0.9134 |
| lsq(price+P/PE+P*DY) | 0.0663 | 0.0869 | 0.1697 | 0.3975 [0.3865, 0.4081] | 0.9131 |
| lsq(price) | 0.0664 | 0.0863 | 0.1711 | 0.3969 [0.3864, 0.4074] | 0.9137 |
wrote C:\Users\ayesha.gull01\FinPersona\docs\env_v2\generated\v2_1\e5_7b\sentiment_C/l1ext.json in 12 s
