scenario,phase,n_steps,median_abs_x,coverage_theta_0.03,coverage_theta_0.05,coverage_theta_0.08
flat,calm,40000,0.03718799316222937,0.587425,0.366425,0.171575
bull_trap,calm,18151,0.036802031322176396,0.5797476723045563,0.36587515839347695,0.16902649991735993
bull_trap,mania,22356,0.07579231348602791,0.7929862229379138,0.6668455895509036,0.47638217928073
bull_trap,blow-off,33439,0.3165517763389807,0.9962618499357038,0.9919555010616347,0.982834414904752
sustained_bull,sustained-bull,40000,0.036968978704673985,0.5839,0.366325,0.17415
crash,calm,50178,0.03638860798419983,0.5767866395631551,0.36101478735700904,0.16798198413647414
crash,deterioration,7849,0.03899101709984081,0.5944706332016817,0.38387055675882276,0.18193400433176202
crash,panic,35488,0.11363808107103701,0.8494138863841298,0.7539168169522092,0.6248027502254283
crash,stabilisation,66485,0.08808081016631848,0.8104534857486652,0.691494322027525,0.5364367902534406
bull_trap,post-top,6054,0.24583478154855246,0.9895936570862239,0.9783614139411959,0.9547406673273868
flat,ALL,40000,0.03718799316222937,0.587425,0.366425,0.171575
bull_trap,ALL,80000,0.15344363004128492,0.84445,0.758025,0.6545375
sustained_bull,ALL,40000,0.036968978704673985,0.5839,0.366325,0.17415
crash,ALL,160000,0.06450436714642599,0.73521875,0.58660625,0.42309375
