scenario,seed,persona,policy,mcr_0.03,mcr_0.05,mcr_0.08,mcr_0.12,mcr_0.2
flat,0,ISFJ,oracle,0.0037238870498314245,0.002862027271765559,0.0028770514079558035,0.0027652154688829526,0.0026138058975335994
flat,0,ISFJ,always_hold,0.1415715187923869,0.14395397786996353,0.14565267448777852,0.14540200953709237,0.14895075598642907
flat,0,ISFJ,constant_mix,0.10058469015631175,0.10061763308617892,0.10065866332377484,0.1003540416301146,0.10050533405075832
flat,0,ISFJ,band_lo,0.0030653718887815895,0.0028818937194575404,0.0028770514079566488,0.0027652154688839834,0.0026138058975336124
flat,0,ISFJ,band_hi,0.19999610929550515,0.19983567754063886,0.19949824244268147,0.1996605788819906,0.20083233888363444
flat,0,ISFJ,L5_full_level_free,0.017808549316695416,0.01407206485964212,0.01114333684125341,0.009500417317845716,0.002664145465833471
flat,0,ISFJ,L5_level_free,0.02050170191671795,0.016510419622816613,0.014007977402185687,0.013001644670096279,0.005309638649871509
flat,0,ISFJ,rule_p_sma50,0.07309734531696126,0.07146653550524217,0.06415225279989022,0.05569664180050684,0.018127176709704842
flat,0,ISFJ,rule_rsi,0.054115742897184585,0.05133369766287766,0.04187739937916912,0.04008938960467712,0.0342481097195868
flat,0,ISFJ,rule_analyst,0.0030653718887815895,0.0028818937194575404,0.0028770514079566488,0.0027652154688839834,0.0026138058975336124
flat,0,ISFJ,random,0.33431864115192916,0.3304584271276343,0.3274357378929467,0.32238725728663686,0.3182495687842569
flat,0,ISFJ,oracle_switches,1.0,1.0,1.0,1.0,1.0
flat,0,INTJ,oracle,0.0038432882817791654,0.0028709010798489893,0.0028340249151876567,0.0027372323195978907,0.0026538252287726027
flat,0,INTJ,always_hold,0.17133708388027136,0.1754815447317202,0.1785200482958051,0.1779225579162632,0.1844378714261032
flat,0,INTJ,constant_mix,0.0999499200932562,0.09996937249872524,0.09970893522036794,0.09983890749918277,0.09981100265273654
flat,0,INTJ,band_lo,0.003150699983008838,0.002893800607567778,0.0028340249151856713,0.002737232319595467,0.0026538252287726157
flat,0,INTJ,band_hi,0.2000066973485981,0.1999930814952818,0.19973762643266738,0.19981671522122912,0.19977868769252977
flat,0,INTJ,L5_full_level_free,0.017563589897959347,0.014043395238748837,0.011095152066655085,0.009415433669411428,0.0026530431646531964
flat,0,INTJ,L5_level_free,0.020218749497489155,0.01642458190808864,0.013892630111753596,0.0128345735023096,0.005251802274645107
flat,0,INTJ,rule_p_sma50,0.07297311816073666,0.07097469904938479,0.06341722656170144,0.055036858200575876,0.018115797139346794
flat,0,INTJ,rule_rsi,0.05420385974298932,0.05128778311588823,0.0417949488472811,0.04029206408380426,0.03429118017942183
flat,0,INTJ,rule_analyst,0.003150699983008838,0.002893800607567778,0.0028340249151856713,0.002737232319595467,0.0026538252287726157
flat,0,INTJ,random,0.31649078534845426,0.31965202445935137,0.3185312080388706,0.319579005309094,0.32280702524983185
flat,0,INTJ,oracle_switches,1.0,1.0,1.0,1.0,1.0
flat,0,ENTJ,oracle,0.000548749307093196,0.0,0.0,0.0,0.0
flat,0,ENTJ,always_hold,0.12964040699693108,0.13139498485807083,0.13274095288861593,0.13235175931286328,0.13532967519472033
flat,0,ENTJ,constant_mix,0.09901978179280686,0.09911761613453951,0.0990523868592324,0.09908122144150272,0.10009815171240385
flat,0,ENTJ,band_lo,0.0,0.0,0.0,0.0,0.0
flat,0,ENTJ,band_hi,0.2002430192306851,0.20057176259011378,0.20059150859296804,0.2002016739650287,0.200324483268657
flat,0,ENTJ,L5_full_level_free,0.015143041158798314,0.011565707270875107,0.008533498853978593,0.0069309566473157004,0.0
flat,0,ENTJ,L5_level_free,0.017819611570369397,0.013964480911015683,0.011351638515122763,0.010375349566491911,0.0026363604285846347
flat,0,ENTJ,rule_p_sma50,0.0711650223312999,0.06960596763695878,0.062248485748225835,0.05377709353890737,0.01589213511738448
flat,0,ENTJ,rule_rsi,0.04966264398546227,0.04656398829011231,0.0365709405861148,0.03434370238104556,0.02825462046077629
flat,0,ENTJ,rule_analyst,0.0,0.0,0.0,0.0,0.0
flat,0,ENTJ,random,0.5006659865612907,0.5109881952149044,0.5160128730192145,0.522550552556867,0.527202647307516
flat,0,ENTJ,oracle_switches,1.0,1.0,1.0,1.0,1.0
flat,1,ISFJ,oracle,0.02143713253410477,0.003677105515279361,0.0047006324202793675,,
flat,1,ISFJ,always_hold,0.08624198296994634,0.0964848240705725,0.10698548799590406,,
