item,statistic,population,is_main,reference,n_gen,n_ref,gen_p10,gen_p50,gen_p90,ref_p10,ref_p50,ref_p90,B_D,B_upper95,B_pass,C_share,C_threshold,C_pass
1,lb_p_r,all,True,all,3000,12927,0.007359798221817904,0.29389447545324854,0.8493852605330183,0.023670528407296353,0.3922563215919202,0.8665553751042606,0.09955333797478144,0.11861921559526574,False,0.7533333333333333,0.7856861838305317,False
1,lb_p_r,flat,False,all,500,12927,0.0603125871054014,0.44265057138278535,0.9001677893627776,0.023670528407296353,0.3922563215919202,0.8665553751042606,0.07623903457878856,0.11832374100719426,False,0.798,0.7649384541128034,True
1,lb_p_r,bull_trap,False,all,500,12927,0.053847015618266124,0.45797759928632525,0.8974368473577721,0.023670528407296353,0.3922563215919202,0.8665553751042606,0.06769536628761508,0.11173085015858276,False,0.81,0.7649384541128034,True
1,lb_p_r,crash,False,all,1500,12927,0.0016352573732196,0.14609609040394655,0.7151156798656327,0.023670528407296353,0.3922563215919202,0.8665553751042606,0.2605398004177303,0.28443573915061493,False,0.704,0.7797572070438226,False
1,lb_p_r,sustained_bull,False,all,500,12927,0.06701805531104299,0.45429170465144225,0.9086659859008911,0.023670528407296353,0.3922563215919202,0.8665553751042606,0.08860323354219851,0.12905775508625356,False,0.8,0.7649384541128034,True
1,abs_acf1_r,all,True,all,3000,12927,0.01058480634290131,0.059009582053292,0.14250580244139469,0.01104809579714522,0.0585193719348771,0.15114845825200804,0.028856424537789138,0.04198573915061499,True,0.8176666666666667,0.7856861838305317,True
1,abs_acf1_r,flat,False,all,500,12927,0.009783633915294881,0.05393289076626495,0.12422291806902142,0.01104809579714522,0.0585193719348771,0.15114845825200804,0.08547783708517054,0.11836290709367984,False,0.84,0.7649384541128034,True
1,abs_acf1_r,bull_trap,False,all,500,12927,0.0105692470477466,0.0521954003862777,0.1262760268854185,0.01104809579714522,0.0585193719348771,0.15114845825200804,0.09734462752378747,0.13397864933859369,False,0.844,0.7649384541128034,True
1,abs_acf1_r,crash,False,all,1500,12927,0.012071397257889442,0.06561449306674835,0.15414779466063272,0.01104809579714522,0.0585193719348771,0.15114845825200804,0.058583584745107165,0.08376990794461207,True,0.7953333333333333,0.7797572070438226,True
1,abs_acf1_r,sustained_bull,False,all,500,12927,0.00892320328284662,0.0544458844958702,0.12104644830445374,0.01104809579714522,0.0585193719348771,0.15114845825200804,0.10064949330857897,0.12926961398623046,False,0.836,0.7649384541128034,True
