i,raw
0,OVERVALUED
1,OVERVALUED
2,OVERVALUED
3,"**UNDERVALUED**

Price ($137.39) sits ~31% below the analyst fair-value anchor ($198.88), and the weakness driving it looks sentiment/momentum-based (negative news sentiment, MACD below signal, price under both SMAs) rather than a stated fundamental impairment. RSI at 42 and volume at only 0.69× average suggest an unenthusiastic drift lower, not capitulation or informed heavy selling. The main caveats: earnings are ""n/m"" (no meaningful P/E — possibly unprofitable), 35% implied vol signals real u"
4,UNDERVALUED
5,UNDERVALUED
6,UNDERVALUED
7,OVERVALUED
8,UNDERVALUED
9,"**OVERVALUED**

Price ($73.43) sits at roughly 2.5× the analyst fair-value estimate ($29.13), with no earnings (P/E ""n/m""), no dividend, and very high implied volatility (50.5%) — all signs the price is driven by momentum and sentiment rather than fundamentals. The strong uptrend (SMA20 > SMA50 by 11%, positive sentiment) may sustain the price near-term, but on an intrinsic-value basis the stock is **OVERVALUED**."
10,OVERVALUED
11,UNDERVALUED
12,OVERVALUED
13,"**OVERVALUED**

The price of $82.24 sits roughly 21% above the analyst fair-value estimate of $67.92, and the trailing P/E of 29.2 with only a 1.07% dividend yield offers little valuation support. Momentum and sentiment corroborate rather than contradict this: price is below both the SMA20 (85.44) and SMA50 (86.22), MACD (-1.48) is below its signal line (-1.00), RSI is a soft 44.5, and news sentiment has swung sharply negative (-0.45 vs. a +0.06 five-day average). Elevated implied volatility (42"
14,UNDERVALUED
15,UNDERVALUED
16,"**UNDERVALUED**

Price ($46.02) sits far below the analyst fair-value estimate ($200.28) — roughly a 77% discount — and the trailing P/E of 7.3 is deeply below typical market multiples, with no dividend obligation weighing on reinvestment. Technicals corroborate rather than contradict: the trend regime is positive (SMA20 well above SMA50, +14.75%), RSI at 56.5 is neutral-to-constructive with no overbought stretch, and sentiment is improving (+0.24 versus the 5-day average) despite a still-negati"
17,UNDERVALUED
18,OVERVALUED
19,OVERVALUED
20,UNDERVALUED
21,"**OVERVALUED**

Price ($412.27) sits ~13% above the analyst fair-value estimate ($364.29), the trailing P/E of 191.5 is extreme against a negligible 0.22% dividend yield, and the stock is stretched ~11% above its SMA50 with RSI near 65 while MACD has crossed below its signal line and sentiment has turned sharply negative (-0.23 vs +0.14 5-day average) — signs the premium is momentum-driven rather than fundamentally supported."
22,OVERVALUED
23,**OVERVALUED**
24,"**OVERVALUED**

The price of $66.76 sits roughly 37% above the analyst fair-value estimate of $48.82, with a trailing P/E of 28.6 and a modest 1.12% dividend yield. Momentum is stretched (RSI 76.3, price ~6% above SMA20 and ~16% above SMA50), and the sentiment spike (+0.75 vs. 5-day average, on an earnings day) looks like a short-term catalyst rather than a change in intrinsic worth. Strong uptrend, yes — but on fundamentals this is trading at a significant premium."
25,OVERVALUED
26,"**FAIR**

Price ($106.98) sits within ~1.5% of the analyst fair-value estimate ($108.64), with a moderate trailing P/E of 15.2 and a reasonable 2.56% dividend yield — no meaningful valuation gap. The bearish trend regime (SMA20 below SMA50) and high implied volatility (73.9%) are technical/risk signals rather than evidence of mispricing, and improving sentiment (+0.23 vs 5-day average) with MACD crossing above its signal line offsets the downtrend somewhat."
27,UNDERVALUED
28,UNDERVALUED
29,OVERVALUED
30,UNDERVALUED
31,UNDERVALUED
32,**OVERVALUED**
33,UNDERVALUED
34,UNDERVALUED
35,OVERVALUED
36,OVERVALUED
37,UNDERVALUED
38,OVERVALUED
39,UNDERVALUED
40,UNDERVALUED
41,OVERVALUED
42,UNDERVALUED
43,OVERVALUED
44,UNDERVALUED
45,UNDERVALUED
46,"**UNDERVALUED**

The dominant anchor here is the analyst fair-value estimate of $37.02 versus a market price of $23.37 — roughly a 37% discount, implying substantial upside to intrinsic value. Supporting considerations:

- **Valuation gap:** Price/fair-value ≈ 0.63, a wide margin of safety even allowing for estimate error.
- **Neutral-to-constructive technicals:** Price sits above both SMA20 (22.13) and SMA50 (22.43), MACD has crossed above its signal line (0.1558 vs 0.0594), and RSI at 53.6 is "
47,"**OVERVALUED**

The price of $52.62 sits roughly 51% above the analyst fair-value estimate of $34.85, which is the most direct intrinsic-value anchor available. While the trailing P/E of 7.1 and 6.88% dividend yield superficially look cheap, those metrics are backward-looking and, combined with 54.6% implied volatility, a -0.5 news sentiment reading (sharply below the 5-day average), a bearish trend regime (SMA20 below SMA50 by 4.5%), and negative MACD, they suggest the market is pricing in dete"
48,"**OVERVALUED**

The price of $59.42 sits roughly 25% above the analyst fair-value estimate of $47.51, and the technical/sentiment picture corroborates rather than contradicts that gap: price is below both the SMA20 (65.7) and SMA50 (68.98), the trend regime is negative with SMA20 4.8% under SMA50, MACD (-2.77) is below its signal line (-2.01), and news sentiment is persistently negative (-0.42 latest, -0.37 5-day average, still deteriorating). Elevated implied volatility (43.8%) and above-averag"
49,UNDERVALUED
50,UNDERVALUED
51,UNDERVALUED
52,"**OVERVALUED**

Price ($48.04) sits ~26% above the analyst fair-value estimate ($38.25), with a trailing P/E of 75.7 and no dividend support. Momentum indicators (RSI 65, MACD above signal, price well above both SMAs) confirm the stock is extended on the upside, but that's a trend signal, not a value one — on fundamentals it is trading at a premium to intrinsic value."
