i,raw
0,OVERVALUED
1,OVERVALUED
2,UNDERVALUED
3,OVERVALUED
4,UNDERVALUED
5,UNDERVALUED
6,UNDERVALUED
7,UNDERVALUED
8,OVERVALUED
9,OVERVALUED
10,UNDERVALUED
11,OVERVALUED
12,UNDERVALUED
13,UNDERVALUED
14,UNDERVALUED
15,OVERVALUED
16,UNDERVALUED
17,UNDERVALUED
18,OVERVALUED
19,OVERVALUED
20,UNDERVALUED
21,UNDERVALUED
22,OVERVALUED
23,OVERVALUED
24,UNDERVALUED
25,OVERVALUED
26,UNDERVALUED
27,OVERVALUED
28,OVERVALUED
29,OVERVALUED
30,OVERVALUED
31,OVERVALUED
32,UNDERVALUED
33,OVERVALUED
34,UNDERVALUED
35,OVERVALUED
36,OVERVALUED
37,UNDERVALUED
38,UNDERVALUED
39,UNDERVALUED
40,OVERVALUED
41,OVERVALUED
42,UNDERVALUED
43,UNDERVALUED
44,OVERVALUED
45,OVERVALUED
46,UNDERVALUED
47,UNDERVALUED
48,OVERVALUED
49,UNDERVALUED
50,UNDERVALUED
51,UNDERVALUED
52,UNDERVALUED
53,OVERVALUED
54,UNDERVALUED
55,UNDERVALUED
56,OVERVALUED
57,OVERVALUED
58,UNDERVALUED
59,UNDERVALUED
60,OVERVALUED
61,UNDERVALUED
62,OVERVALUED
63,OVERVALUED
64,UNDERVALUED
65,OVERVALUED
66,OVERVALUED
67,UNDERVALUED
68,UNDERVALUED
69,OVERVALUED
70,UNDERVALUED
71,UNDERVALUED
72,OVERVALUED
73,OVERVALUED
74,OVERVALUED
75,UNDERVALUED
76,OVERVALUED
77,OVERVALUED
78,UNDERVALUED
79,OVERVALUED
80,OVERVALUED
81,UNDERVALUED
82,UNDERVALUED
83,OVERVALUED
84,UNDERVALUED
85,UNDERVALUED
86,OVERVALUED
87,OVERVALUED
88,OVERVALUED
89,UNDERVALUED
90,OVERVALUED
91,OVERVALUED
92,OVERVALUED
93,OVERVALUED
94,UNDERVALUED
95,OVERVALUED
96,OVERVALUED
97,OVERVALUED
98,OVERVALUED
99,OVERVALUED
100,UNDERVALUED
101,UNDERVALUED
102,UNDERVALUED
103,OVERVALUED
104,OVERVALUED
105,UNDERVALUED
106,UNDERVALUED
107,OVERVALUED
108,UNDERVALUED
109,OVERVALUED
110,FAIR
111,OVERVALUED
112,UNDERVALUED
113,OVERVALUED
114,UNDERVALUED
115,OVERVALUED
116,UNDERVALUED
117,OVERVALUED
118,OVERVALUED
119,UNDERVALUED
120,UNDERVALUED
121,UNDERVALUED
122,UNDERVALUED
123,UNDERVALUED
124,OVERVALUED
125,OVERVALUED
126,UNDERVALUED
127,OVERVALUED
128,OVERVALUED
129,UNDERVALUED
130,UNDERVALUED
131,UNDERVALUED
132,UNDERVALUED
133,UNDERVALUED
134,OVERVALUED
135,UNDERVALUED
136,OVERVALUED
137,UNDERVALUED
138,OVERVALUED
139,UNDERVALUED
140,UNDERVALUED
141,UNDERVALUED
142,OVERVALUED
143,UNDERVALUED
144,UNDERVALUED
145,UNDERVALUED
146,OVERVALUED
147,OVERVALUED
148,FAIR
149,UNDERVALUED
150,OVERVALUED
151,UNDERVALUED
152,UNDERVALUED
153,UNDERVALUED
154,UNDERVALUED
155,OVERVALUED
156,OVERVALUED
157,UNDERVALUED
158,OVERVALUED
159,UNDERVALUED
160,UNDERVALUED
161,OVERVALUED
162,UNDERVALUED
163,UNDERVALUED
164,UNDERVALUED
165,OVERVALUED
166,UNDERVALUED
167,OVERVALUED
168,OVERVALUED
169,UNDERVALUED
170,OVERVALUED
171,UNDERVALUED
172,UNDERVALUED
173,UNDERVALUED
174,OVERVALUED
175,UNDERVALUED
176,UNDERVALUED
177,OVERVALUED
178,OVERVALUED
179,UNDERVALUED
180,UNDERVALUED
181,OVERVALUED
182,UNDERVALUED
183,OVERVALUED
184,OVERVALUED
185,OVERVALUED
186,UNDERVALUED
187,OVERVALUED
188,OVERVALUED
189,UNDERVALUED
190,OVERVALUED
191,OVERVALUED
192,OVERVALUED
193,UNDERVALUED
194,OVERVALUED
195,UNDERVALUED
196,OVERVALUED
197,UNDERVALUED
198,OVERVALUED
199,OVERVALUED
