scope,population,feature_set,theta_info,reached,max_acc,theta_at_max,n_at_max,theta_info_ci_lower,theta_info_unmeasurable_breaks_chain,n_unmeasurable_grid_points,note,coverage_at_theta_info,n_resolvable_at_theta_info,sign_acc_at_theta_info,sign_lo_at_theta_info,sign_hi_at_theta_info,coverage_at_theta_info_ci,n_resolvable_at_theta_info_ci
bull_trap,all,full,0.01,True,0.9293388829735747,0.3,20662,0.01,0.01,0,,0.9573888888888888,68932,0.8322404688678697,0.8181836052234464,0.8476216797616176,0.9573888888888888,68932
bull_trap,all,price_only,0.01,True,0.9364049946762172,0.3,20662,0.01,0.01,0,,0.9573888888888888,68932,0.845601462310683,0.8344398420911335,0.8569966178918594,0.9573888888888888,68932
bull_trap,calm,full,0.15,True,0.9375,0.2,64,0.2,,1," | the two readings of an unmeasurable larger grid point differ here: 0.15 (skipped, primary) vs None (breaks the chain)",0.021059840767057615,246,0.8495934959349594,0.6997586528440568,0.9786830357142856,0.005478982963787347,64
bull_trap,calm,price_only,0.15,True,0.9375,0.2,64,0.2,,1," | the two readings of an unmeasurable larger grid point differ here: 0.15 (skipped, primary) vs None (breaks the chain)",0.021059840767057615,246,0.8577235772357723,0.7079004854368932,0.9709605911330049,0.005478982963787347,64
crash,all,full,0.05,True,0.9896044927709404,0.3,8369,0.06,0.05,0,,0.6108055555555556,87956,0.8009572968302333,0.790840434569152,0.8112387589609739,0.5510902777777777,79357
crash,all,price_only,0.08,True,0.9844664834508304,0.3,8369,0.08,0.08,0,,0.45055555555555554,64880,0.8106196054254008,0.8017790905535015,0.8197228694576266,0.45055555555555554,64880
crash,calm,full,0.08,True,1.0,0.2,312,0.1,0.08,0,,0.1658673397840415,5914,0.8229624619546838,0.7836517549683597,0.8589244698533333,0.09045014724442575,3225
crash,calm,price_only,0.12,True,1.0,0.25,95,0.15,0.12,0,,0.05244706212312439,1870,0.8155080213903744,0.7764937683284457,0.8534774420191381,0.026896648436404432,959
flat,all,full,0.2,True,1.0,0.25,126,0.2,0.2,0,,0.00963888888888889,347,0.9048991354466859,0.8239165129573669,0.9701587301587301,0.00963888888888889,347
flat,all,price_only,0.15,True,1.0,0.25,126,0.2,0.15,0,,0.029305555555555557,1055,0.8132701421800947,0.74034024949568,0.8779639956585201,0.00963888888888889,347
flat,calm,full,0.2,True,1.0,0.25,126,0.2,0.2,0,,0.00963888888888889,347,0.9048991354466859,0.8239165129573669,0.9701587301587301,0.00963888888888889,347
flat,calm,price_only,0.15,True,1.0,0.25,126,0.2,0.15,0,,0.029305555555555557,1055,0.8132701421800947,0.74034024949568,0.8779639956585201,0.00963888888888889,347
pooled,all,full,0.05,True,0.9469151053462357,0.3,29142,0.06,0.05,0,,0.5969305555555555,171916,0.800483957281463,0.7908121614563997,0.8101853065928672,0.5387430555555556,155158
pooled,all,price_only,0.06,True,0.950449523025187,0.3,29142,0.08,0.06,0,,0.5387430555555556,155158,0.8023369726343469,0.7929087063020277,0.8113215549869635,0.4450798611111111,128183
pooled,calm,full,0.2,True,1.0,0.3,136,0.2,0.2,0,,0.009125494402359723,1089,0.8797061524334252,0.8040153988200701,0.9434237850118626,0.009125494402359723,1089
pooled,calm,price_only,0.2,True,1.0,0.3,136,0.2,0.2,0,,0.009125494402359723,1089,0.8751147842056933,0.8160843623404079,0.9316954703716429,0.009125494402359723,1089
sustained_bull,all,full,0.25,True,1.0,0.3,53,0.3,0.25,0,,0.003638888888888889,131,0.9007633587786259,0.6873827392120075,1.0,0.0014722222222222222,53
sustained_bull,all,price_only,0.25,True,1.0,0.3,53,0.3,0.25,0,,0.003638888888888889,131,0.9236641221374046,0.7785057471264368,1.0,0.0014722222222222222,53
sustained_bull,calm,full,0.25,True,1.0,0.3,53,0.3,0.25,0,,0.003638888888888889,131,0.9007633587786259,0.6873827392120075,1.0,0.0014722222222222222,53
sustained_bull,calm,price_only,0.25,True,1.0,0.3,53,0.3,0.25,0,,0.003638888888888889,131,0.9236641221374046,0.7785057471264368,1.0,0.0014722222222222222,53
