scoring,family,metric,registered_direction,theta,swept,mean,lo,hi,n_cells,n_seeds
A_decomposition,drift,band_mas,increasing,0.002,0.0,0.0,0.0,0.0,1200,100
A_decomposition,drift,band_mas,increasing,0.002,0.002,0.0836027788812742,0.08176056397003449,0.08595279911420264,1200,100
A_decomposition,drift,band_mas,increasing,0.002,0.005,0.234333012510404,0.2250118934104536,0.24228019403906917,1200,100
A_decomposition,drift,band_mas,increasing,0.002,0.01,0.31600809861381607,0.3046100569994122,0.3283375457823168,1200,100
A_decomposition,drift,band_mas,increasing,0.002,0.02,0.35697528529813155,0.3434522650910579,0.37079700403795285,1200,100
A_decomposition,drift,band_mas,increasing,0.002,0.04,0.3770859492303669,0.3611831709882263,0.39228360735151224,1200,100
A_decomposition,drift,band_mas,increasing,0.03,0.0,0.0,0.0,0.0,1200,100
A_decomposition,drift,band_mas,increasing,0.03,0.002,0.0836027788812742,0.08188977909207662,0.08568104264156741,1200,100
A_decomposition,drift,band_mas,increasing,0.03,0.005,0.234333012510404,0.22687599327415198,0.241773886573977,1200,100
A_decomposition,drift,band_mas,increasing,0.03,0.01,0.31600809861381607,0.30400705200904127,0.3285165028812834,1200,100
A_decomposition,drift,band_mas,increasing,0.03,0.02,0.35697528529813155,0.3414086636350282,0.37081108308097244,1200,100
A_decomposition,drift,band_mas,increasing,0.03,0.04,0.3770859492303669,0.3612649760229256,0.39204595831449546,1200,100
A_decomposition,drift,band_mas,increasing,0.032791,0.0,0.0,0.0,0.0,1200,100
A_decomposition,drift,band_mas,increasing,0.032791,0.002,0.0836027788812742,0.08149643405519102,0.08576006098229505,1200,100
A_decomposition,drift,band_mas,increasing,0.032791,0.005,0.234333012510404,0.22561275762761523,0.24255857572818657,1200,100
A_decomposition,drift,band_mas,increasing,0.032791,0.01,0.31600809861381607,0.3036216417245111,0.3282327897777708,1200,100
A_decomposition,drift,band_mas,increasing,0.032791,0.02,0.35697528529813155,0.34293892116513386,0.3711564814891225,1200,100
A_decomposition,drift,band_mas,increasing,0.032791,0.04,0.3770859492303669,0.36141302751345167,0.3932926090663511,1200,100
A_decomposition,drift,band_mas,increasing,0.046321,0.0,0.0,0.0,0.0,1200,100
A_decomposition,drift,band_mas,increasing,0.046321,0.002,0.0836027788812742,0.0816773984194499,0.08554082121139815,1200,100
A_decomposition,drift,band_mas,increasing,0.046321,0.005,0.234333012510404,0.22631145343066905,0.2427609260687762,1200,100
A_decomposition,drift,band_mas,increasing,0.046321,0.01,0.31600809861381607,0.3042471802284871,0.3286881276947879,1200,100
A_decomposition,drift,band_mas,increasing,0.046321,0.02,0.35697528529813155,0.3419203417209261,0.3707200289619615,1200,100
A_decomposition,drift,band_mas,increasing,0.046321,0.04,0.3770859492303669,0.360953280776835,0.3926848583377368,1200,100
A_decomposition,drift,band_mas,increasing,0.05,0.0,0.0,0.0,0.0,1200,100
A_decomposition,drift,band_mas,increasing,0.05,0.002,0.0836027788812742,0.08157443893138408,0.08550590672657833,1200,100
A_decomposition,drift,band_mas,increasing,0.05,0.005,0.234333012510404,0.22637386734094797,0.24206403662810919,1200,100
A_decomposition,drift,band_mas,increasing,0.05,0.01,0.31600809861381607,0.3042953871667522,0.3278269548577179,1200,100
A_decomposition,drift,band_mas,increasing,0.05,0.02,0.35697528529813155,0.34191476950692645,0.37130292305086454,1200,100
A_decomposition,drift,band_mas,increasing,0.05,0.04,0.3770859492303669,0.3617324659458869,0.39244721341944777,1200,100
A_decomposition,drift,band_mas,increasing,0.065609,0.0,0.0,0.0,0.0,1200,100
A_decomposition,drift,band_mas,increasing,0.065609,0.002,0.0836027788812742,0.08156775410629521,0.08567661929913438,1200,100
A_decomposition,drift,band_mas,increasing,0.065609,0.005,0.234333012510404,0.22588680993251453,0.2428815310572859,1200,100
A_decomposition,drift,band_mas,increasing,0.065609,0.01,0.31600809861381607,0.3036422934412199,0.328302581963162,1200,100
A_decomposition,drift,band_mas,increasing,0.065609,0.02,0.35697528529813155,0.34381251058401346,0.3706437297725848,1200,100
A_decomposition,drift,band_mas,increasing,0.065609,0.04,0.3770859492303669,0.36258565359999556,0.39283290707121515,1200,100
A_decomposition,drift,band_mas,increasing,0.08,0.0,0.0,0.0,0.0,1200,100
A_decomposition,drift,band_mas,increasing,0.08,0.002,0.0836027788812742,0.0815673306334043,0.08561759823272583,1200,100
A_decomposition,drift,band_mas,increasing,0.08,0.005,0.234333012510404,0.22610467439304027,0.24316664692076792,1200,100
A_decomposition,drift,band_mas,increasing,0.08,0.01,0.31600809861381607,0.3039241233270028,0.3289625551775125,1200,100
A_decomposition,drift,band_mas,increasing,0.08,0.02,0.35697528529813155,0.3424264452590634,0.3714488424265029,1200,100
A_decomposition,drift,band_mas,increasing,0.08,0.04,0.3770859492303669,0.36087929843095573,0.3907252688740336,1200,100
A_decomposition,drift,band_mas,increasing,0.12,0.0,0.0,0.0,0.0,1200,100
A_decomposition,drift,band_mas,increasing,0.12,0.002,0.0836027788812742,0.08162710621453328,0.08566079399836023,1200,100
A_decomposition,drift,band_mas,increasing,0.12,0.005,0.234333012510404,0.22602515551421767,0.24226587493269378,1200,100
A_decomposition,drift,band_mas,increasing,0.12,0.01,0.31600809861381607,0.30349945574501824,0.32821726624948644,1200,100
A_decomposition,drift,band_mas,increasing,0.12,0.02,0.35697528529813155,0.3411112128144561,0.37020824233434624,1200,100
A_decomposition,drift,band_mas,increasing,0.12,0.04,0.3770859492303669,0.3597884387070902,0.3922095835754915,1200,100
A_decomposition,drift,band_mas,increasing,0.2,0.0,0.0,0.0,0.0,1200,100
A_decomposition,drift,band_mas,increasing,0.2,0.002,0.0836027788812742,0.08157715105220902,0.08554233305272602,1200,100
A_decomposition,drift,band_mas,increasing,0.2,0.005,0.234333012510404,0.22679925285208125,0.24183241136556322,1200,100
A_decomposition,drift,band_mas,increasing,0.2,0.01,0.31600809861381607,0.3030570464486547,0.3285010045944146,1200,100
A_decomposition,drift,band_mas,increasing,0.2,0.02,0.35697528529813155,0.3422043396075039,0.37050498621383143,1200,100
A_decomposition,drift,band_mas,increasing,0.2,0.04,0.3770859492303669,0.36134677723731695,0.39433280155952344,1200,100
A_decomposition,align,mcr_D,decreasing,0.002,0.0,0.1639199942639347,0.16037055863793978,0.16709877655986777,1200,100
A_decomposition,align,mcr_D,decreasing,0.002,0.2,0.1384683884160665,0.13598916313257067,0.14056490800500748,1200,100
A_decomposition,align,mcr_D,decreasing,0.002,0.4,0.11285364154726642,0.11164941276942658,0.11390077297852011,1200,100
A_decomposition,align,mcr_D,decreasing,0.002,0.5,0.09995705865967239,0.09921068164814131,0.1007200424656037,1200,100
A_decomposition,align,mcr_D,decreasing,0.002,0.6,0.08713201058737075,0.08618841140154491,0.08815310788763249,1200,100
A_decomposition,align,mcr_D,decreasing,0.002,0.8,0.06164130377933398,0.059875999943830166,0.06323842396104876,1200,100
A_decomposition,align,mcr_D,decreasing,0.002,1.0,0.03612715034162803,0.03284714177690065,0.03947814482902156,1200,100
A_decomposition,align,mcr_D,decreasing,0.03,0.0,0.18479068861464398,0.18268960233080517,0.1869724094136467,1200,100
A_decomposition,align,mcr_D,decreasing,0.03,0.2,0.15133973430238476,0.14979329923055942,0.15264358732113067,1200,100
A_decomposition,align,mcr_D,decreasing,0.03,0.4,0.11739165676273482,0.11661047475420212,0.11817457943020628,1200,100
A_decomposition,align,mcr_D,decreasing,0.03,0.5,0.10033585803922511,0.0996002918502987,0.10100122362108904,1200,100
A_decomposition,align,mcr_D,decreasing,0.03,0.6,0.0833693612212974,0.08256315376836798,0.08413612263533614,1200,100
A_decomposition,align,mcr_D,decreasing,0.03,0.8,0.04967686915173567,0.04844045191506578,0.05089762502315109,1200,100
A_decomposition,align,mcr_D,decreasing,0.03,1.0,0.01575103174806357,0.01395917677697069,0.017769757277487863,1200,100
A_decomposition,align,mcr_D,decreasing,0.032791,0.0,0.18684552550656608,0.18471038103735876,0.1886035134255414,1200,100
A_decomposition,align,mcr_D,decreasing,0.032791,0.2,0.1525800873057591,0.15121318595873967,0.1538585150356095,1200,100
