scenario,seed,persona,policy,theta,phase7,phase6,abs_diff
flat,0,ENTJ,L5_full_level_free,0.03,0.015143041158798314,0.0151430411587983,1.3877787807814457e-17
flat,0,ENTJ,L5_full_level_free,0.05,0.011565707270875107,0.0115657072708751,6.938893903907228e-18
flat,0,ENTJ,L5_full_level_free,0.08,0.008533498853978593,0.0085334988539785,9.367506770274758e-17
flat,0,ENTJ,L5_full_level_free,0.12,0.0069309566473157004,0.0069309566473157,8.673617379884035e-19
flat,0,ENTJ,L5_full_level_free,0.2,0.0,0.0,0.0
flat,0,ENTJ,L5_level_free,0.03,0.017819611570369397,0.0178196115703693,9.71445146547012e-17
flat,0,ENTJ,L5_level_free,0.05,0.013964480911015683,0.0139644809110156,8.326672684688674e-17
flat,0,ENTJ,L5_level_free,0.08,0.011351638515122763,0.0113516385151227,6.245004513516506e-17
flat,0,ENTJ,L5_level_free,0.12,0.010375349566491911,0.0103753495664919,1.214306433183765e-17
flat,0,ENTJ,L5_level_free,0.2,0.0026363604285846347,0.0026363604285846,3.469446951953614e-17
flat,0,ENTJ,always_hold,0.03,0.12964040699693108,0.129640406996931,8.326672684688674e-17
flat,0,ENTJ,always_hold,0.05,0.13139498485807083,0.1313949848580708,2.7755575615628914e-17
flat,0,ENTJ,always_hold,0.08,0.13274095288861593,0.1327409528886159,2.7755575615628914e-17
flat,0,ENTJ,always_hold,0.12,0.13235175931286328,0.1323517593128632,8.326672684688674e-17
flat,0,ENTJ,always_hold,0.2,0.13532967519472033,0.1353296751947203,2.7755575615628914e-17
flat,0,ENTJ,band_hi,0.03,0.2002430192306851,0.2002430192306851,0.0
flat,0,ENTJ,band_hi,0.05,0.20057176259011378,0.2005717625901137,8.326672684688674e-17
flat,0,ENTJ,band_hi,0.08,0.20059150859296804,0.200591508592968,2.7755575615628914e-17
flat,0,ENTJ,band_hi,0.12,0.2002016739650287,0.2002016739650287,0.0
flat,0,ENTJ,band_hi,0.2,0.200324483268657,0.200324483268657,0.0
flat,0,ENTJ,band_lo,0.03,0.0,0.0,0.0
flat,0,ENTJ,band_lo,0.05,0.0,0.0,0.0
flat,0,ENTJ,band_lo,0.08,0.0,0.0,0.0
flat,0,ENTJ,band_lo,0.12,0.0,0.0,0.0
flat,0,ENTJ,band_lo,0.2,0.0,0.0,0.0
flat,0,ENTJ,constant_mix,0.03,0.09901978179280686,0.0990197817928068,6.938893903907228e-17
flat,0,ENTJ,constant_mix,0.05,0.09911761613453951,0.0991176161345395,1.3877787807814457e-17
flat,0,ENTJ,constant_mix,0.08,0.0990523868592324,0.0990523868592324,0.0
flat,0,ENTJ,constant_mix,0.12,0.09908122144150272,0.0990812214415027,1.3877787807814457e-17
flat,0,ENTJ,constant_mix,0.2,0.10009815171240385,0.1000981517124038,5.551115123125783e-17
flat,0,ENTJ,mandate_conditional_oracle,0.03,0.000548749307093196,0.0005487493070931,9.595189226496714e-17
flat,0,ENTJ,mandate_conditional_oracle,0.05,0.0,0.0,0.0
flat,0,ENTJ,mandate_conditional_oracle,0.08,0.0,0.0,0.0
flat,0,ENTJ,mandate_conditional_oracle,0.12,0.0,0.0,0.0
flat,0,ENTJ,mandate_conditional_oracle,0.2,0.0,0.0,0.0
flat,0,ENTJ,rule_analyst,0.03,0.0,0.0,0.0
flat,0,ENTJ,rule_analyst,0.05,0.0,0.0,0.0
flat,0,ENTJ,rule_analyst,0.08,0.0,0.0,0.0
flat,0,ENTJ,rule_analyst,0.12,0.0,0.0,0.0
flat,0,ENTJ,rule_analyst,0.2,0.0,0.0,0.0
flat,0,ENTJ,rule_p_sma50,0.03,0.0711650223312999,0.0711650223312999,0.0
flat,0,ENTJ,rule_p_sma50,0.05,0.06960596763695878,0.0696059676369587,8.326672684688674e-17
flat,0,ENTJ,rule_p_sma50,0.08,0.062248485748225835,0.0622484857482258,3.469446951953614e-17
flat,0,ENTJ,rule_p_sma50,0.12,0.05377709353890737,0.0537770935389073,6.938893903907228e-17
flat,0,ENTJ,rule_p_sma50,0.2,0.01589213511738448,0.0158921351173844,7.979727989493313e-17
flat,0,ENTJ,rule_rsi,0.03,0.04966264398546227,0.0496626439854622,6.938893903907228e-17
