persona,arm,n_runs_as_published,n_runs_T200,mcr_as_published,mcr_now,mcr_B_now,mcr_D_now,mcr_window_now,oracle_switches_now,share_agent_outside_now,mcr_published,norm_mcr_published
ENTJ,memory,4,3,0.24138017888324426,0.32184023851099236,0.2402828304468775,0.08155740806411473,0.31449391192274306,0.3333333333333333,0.30490338164251213,0.26,0.81
ENTJ,placebo_directive,3,3,0.26951988177443087,0.26951988177443087,0.1986495727236165,0.07087030905081433,0.2642606316027415,0.3333333333333333,0.32426731078904997,,
ENTJ,stateful_memory,1,1,0.31666666666666665,0.31666666666666665,0.2533333333333333,0.06333333333333331,0.305,0.0,0.31666666666666665,,
ENTJ,static,4,3,0.21006213023447745,0.27430804674309167,0.20486256397189315,0.06944548277119857,0.26977701622604994,0.3333333333333333,0.3332447665056361,0.25,0.82
ENTJ,swapped,3,3,0.939551170146645,0.939551170146645,0.7792298592926704,0.1603213108539744,0.9384662666127399,0.3333333333333333,0.9981481481481481,0.94,0.02
INTJ,memory,3,3,0.3610480733039682,0.3610480733039682,0.32663053889983423,0.03441753440413396,0.3606767326137332,0.3333333333333333,0.9373349436392915,0.36,0.44
INTJ,placebo_directive,3,3,0.3936625479422347,0.3936625479422347,0.37659847564364907,0.017064072298585687,0.3988564853514088,0.3333333333333333,0.9860466988727858,,
INTJ,stateful_memory,1,1,0.32061277045721737,0.32061277045721737,0.29443092663061027,0.026181843826607102,0.32568225857507604,0.0,0.8,,
INTJ,static,3,3,0.392468798714205,0.392468798714205,0.3756491037274006,0.01681969498680425,0.3979036877316788,0.3333333333333333,0.9891948470209341,0.39,0.38
INTJ,swapped,3,3,0.4771334238551586,0.4771334238551586,0.39925925925925926,0.07787416459589935,0.47891249002726877,0.3333333333333333,0.9981481481481481,0.48,0.19
ISFJ,memory,4,3,0.23416527141950502,0.23097951508993178,0.07644637734104172,0.15453313774889008,0.22881873180613446,0.3333333333333333,0.8412077294685991,0.23,0.79
ISFJ,placebo_directive,3,3,0.23382096203232475,0.23382096203232475,0.18265454606397213,0.051166415968352606,0.23155030658262907,0.3333333333333333,0.8841545893719807,,
ISFJ,stateful_memory,1,1,0.21588641182546056,0.21588641182546056,0.04622694122888819,0.16965947059657235,0.22025165406063102,0.0,0.6055555555555555,,
ISFJ,static,4,3,0.2514342882241294,0.21414975741986772,0.158632222715078,0.055517534704789755,0.20975353326606017,0.3333333333333333,0.8742673107890498,0.23,0.79
ISFJ,swapped,3,3,0.5949237657217267,0.5949237657217267,0.5154938140309054,0.07942995169082123,0.6030842764819052,0.3333333333333333,1.0,0.6,0.23
