file,model,persona,arm,scenario,seed,start_design,T,theta,half_width,theta_labels,mcr,mcr_B,mcr_D,coverage,n_resolvable,oracle_switches,share_target_lo,share_target_hi,share_agent_outside,mcr_window,mcr_window_B,mcr_window_D,window_switches,band_mas_v2_key,mean_cash_share,return_pct,mdd_pct,turnover,mcr_v2_0.05,coverage_v2_0.05
results_v2_pilot\common_start\gemini-2.5-flash\bull_trap\seed42\gemini-2.5-flash__ENTJ__static__bull_trap__seed42__rep0.csv,gemini-2.5-flash,ENTJ,static,bull_trap,42,common,200,0.002,0.05,theta_cost,0.24535889010458725,0.2219567471380689,0.023402142966518345,1.0,200,5,0.42,0.58,0.91,0.24685995759218204,0.22195674713806895,0.024903210454113103,1,0.18599018308243406,0.273615871982803,206.7700702011602,-8.709081037603239,35.34099211388438,0.24582506183644617,0.92
results_v2_pilot\common_start\gemini-2.5-flash\bull_trap\seed42\gemini-2.5-flash__ENTJ__static__bull_trap__seed42__rep0.csv,gemini-2.5-flash,ENTJ,static,bull_trap,42,common,200,0.03,0.05,grid,0.25379756695633915,0.23232163849474025,0.021475928461598917,0.95,190,1,0.41578947368421054,0.5842105263157895,0.9210526315789473,0.24820887981440298,0.22297241437129553,0.02523646544310746,1,0.18599018308243406,0.273615871982803,206.7700702011602,-8.709081037603239,35.34099211388438,0.24582506183644617,0.92
results_v2_pilot\common_start\gemini-2.5-flash\bull_trap\seed42\gemini-2.5-flash__ENTJ__static__bull_trap__seed42__rep0.csv,gemini-2.5-flash,ENTJ,static,bull_trap,42,common,200,0.032791,0.05,theta_cost_one_day,0.25379756695633915,0.23232163849474025,0.021475928461598917,0.95,190,1,0.41578947368421054,0.5842105263157895,0.9210526315789473,0.24820887981440298,0.22297241437129553,0.02523646544310746,1,0.18599018308243406,0.273615871982803,206.7700702011602,-8.709081037603239,35.34099211388438,0.24582506183644617,0.92
results_v2_pilot\common_start\gemini-2.5-flash\bull_trap\seed42\gemini-2.5-flash__ENTJ__static__bull_trap__seed42__rep0.csv,gemini-2.5-flash,ENTJ,static,bull_trap,42,common,200,0.046321,0.05,theta_var,0.259143066341837,0.23816744384191588,0.020975622499921093,0.925,185,1,0.40540540540540543,0.5945945945945946,0.9243243243243243,0.24983209741163626,0.2248043090823334,0.025027788329302858,1,0.18599018308243406,0.273615871982803,206.7700702011602,-8.709081037603239,35.34099211388438,0.24582506183644617,0.92
results_v2_pilot\common_start\gemini-2.5-flash\bull_trap\seed42\gemini-2.5-flash__ENTJ__static__bull_trap__seed42__rep0.csv,gemini-2.5-flash,ENTJ,static,bull_trap,42,common,200,0.05,0.05,grid|theta_info_all,0.2597362351806513,0.2391900929932306,0.020546142187420666,0.92,184,1,0.4076086956521739,0.592391304347826,0.9239130434782609,0.24962371982745793,0.22494309121725214,0.024680628610205792,1,0.18599018308243406,0.273615871982803,206.7700702011602,-8.709081037603239,35.34099211388438,0.24582506183644617,0.92
results_v2_pilot\common_start\gemini-2.5-flash\bull_trap\seed42\gemini-2.5-flash__ENTJ__static__bull_trap__seed42__rep0.csv,gemini-2.5-flash,ENTJ,static,bull_trap,42,common,200,0.065609,0.05,theta_var_stationary,0.2655939583230574,0.24531163896699296,0.02028231935606433,0.895,179,1,0.39664804469273746,0.6033519553072626,0.9273743016759777,0.24960446072242276,0.22560755674983776,0.02399690397258502,1,0.18599018308243406,0.273615871982803,206.7700702011602,-8.709081037603239,35.34099211388438,0.24582506183644617,0.92
results_v2_pilot\common_start\gemini-2.5-flash\bull_trap\seed42\gemini-2.5-flash__ENTJ__static__bull_trap__seed42__rep0.csv,gemini-2.5-flash,ENTJ,static,bull_trap,42,common,200,0.08,0.05,grid,0.26870067352174576,0.2486408146312031,0.020059858890542702,0.88,176,1,0.39204545454545453,0.6079545454545454,0.9261363636363636,0.24909980274369206,0.2256608340339416,0.02343896870975045,1,0.18599018308243406,0.273615871982803,206.7700702011602,-8.709081037603239,35.34099211388438,0.24582506183644617,0.92
results_v2_pilot\common_start\gemini-2.5-flash\bull_trap\seed42\gemini-2.5-flash__ENTJ__static__bull_trap__seed42__rep0.csv,gemini-2.5-flash,ENTJ,static,bull_trap,42,common,200,0.12,0.05,grid,0.28282353111635017,0.2626384695118925,0.02018506160445767,0.825,165,1,0.36363636363636365,0.6363636363636364,0.9212121212121213,0.24798091443682369,0.22632733856814385,0.021653575868679827,1,0.18599018308243406,0.273615871982803,206.7700702011602,-8.709081037603239,35.34099211388438,0.24582506183644617,0.92
results_v2_pilot\common_start\gemini-2.5-flash\bull_trap\seed42\gemini-2.5-flash__ENTJ__static__bull_trap__seed42__rep0.csv,gemini-2.5-flash,ENTJ,static,bull_trap,42,common,200,0.2,0.05,grid|theta_info_calm,0.29084384826406084,0.26930195901591125,0.021541889248149673,0.715,143,1,0.32867132867132864,0.6713286713286714,0.916083916083916,0.29687139273102325,0.279229648533408,0.01764174419761523,1,0.18599018308243406,0.273615871982803,206.7700702011602,-8.709081037603239,35.34099211388438,0.24582506183644617,0.92
results_v2_pilot\common_start\gemini-2.5-flash\bull_trap\seed42\gemini-2.5-flash__ENTJ__static__bull_trap__seed42__rep0.csv,gemini-2.5-flash,ENTJ,static,bull_trap,42,common,200,0.002,0.1,theta_cost,0.23525779202728253,0.18599018308243406,0.04926760894484847,1.0,200,5,0.42,0.58,0.32,0.2375616781155134,0.1859901830824341,0.05157149503307929,1,0.18599018308243406,0.273615871982803,206.7700702011602,-8.709081037603239,35.34099211388438,0.24582506183644617,0.92
