persona,day,context_turns,v2_offset_system_logged_chars4,v21_offset_system_chars4,v21_offset_nearest_chars4,v21_offset_nearest_o200k,ratio_logged_over_nearest_chars4,copies_v2,copies_v21,context_tokens_logged,context_chars4_of_same_context,replayed_block_share_of_chars,v21_context_tokens_est,block_chars,block_o200k,parse_fallbacks_in_run
ENTJ,1,0,637,637.0,409,436,1.5574572127139363,2,2,1929,2082,0.0,1929.0,311,77,0
ENTJ,2,1,1359,1281.25,409,436,3.3227383863080684,3,2,2846,2804,0.027723301836334462,2767.0994829737924,311,77,0
ENTJ,20,19,14567,13089.75,409,436,35.6161369193154,21,2,19561,16012,0.09225604996096799,17756.379406713506,311,77,0
ENTJ,21,20,15300,13745.0,409,436,37.40831295843521,22,2,20484,16745,0.09286076856468901,18581.84001672091,311,77,0
ENTJ,200,20,15261,13706.0,409,436,37.312958435207825,22,2,20454,16706,0.0930775446682429,18550.19190135576,311,77,0
INTJ,1,0,631,631.0,409,436,1.5427872860635696,2,2,1788,1912,0.0,1788.0,290,68,0
INTJ,2,1,1369,1296.5,409,436,3.34718826405868,3,2,2716,2650,0.027353329560460292,2641.70835691379,290,68,0
INTJ,20,19,14738,13360.5,409,436,36.034229828850854,21,2,19228,16019,0.08598895096601017,17574.604450825558,290,68,0
INTJ,21,20,15482,14032.0,409,436,37.85330073349633,22,2,20144,16763,0.08649744981656575,18401.595370895102,290,68,0
INTJ,200,20,15909,14459.0,409,436,38.89731051344743,22,2,20512,17190,0.08434891364416393,18781.83508333091,290,68,0
ISFJ,1,0,644,644.0,409,436,1.5745721271393642,2,2,2016,2211,0.0,2016.0,339,71,0
ISFJ,2,1,1389,1304.25,409,436,3.3960880195599024,3,2,2939,2956,0.028670500676589987,2854.7373985115023,339,71,0
ISFJ,20,19,14882,13271.75,409,436,36.386308068459655,21,2,19632,16449,0.09789348896589459,17710.15502462156,339,71,0
ISFJ,21,20,15627,13932.0,409,436,38.2078239608802,22,2,20563,17194,0.09858090031406304,18535.88094684192,339,71,0
ISFJ,200,20,16546,14851.0,409,436,40.45476772616137,22,2,21332,18113,0.09357919726163529,19335.768564014794,339,71,0
