cond,i,M,S,R,s_ma,rho,beta,gpath,e0_p,e0_coef,e0_ok,e1_p,e1_coef,e1_se,e1_converged,e1_ok,e1_scale,e1_vc_model,e1_vc_model_arm,e1_vc_path,e2_est,e2_lo,e2_hi,e2_reject,e2_covers,e3_delta,e3_lo,e3_hi,e3_reject,t_e1
M6_S10_R1_sma0.03_rho0.0_beta0.0,0,6,10,1,0.03,0.0,0.0,0.04,0.6012204569026685,-0.002967120975730735,True,0.9147221962619971,-0.001751238256418126,0.01635384638830627,True,True,0.0008279414799616012,0.0005223363585147445,0.0007195507270807753,0.001637388869953173,-0.0017512382564193545,-0.03677070675459506,0.028264067989082688,False,True,0.014999999999999958,-0.20556944444444444,0.22119444444444436,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,1,6,10,1,0.03,0.0,0.0,0.04,0.014020715732481722,-0.015571478829263768,True,0.2403314432895649,-0.015290667581849483,0.013022657732416362,True,True,0.0009877335152154183,0.0008777483278649464,0.0004099954917254652,0.0018706289154171243,-0.015290667581849717,-0.035838654499013245,0.006931003673536696,False,True,-0.09777777777777774,-0.30444444444444446,0.10670833333333332,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,2,6,10,1,0.03,0.0,0.0,0.04,0.7058715867237599,-0.0023312072148905867,True,0.727192951352863,0.005246052795718875,0.015037618117922709,True,True,0.0008756619787704305,0.0018641867596823154,0.0005908236781043863,0.0013819798223729512,0.0052460527957198045,-0.020095262539988192,0.030000208882645714,False,True,0.056111111111111056,-0.1534861111111111,0.2550138888888888,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,3,6,10,1,0.03,0.0,0.0,0.04,0.0991843593961497,-0.009498258183160663,True,0.7284193420431981,-0.004874213175680667,0.014037462963935583,True,True,0.00083799427594725,0.0002720252085989461,0.0005073516717968474,0.002101177214579101,-0.0048742131756807664,-0.03990974807910609,0.030435506294390922,False,True,-0.05277777777777781,-0.26334722222222223,0.16002777777777774,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,4,6,10,1,0.03,0.0,0.0,0.04,0.08094643147071953,-0.010083420794268019,True,0.11570963197779675,-0.017780623939086897,0.011303353776923776,True,True,0.000806810580777852,0.0034002271057427596,0.0003026163617411098,0.001744129621558623,-0.017780623939086512,-0.03813932700442469,0.0031379945110474607,False,True,-0.13611111111111107,-0.34405555555555556,0.05724999999999998,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,5,6,10,1,0.03,0.0,0.0,0.04,0.050567217982455795,-0.011395977440312672,True,0.46383614183801125,-0.006196400351511494,0.008458732909219092,True,True,0.0009295116946737196,0.0013805056316659016,0.00012169931782114599,0.0014227264735970867,-0.006196400351511336,-0.024736894476642166,0.011042084650741723,False,True,-0.05333333333333329,-0.27445833333333336,0.17002777777777775,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,6,6,10,1,0.03,0.0,0.0,0.04,0.018004533147863242,-0.014165768550490336,True,0.25179579488391524,-0.018476567590101522,0.016122681185024364,True,True,0.0009124903296487013,0.0038021586142656665,0.0006885735128169546,0.0018810860565246037,-0.0184765675901007,-0.05446361782637657,0.01659704022816022,False,True,-0.1027777777777778,-0.30393055555555554,0.10836111111111109,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,7,6,10,1,0.03,0.0,0.0,0.04,0.3522551253434876,-0.004946685508644572,True,0.59433146516367,-0.00491755323535511,0.009233632741794425,True,True,0.0009511552941918703,0.004919524525513511,0.00016066439141183025,0.001444781030921842,-0.004917553235355379,-0.03337141137473397,0.020004799751040348,False,True,-0.034999999999999976,-0.2350277777777778,0.16838888888888878,False,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,8,6,10,1,0.03,0.0,0.0,0.04,9.586404109096908e-05,-0.02458375089332884,True,0.07829633486711039,-0.03193057391661833,0.018135593093533815,True,True,0.0009356934822398856,0.0037095956217471637,0.0008931298623387127,0.0015016035286272945,-0.03193057391661754,-0.06889167505701792,0.0156358382016268,False,True,-0.28,-0.48112499999999997,-0.06831944444444447,True,0.0
M6_S10_R1_sma0.03_rho0.0_beta0.0,9,6,10,1,0.03,0.0,0.0,0.04,0.14160564554667285,-0.008550165307948505,True,0.966018844942677,0.0005387392705062862,0.012645884345849116,True,True,0.0008653927950880732,0.0011004017897296417,0.00039321589315696027,0.0015429291161797316,0.0005387392705059941,-0.026409663691319134,0.027583296020715863,False,True,0.02722222222222226,-0.16223611111111116,0.24618055555555549,False,0.0
