cond,i,M,S,R,s_ma,rho,beta,e0_p,e0_coef,e0_ok,t_e0,e1_p,e1_coef,e1_se,e1_converged,e1_ok,e1_scale,e1_vc_model,e1_vc_model_arm,e1_vc_path,t_e1,e2_est,e2_lo,e2_hi,e2_reject,e2_covers,e3_delta,e3_lo,e3_hi,e3_reject
M6_S10_R1_sma0.03_rho0.5_beta0.05,0,6,10,1,0.03,0.5,0.05,8.433844972398054e-35,0.05738593898607679,True,18.341951608657837,0.04203712150950104,0.05831223379634193,0.02868069892040665,True,True,0.0008865231848132824,0.0046556704267029635,0.0023790951532081167,0.00020233389436510936,2.061020851135254,0.05831223379635344,0.018795086058658938,0.09428081237999913,True,True,0.32722222222222225,0.13611111111111107,0.5184305555555554,True
M6_S10_R1_sma0.03_rho0.5_beta0.05,1,6,10,1,0.03,0.5,0.05,3.939053044356362e-24,0.03874612018670955,True,17.74582266807556,5.90908639047656e-15,0.04433394578342477,0.0056795624748702134,True,True,0.0008828531788611294,0.0013124563810011244,8.486971831754009e-06,2.6035561407864223e-06,2.0979580879211426,0.04433394578342625,0.02783638196068315,0.058880860440686814,True,True,0.5127777777777778,0.33993055555555557,0.6778055555555556,True
M6_S10_R1_sma0.03_rho0.5_beta0.05,2,6,10,1,0.03,0.5,0.05,1.1388107010334287e-50,0.057531519352162754,True,19.423017501831055,1.72066800734722e-11,0.05237961001627015,0.007785371292944126,True,True,0.0008292940413064075,0.002151212511656982,9.890661437635493e-05,5.936850821037792e-06,1.925152063369751,0.052379610016269756,0.03141208655734121,0.07222435213780479,True,True,0.47388888888888886,0.2905555555555555,0.6489583333333332,True
M6_S10_R1_sma0.03_rho0.5_beta0.05,3,6,10,1,0.03,0.5,0.05,1.9481375704812752e-36,0.04876432073019561,True,18.523654222488403,2.975762137201536e-09,0.05089661156348969,0.008578664131530462,True,True,0.0008436295280688476,0.0032072345739415048,0.00013641748203794404,5.000351676564926e-06,2.316720724105835,0.05089661156349001,0.02551092744795074,0.07316697630205407,True,True,0.3733333333333333,0.19554166666666664,0.5622499999999999,True
M6_S10_R1_sma0.03_rho0.5_beta0.05,4,6,10,1,0.03,0.5,0.05,1.0508063281256581e-47,0.05533992780416855,True,18.266968965530396,6.193327984885615e-10,0.05425131786902062,0.008770823513373558,True,True,0.0008284171924740785,0.000877386572960981,0.00014794031606083,5.721185588007781e-06,1.1473641395568848,0.05425131786902146,0.030207800191577972,0.0790667192383159,True,True,0.6333333333333333,0.47,0.7805833333333332,True
M6_S10_R1_sma0.03_rho0.5_beta0.05,5,6,10,1,0.03,0.5,0.05,5.529982969829286e-24,0.04139692654829528,True,18.506896495819092,0.0007471159971529226,0.03871305397335584,0.011481834248502708,True,True,0.0008611974565045755,0.0020662333258636583,0.00030937780747982113,9.639431320798824e-06,1.1285483837127686,0.038713053973357454,0.015845190296386095,0.05912678922585708,True,True,0.3877777777777778,0.188875,0.5811388888888889,True
M6_S10_R1_sma0.03_rho0.5_beta0.05,6,6,10,1,0.03,0.5,0.05,3.0170700824492863e-29,0.05240808028442971,True,1.796191692352295,0.11328824891906436,0.044031494685993135,0.027804950114374595,True,True,0.0009165914562685053,0.004319303504490474,0.002227686606961575,3.4588419489748807e-05,1.0927104949951172,0.04403149468598821,0.015497657097952701,0.07463175267014147,True,True,0.24666666666666665,0.04268055555555559,0.4294722222222222,True
M6_S10_R1_sma0.03_rho0.5_beta0.05,7,6,10,1,0.03,0.5,0.05,3.7005175990349035e-31,0.05084130931822947,True,1.1186280250549316,0.0009554286680979002,0.04737171789148101,0.014340582153823115,True,True,0.000907153543566395,0.001934264072759921,0.0005262415351749894,1.4346477409479941e-05,1.3787076473236084,0.047371717891479995,0.02180033605945054,0.0757069364025951,True,True,0.41,0.21606944444444448,0.5861666666666665,True
M6_S10_R1_sma0.03_rho0.5_beta0.05,8,6,10,1,0.03,0.5,0.05,4.442360232498238e-12,0.03114895127030697,True,1.7213783264160156,0.10934419045890323,0.035446768341126714,0.022138348915341086,True,True,0.0009112839947933146,0.002511180295086475,0.0013791910786124123,4.005592754031385e-07,2.061284303665161,0.03544676834111805,0.010200528007268637,0.05978832853032515,True,True,0.25555555555555554,0.04219444444444444,0.453986111111111,True
M6_S10_R1_sma0.03_rho0.5_beta0.05,9,6,10,1,0.03,0.5,0.05,3.0747323108218257e-25,0.04213886482023397,True,1.2365350723266602,0.0002518985396056005,0.04299561894997329,0.011746403593619763,False,True,0.0008661288454681671,0.001467645809301949,0.00032732110760580767,9.380009221269443e-07,2.2971432209014893,0.04299561894997528,0.019547462189043793,0.06748293441545104,True,True,0.42111111111111116,0.2321944444444445,0.6050138888888889,True
