cond,i,M,S,R,s_ma,rho,beta,e1_p,e1_coef,e1_se,e1_converged,e1_ok,e1_scale,e1_vc_model,e1_vc_model_arm,e1_vc_path,e1b_p,e1b_coef,e1b_se,e1b_converged,e1b_ok,e1b_method,e1b_llf_gap
M3_S10_R1_sma0.03_rho0.0_beta0.0,0,3,10,1,0.03,0.0,0.0,0.11659836306478218,-0.027147776840395776,0.017300251992726452,True,True,0.0008076182645718655,0.003912594972089331,0.0003681862520605617,4.387559817451996e-05,0.11659836306478218,-0.027147776840395776,0.017300251992726452,True,True,lbfgs,-2.7019497110813973e-06
M3_S10_R1_sma0.03_rho0.0_beta0.0,1,3,10,1,0.03,0.0,0.0,0.23323845384549002,-0.020408373358177863,0.01712028372100771,True,True,0.0008156671904560715,0.0005948691119585691,0.00035808945298609375,1.1379892406458225e-05,0.23323845384549002,-0.020408373358177863,0.01712028372100771,True,True,lbfgs,-0.0008351142570290904
M3_S10_R1_sma0.03_rho0.0_beta0.0,2,3,10,1,0.03,0.0,0.0,0.487043124168137,-0.014634942090450102,0.02105688190675387,True,True,0.0007661314776527682,0.002734433221451623,0.0005884752656871785,1.0325476672436164e-05,0.261025051635033,-0.014634942090449318,0.013020739488169746,True,True,powell,1.1873158326933435
M3_S10_R1_sma0.03_rho0.0_beta0.0,3,3,10,1,0.03,0.0,0.0,0.7510150767176553,-0.007896324951820756,0.02488589792161164,True,True,0.0008938433348271932,0.0017432356484076475,0.0008395775395645826,8.277071571776592e-06,0.538898886462706,-0.007896324951819604,0.012850440358029168,True,True,powell,1.6236002750528087
M3_S10_R1_sma0.03_rho0.0_beta0.0,4,3,10,1,0.03,0.0,0.0,0.9946802972682406,-5.354788880116385e-05,0.008031410654292106,False,True,0.0009599515984781454,0.0002533003425092208,7.601757989967626e-07,8.869910192238735e-06,0.9946655363637583,-5.354788880133752e-05,0.008009186743403968,True,True,powell,0.39163716393545656
M3_S10_R1_sma0.03_rho0.0_beta0.0,5,3,10,1,0.03,0.0,0.0,0.25556205057213677,0.009430856656808394,0.008294923653214437,True,True,0.0007744946266611262,0.00012706393795420084,2.5759174952873154e-05,6.992429591613074e-06,0.25556205057213677,0.009430856656808394,0.008294923653214437,True,True,lbfgs,-8.364801260540844e-07
M3_S10_R1_sma0.03_rho0.0_beta0.0,6,3,10,1,0.03,0.0,0.0,0.2598312098401372,-0.02711920621805142,0.0240676632320498,True,True,0.0008741629003404501,0.0033374186537565445,0.0007814623301430033,3.5800374715741207e-05,0.2598312098401372,-0.02711920621805142,0.0240676632320498,True,True,lbfgs,-1.0354973483117647e-05
M3_S10_R1_sma0.03_rho0.0_beta0.0,7,3,10,1,0.03,0.0,0.0,0.00014270425950016518,-0.03187117726121891,0.008379580309990597,True,True,0.0008463678563355992,0.0056083330769899605,2.068926362381314e-05,2.0777251044591176e-05,0.00014270425950016518,-0.03187117726121891,0.008379580309990597,True,True,lbfgs,-8.703071898708004e-07
M3_S10_R1_sma0.03_rho0.0_beta0.0,8,3,10,1,0.03,0.0,0.0,0.6138546659463139,0.005395877686771442,0.010693824477092679,True,True,0.0009188722086823449,0.00012827881346875103,7.964960205206376e-05,2.9771257928145465e-06,0.6892373681921617,0.0053958776867706545,0.013493397124633785,True,True,powell,0.34849284857432394
M3_S10_R1_sma0.03_rho0.0_beta0.0,9,3,10,1,0.03,0.0,0.0,0.05602814326202997,0.034262284063906724,0.01793070177980831,True,True,0.0009281807395725408,5.651530639411865e-07,0.00038944702551736845,2.1702948788073055e-06,0.060637845108098117,0.03426228406391028,0.018262241492632822,True,True,powell,0.003132094782245076
M3_S10_R1_sma0.03_rho0.0_beta0.0,10,3,10,1,0.03,0.0,0.0,0.765030764665555,-0.004360908348901846,0.014590779672391429,True,True,0.0009398061681053291,0.001122587660724161,0.00022535566036187824,6.542184685127609e-06,0.7689757467028391,-0.0043609083489020255,0.014847418162576384,True,True,powell,0.2523425302723581
M3_S10_R1_sma0.03_rho0.0_beta0.0,11,3,10,1,0.03,0.0,0.0,0.4132228382810077,-0.01861597448453832,0.022751370331332194,False,True,0.0009093590885788043,0.002331607773719291,0.0006855013690722514,6.06988719982761e-06,0.16128571324193852,-0.018615974484537817,0.013289905651946656,True,True,powell,1.2728408502928232
M3_S10_R1_sma0.03_rho0.0_beta0.0,12,3,10,1,0.03,0.0,0.0,0.41287688732210925,0.009862763079301918,0.012044777732750922,False,True,0.0008663617629639642,0.0005657904273996554,0.00013097882965066703,2.1561751893507816e-06,0.40719206235390326,0.009862763079300795,0.01189940441073481,True,True,powell,0.004891389472732044
M3_S10_R1_sma0.03_rho0.0_beta0.0,13,3,10,1,0.03,0.0,0.0,0.497995089040683,-0.015457953435408353,0.022811194139637458,False,True,0.0009240851576014058,0.00028457863217800505,0.00068811735135423,5.475391820528125e-06,0.4919068621156343,-0.015457953435409056,0.02249152240202125,True,True,powell,0.5827953579615723
M3_S10_R1_sma0.03_rho0.0_beta0.0,14,3,10,1,0.03,0.0,0.0,0.3332736572968602,0.01761327885115124,0.018204168008274096,True,True,0.0008920721339437255,0.0028451280880899825,0.00040788038591583087,2.827037482859183e-06,0.3332736572968602,0.01761327885115124,0.018204168008274096,True,True,lbfgs,-8.375968832297076e-06
M3_S10_R1_sma0.03_rho0.0_beta0.0,15,3,10,1,0.03,0.0,0.0,0.6825974141324279,0.010880288232277897,0.026607291238220795,True,True,0.0010891584667586612,0.00196900655360279,0.0009530060738773693,4.2390280092231236e-06,0.3846210251081106,0.010880288232276778,0.012514515553545772,True,True,powell,1.616003221264691
M3_S10_R1_sma0.03_rho0.0_beta0.0,16,3,10,1,0.03,0.0,0.0,0.14986040364714417,-0.04008590359645664,0.02783695506474296,True,True,0.0008268125412260673,0.0022613680751776043,0.0010796628467922061,1.2990978284023969e-05,0.02015541546868717,-0.040085903596452754,0.017252809462470965,True,True,powell,1.398190015701175
M3_S10_R1_sma0.03_rho0.0_beta0.0,17,3,10,1,0.03,0.0,0.0,0.5754849610627217,-0.01930454832329471,0.034472906202669615,False,True,0.0008981085462051652,0.0023699804359596996,0.0016927610384667741,3.3648039409920533e-06,0.5288692152558796,-0.019304548323311296,0.03065512672624417,True,True,powell,0.7276513359676073
M3_S10_R1_sma0.03_rho0.0_beta0.0,18,3,10,1,0.03,0.0,0.0,0.3298598173552667,0.025146009339501132,0.02580675843612412,True,True,0.000984249461986104,0.0024514415165570675,0.0009005582252720279,7.5190455976388895e-06,0.08254664115706933,0.025146009339501348,0.014484217050176959,True,True,powell,1.6047971970834851
M3_S10_R1_sma0.03_rho0.0_beta0.0,19,3,10,1,0.03,0.0,0.0,0.36424315654636297,-0.014995489187503581,0.016527424583159114,True,True,0.0009013497860923496,0.0009951697980167447,0.00031959866641877713,3.1607809441737656e-06,0.36424315654636297,-0.014995489187503581,0.016527424583159114,True,True,lbfgs,-9.75175780695281e-05
M3_S10_R1_sma0.03_rho0.0_beta0.0,20,3,10,1,0.03,0.0,0.0,0.19161778084538728,0.0335122605630637,0.02566399859613945,True,True,0.0008563501904993466,0.00107682611636056,0.0009023262168639983,3.5856625746269137e-07,0.15403819074185665,0.0335122605630619,0.023510581212158974,True,True,powell,0.14821042788992145
M3_S10_R1_sma0.03_rho0.0_beta0.0,21,3,10,1,0.03,0.0,0.0,0.5128398859759298,0.015232222512533963,0.023275836809649286,False,True,0.00093786396186894,0.001339677596256009,0.000718860472597304,1.8165072904774457e-06,0.29227642632302586,0.015232222512532504,0.014463613281565289,True,True,powell,0.732110667888378
M3_S10_R1_sma0.03_rho0.0_beta0.0,22,3,10,1,0.03,0.0,0.0,0.8535911471305675,0.005214854805578471,0.028258922279578935,True,True,0.000887882165407804,0.0013202677551902146,0.0011090618160641932,8.474873516145658e-06,0.8535911471305675,0.005214854805578471,0.028258922279578935,True,True,lbfgs,-4.7845054268691456e-05
M3_S10_R1_sma0.03_rho0.0_beta0.0,23,3,10,1,0.03,0.0,0.0,0.13654886613000777,-0.021388531109326234,0.014366612278245225,False,True,0.000996613965421113,0.0015087599902791618,0.00020993792598803058,8.077729272250849e-07,0.12156305698886226,-0.021388531109326835,0.01381468434571126,True,True,powell,0.13134226112276792
M3_S10_R1_sma0.03_rho0.0_beta0.0,24,3,10,1,0.03,0.0,0.0,0.359140432967211,0.026994639940980426,0.029437858176841282,True,True,0.001087746582817523,0.0014971708209240197,0.001191106582778004,1.0040034402834342e-06,0.3060541057639373,0.026994639940981776,0.02637388291827601,True,True,powell,0.23993798240633168
M3_S10_R1_sma0.03_rho0.0_beta0.0,25,3,10,1,0.03,0.0,0.0,0.45190817779374404,-0.01769065534344929,0.02351737672971489,False,True,0.0009305777266755322,0.0013226579495383348,0.0007365427397034344,1.730009665540097e-06,0.18728709609951277,-0.017690655343451715,0.013415761046495117,True,True,powell,0.944748125716842
