cond,i,M,S,R,s_ma,rho,beta,shared,e1_p,e1_coef,e1_se,e1_converged,e1_ok,e1_scale,e1_vc_model,e1_vc_model_arm,e1_vc_path,t_e1,e1b_p,e1b_coef,e1b_se,e1b_converged,e1b_ok,e1b_method,e1b_llf_gap,t_e1b,e1a_p,e1a_coef,e1a_se,e1a_converged,e1a_ok,e1a_method,e1a_llf_gap,e1a_vc_model,e1a_vc_path,e1a_vc_persona_path,t_e1a,e2_est,e2_lo,e2_hi,e2_reject,e2_covers
M6_S19_R1_sma0.03_rho0.0_beta0.05_shared,0,6,19,1,0.03,0.0,0.05,True,0.025073056446065476,0.042588780222012346,0.019010511977337274,True,True,0.002244131401529952,0.0022139150874069084,0.0009660865178937157,0.0007849665504363989,5.6665849685668945,0.025073056446065476,0.042588780222012346,0.019010511977337274,True,True,lbfgs,-0.0003426660168770468,2.941680669784546,0.025194072942745886,0.042588780222364966,0.019026320023684207,True,True,lbfgs,-1.820444595068693e-08,0.0019694553257524534,5.949198134947595e-05,0.000527599734253761,4.772581100463867,0.042588780222016516,0.008021222267671864,0.08102351598090102,True,True
M6_S19_R1_sma0.03_rho0.0_beta0.05_shared,1,6,19,1,0.03,0.0,0.05,True,0.0028574502522592466,0.0507638695167089,0.017019601036574024,True,True,0.0024850738223152584,0.0029848285301612982,0.0007382070992633064,0.001180362774012406,5.509474039077759,0.0028574502522592466,0.0507638695167089,0.017019601036574024,True,True,lbfgs,-7.674211383346119e-05,2.9516780376434326,0.003290063257397649,0.05076386951666429,0.01727102124519458,True,True,powell,1.0937594652205007e-06,0.0015168436157161262,5.352199024967545e-05,0.0007520508525798902,5.214679479598999,0.0507638695167129,0.02066561688797539,0.07992495122243681,True,True
M6_S19_R1_sma0.03_rho0.0_beta0.05_shared,2,6,19,1,0.03,0.0,0.05,True,0.047876233806595045,0.0468490816733972,0.0236795057727989,True,True,0.0026131994312973608,0.0010788575981673816,0.0015446201687591033,0.0008066117087603256,5.776927947998047,0.047876233806595045,0.0468490816733972,0.0236795057727989,True,True,lbfgs,-0.007038667735287163,2.3049654960632324,0.049227273938417956,0.046849081673864944,0.023822157207266572,True,True,lbfgs,-0.0011265767848271935,0.0031336572374585643,2.119395674215815e-05,0.0007833010856891037,4.6861488819122314,0.04684908167341445,0.0011507405788056604,0.08842106431402955,True,True
M6_S19_R1_sma0.03_rho0.0_beta0.05_shared,3,6,19,1,0.03,0.0,0.05,True,0.02757715624081654,0.03974496570167511,0.018039247322931818,True,True,0.002473364250712024,0.0027001945779960694,0.0008460662661067575,0.0010017159980389026,5.441699743270874,0.02757715624081654,0.03974496570167511,0.018039247322931818,True,True,lbfgs,-0.00017719861261866754,1.7198100090026855,0.03059603399847566,0.03974496570185176,0.01838098237015919,True,True,lbfgs,-6.113232120696921e-05,0.0017328300526330007,8.082618961580178e-06,0.000866683566078445,4.74457049369812,0.039744965701675405,0.004384809394958274,0.07194907621184607,True,True
M6_S19_R1_sma0.03_rho0.0_beta0.05_shared,4,6,19,1,0.03,0.0,0.05,True,9.166995287980678e-05,0.0562786907027566,0.014387477485987264,True,True,0.002958400454094555,0.0022117841920834816,0.0004652932381717575,0.0014009879737661782,5.6200501918792725,9.166995287980678e-05,0.0562786907027566,0.014387477485987264,True,True,lbfgs,-3.3151081879623234e-09,3.1592178344726562,0.00011099535433458524,0.056278690702907835,0.014560333070221133,True,True,powell,1.0699613994802348e-07,0.0009793500912820515,4.367595018332094e-05,0.0008248531147657199,3.9687469005584717,0.05627869070275693,0.02679395922355279,0.08317319305288184,True,True
M6_S19_R1_sma0.03_rho0.0_beta0.05_shared,5,6,19,1,0.03,0.0,0.05,True,0.0013271183162536049,0.039674271111545964,0.012359393055005502,True,True,0.0029639386755035027,0.004929036328830493,0.00030226701766942495,0.0008129002557956473,6.40291166305542,0.0013271183162536049,0.039674271111545964,0.012359393055005502,True,True,lbfgs,-1.8490291040507145e-06,2.78446626663208,0.0025499639921893686,0.039674271111583066,0.013148719825562887,True,True,lbfgs,-0.0009317222154550109,0.0006538568251454009,3.054538094431574e-05,0.0011280394008873198,4.723323822021484,0.039674271111544736,0.014582124876785216,0.06579969545725364,True,True
M6_S19_R1_sma0.03_rho0.0_beta0.05_shared,6,6,19,1,0.03,0.0,0.05,True,0.0005074838893149665,0.0722693495776836,0.02078631889165058,True,True,0.0021236324938068677,0.0021962393982556936,0.0011844430279427482,0.0014044062858858837,5.380412340164185,0.0005074838893149665,0.0722693495776836,0.02078631889165058,True,True,lbfgs,-0.00018486003546058782,1.9405672550201416,0.0006637577573562318,0.0722693495782927,0.021229918877038477,True,True,powell,0.0781699751225915,0.0024029156014777646,1.254392687402425e-13,0.0008938296192066505,7.798156499862671,0.07226934957765975,0.03373857020380017,0.1092722277056802,True,True
M6_S19_R1_sma0.03_rho0.0_beta0.05_shared,7,6,19,1,0.03,0.0,0.05,True,0.0216393311720271,0.03586184432051156,0.015614919531799063,True,True,0.0024089874168993406,0.003088823246760741,0.0006046883245379382,0.001355277532766201,0.9100875854492188,0.0216393311720271,0.03586184432051156,0.015614919531799063,True,True,lbfgs,-3.506433859001845e-05,1.6609697341918945,0.02652723089241063,0.03586184432042465,0.016165598440901433,True,True,lbfgs,-0.0002134969759026717,0.0012495153902444451,6.305224458667377e-05,0.0008882600346992924,4.040962219238281,0.03586184432051174,0.006399961783563694,0.06549471380938225,True,True
M6_S19_R1_sma0.03_rho0.0_beta0.05_shared,8,6,19,1,0.03,0.0,0.05,True,6.286633698794397e-07,0.05231325250655527,0.010500036630489007,True,True,0.0020649974006971207,0.003074913719799088,0.000222068234003936,0.001805615690667613,0.580258846282959,6.286633698794397e-07,0.05231325250655527,0.010500036630489007,True,True,lbfgs,-4.4044145397492684e-07,1.4771885871887207,2.01574936026297e-06,0.052313252506593806,0.011009054268445857,True,True,lbfgs,-0.0013352621328976966,0.00047746176181945365,5.549977352763045e-05,0.0006777642756265898,3.8432164192199707,0.052313252506556204,0.030250746615057122,0.074380527068963,True,True
M6_S19_R1_sma0.03_rho0.0_beta0.05_shared,9,6,19,1,0.03,0.0,0.05,True,0.0003917281041286575,0.05335489684797624,0.015048221906881069,True,True,0.002486161839494976,0.0008439005097788956,0.0005484963245449168,0.0013406587953656603,0.9486453533172607,0.0003917281041286575,0.05335489684797624,0.015048221906881069,True,True,lbfgs,-1.464405795559287e-05,2.494446039199829,0.0005541909639183078,0.053354896847823165,0.015451319922278587,True,True,powell,0.015415236897979412,0.0011369126819800095,4.368080246563457e-14,0.000880673794998381,7.023017406463623,0.053354896847978096,0.023370405830998333,0.08575019806367659,True,True
