cond,i,M,S,R,s_ma,rho,beta,shared,e1_p,e1_coef,e1_se,e1_converged,e1_ok,e1_scale,e1_vc_model,e1_vc_model_arm,e1_vc_path,t_e1,e1b_p,e1b_coef,e1b_se,e1b_converged,e1b_ok,e1b_method,e1b_llf_gap,t_e1b,e1a_p,e1a_coef,e1a_se,e1a_converged,e1a_ok,e1a_method,e1a_llf_gap,e1a_vc_model,e1a_vc_path,e1a_vc_persona_path,t_e1a,e2_est,e2_lo,e2_hi,e2_reject,e2_covers,e1_error
M6_S19_R1_sma0.0_rho0.0_beta0.05_shared,0,6,19,1,0.0,0.0,0.05,True,0.0009863590821006275,0.049456535754224686,0.015012354770426088,True,True,0.00258794035099542,0.0008105446022095698,0.0005399050003648538,0.001627049566284059,6.872418165206909,2.620257560866605e-13,0.04945653575422121,0.006763196166543545,True,True,powell,9.018075730612054,2.750528335571289,3.905447059144923e-13,0.04945653575422478,0.006813322897239178,True,True,powell,0.0008275359064100485,4.2896417314516537e-13,0.00012732046559866292,0.0006911598094154594,4.57498836517334,0.04945653575422235,0.03368911699245758,0.06514835651192014,True,True,
M6_S19_R1_sma0.0_rho0.0_beta0.05_shared,1,6,19,1,0.0,0.0,0.05,True,5.744299435037364e-18,0.05772647394681887,0.0066832179394099075,True,True,0.002545588171745232,0.0022901462384409335,1.788124826411079e-08,0.0007338838079235178,7.039463043212891,5.704437989506509e-18,0.05772647394682152,0.006682602285478081,True,True,powell,0.0019771219031099463,2.7342724800109863,5.325283033997161e-18,0.057726473946806856,0.006676530504970799,True,True,powell,0.2622165682953437,3.2535602045676664e-14,3.0410404246466727e-05,0.0007624292302953306,6.221041440963745,0.05772647394682147,0.043434917563108216,0.07164521156693307,True,True,
M6_S19_R1_sma0.0_rho0.0_beta0.05_shared,2,6,19,1,0.0,0.0,0.05,True,1.763073228181394e-09,0.03824668559756231,0.006355112188553605,True,True,0.0022989433588212196,0.0029795562297667273,1.653339019776773e-07,0.0019570757669810667,7.715272903442383,1.6724048224141745e-09,0.03824668559755481,0.006346104470658405,True,True,powell,0.07136732289109204,2.737661838531494,3.7644680178578746e-08,0.03824668559755718,0.006951971798388814,True,True,lbfgs,-0.0010366870590132748,1.252795560551008e-06,2.184785268295811e-05,0.0008323925894564698,3.684425115585327,0.038246685597558054,0.023606424619917396,0.05384067168497692,True,True,
M6_S19_R1_sma0.0_rho0.0_beta0.05_shared,3,6,19,1,0.0,0.0,0.05,True,1.1208192594315344e-13,0.05077172219457408,0.006837185764874492,True,True,0.002660521165434059,0.0027065446764470815,2.1389779051061076e-07,0.001009622580747508,7.180521011352539,1.0218396771076922e-13,0.05077172219457368,0.006825947142667706,True,True,powell,0.11531110537043787,2.9855570793151855,1.0280916968761297e-13,0.050771722194564224,0.0068266869247701764,True,True,lbfgs,-0.00030797779322710994,8.739707741601356e-14,5.4564533276676935e-05,0.000773522735758793,4.773489952087402,0.05077172219457446,0.038824254789711264,0.06347750518984611,True,True,
M6_S19_R1_sma0.0_rho0.0_beta0.05_shared,4,6,19,1,0.0,0.0,0.05,True,4.111688263063632e-11,0.04705964174970311,0.00713025305217113,True,True,0.0028979089835316158,0.0017299548257510317,3.149628274390049e-13,0.0009493437334286575,7.458052635192871,4.107132617634668e-11,0.047059641749701855,0.007130075503170591,True,True,powell,0.00016938908493102645,3.026723623275757,1.0808218423685299e-11,0.04705964174968981,0.00692531512360824,True,True,lbfgs,-2.1191067389736418e-07,3.1135664506733478e-06,4.346750355731682e-11,0.000849546780886673,3.6928067207336426,0.04705964174970262,0.033547409896630125,0.06058073632569875,True,True,
M6_S19_R1_sma0.0_rho0.0_beta0.05_shared,5,6,19,1,0.0,0.0,0.05,True,9.969941257156934e-10,0.045834861893756615,0.00750174828629243,False,True,0.003048840133182457,0.003595802082221737,8.363411885194662e-06,0.0008315882212982179,8.895578384399414,3.0271361622266374e-10,0.04583486189376026,0.007278398878983017,True,True,powell,1.454564341735022,3.7868809700012207,1.5361773393644303e-09,0.04583486189377167,0.007587899230335398,True,True,lbfgs,-0.0012579824658587313,4.871472348245449e-06,2.9817414630805807e-05,0.0009956129572308559,3.6593692302703857,0.045834861893761,0.03047760955457555,0.060732523867051136,True,True,
M6_S19_R1_sma0.0_rho0.0_beta0.05_shared,6,6,19,1,0.0,0.0,0.05,True,1.277256256252462e-14,0.05000243999742428,0.006487017018014239,True,True,0.0023751993387479105,0.0016080209460012434,1.2336778629624622e-06,0.0015995781955879015,7.627011775970459,1.1002291629664082e-14,0.05000243999742444,0.006471047386244351,True,True,powell,0.6250685083646204,3.3282971382141113,8.363489742196099e-15,0.05000243999742198,0.006441996511276264,True,True,powell,0.887875612271273,3.410997885600601e-14,1.0609959301342581e-13,0.0007323476231376181,6.615812540054321,0.0500024399974208,0.03505409233017973,0.06575997890236662,True,True,
M6_S19_R1_sma0.0_rho0.0_beta0.05_shared,7,6,19,1,0.0,0.0,0.05,True,4.076962972544406e-10,0.04226623319676935,0.00676145889230049,False,True,0.0026058550379034033,0.0021422410731969884,1.71390398238732e-09,0.0010997524670543668,1.6803617477416992,4.0752832619259336e-10,0.04226623319676857,0.006761389288137155,True,True,powell,0.00019733085673578898,3.0260510444641113,6.109018568946684e-08,0.04226623319678134,0.007804561921355274,True,True,lbfgs,-0.00013198535884839657,5.361926244002811e-07,0.00036843082894798826,0.000730512407142836,2.635402202606201,0.04226623319676606,0.025244015434122226,0.05965817131501076,True,True,
M6_S19_R1_sma0.0_rho0.0_beta0.05_shared,8,6,19,1,0.0,0.0,0.05,True,5.3180989346037005e-11,0.04449412738331911,0.006780835548892721,True,True,0.0026131490632777224,0.0016807693850327758,4.05030998221364e-07,0.00046873072768004886,0.9146058559417725,3.2329229110578713e-11,0.04449412738331847,0.006705415504795852,True,True,powell,3.0086058304850667,2.235243082046509,8.368967172749152e-10,0.04449412738331209,0.00724923737471677,True,True,powell,1.8266437386673715,4.896115978555311e-14,2.0890646352755957e-05,0.0009139078196515776,4.819818735122681,0.044494127383317275,0.03378130880429197,0.05556369737322657,True,True,
M6_S19_R1_sma0.0_rho0.0_beta0.05_shared,9,6,19,1,0.0,0.0,0.05,True,1.9300943408456273e-12,0.04363880260378994,0.00619918378321902,True,True,0.0021904001889077743,0.0025296670143028516,5.4182655531880306e-09,0.000824008854441949,1.7399442195892334,1.925653040118238e-12,0.043638802603790876,0.006198901100182286,True,True,powell,0.0006163692087284289,3.0217483043670654,2.9368029473419712e-08,0.043638802603801985,0.007869705877373666,True,True,powell,0.7534422336761963,3.99407686002472e-06,7.041855969859556e-05,0.001043346332004069,4.395791053771973,0.043638802603791424,0.028365173407802317,0.057788172954767014,True,True,
